State,Gender,LeadingDeathMechanism,Region,Donors,AllRecovered,KidneysRecovered,PancreasRecovered,LiverRecovered,IntestineRecovered,HeartsRecovered,LungsRecovered,AllTransplanted,KidneysTransplanted,PancreasTransplanted,LiverTransplanted,IntestineTransplanted,HeartsTransplanted,LungsTransplanted,EstPop,RecPerDonor,TransPerDonor,AllRecPerDonor,AllTransPerDonor,AllTransPerRecover
 Wisconsin, All Genders,Intracranial Hemorrhage / Stroke,Midwest,192,668,354,0,153,2,52,55,559,285,40,126,2,51,55,,3.479166667,2.911458333,3.479166667,2.911458333,0.836826347
 Washington, All Genders,Intracranial Hemorrhage / Stroke,Pacific,176,624,342,11,136,1,59,60,525,294,17,97,1,58,58,,3.545454545,2.982954545,3.545454545,2.982954545,0.841346154
 Virginia, All Genders,Intracranial Hemorrhage / Stroke,Southeast,179,599,335,2,149,3,38,53,476,248,17,119,3,37,52,,3.346368715,2.659217877,3.346368715,2.659217877,0.794657763
 Utah, All Genders,Blunt Injury,Rocky Mountains,83,279,160,31,53,3,29,26,259,144,7,50,3,29,26,,3.361445783,3.120481928,3.361445783,3.120481928,0.928315412
 Texas, All Genders,Intracranial Hemorrhage / Stroke,Southwest,656,2357,1157,23,511,5,236,338,2061,924,89,474,4,235,335,,3.592987805,3.141768293,3.592987805,3.141768293,0.874416631
 Tennessee, All Genders,Intracranial Hemorrhage / Stroke,Southeast,301,1088,558,8,265,8,92,106,899,407,44,247,8,91,102,,3.61461794,2.986710963,3.61461794,2.986710963,0.826286765
 South Carolina, All Genders,Intracranial Hemorrhage / Stroke,Southeast,103,385,189,1,96,2,36,47,331,154,12,85,2,35,43,,3.737864078,3.213592233,3.737864078,3.213592233,0.85974026
 Puerto Rico, All Genders,Intracranial Hemorrhage / Stroke,Noncontiguous,105,359,184,0,89,0,24,45,293,134,15,84,0,24,36,,3.419047619,2.79047619,3.419047619,2.79047619,0.816155989
 Pennsylvania, All Genders,Intracranial Hemorrhage / Stroke,Northeast,611,2102,1081,87,536,4,159,235,1569,789,49,414,4,149,164,,3.440261866,2.56792144,3.440261866,2.56792144,0.74643197
 Oregon, All Genders,Blunt Injury,Pacific,75,271,144,10,65,0,25,27,249,131,10,56,0,25,27,,3.613333333,3.32,3.613333333,3.32,0.918819188
 Oklahoma, All Genders,Blunt Injury,Southwest,94,360,182,20,78,3,32,45,323,164,13,67,3,32,44,,3.829787234,3.436170213,3.829787234,3.436170213,0.897222222
 Ohio, All Genders,Intracranial Hemorrhage / Stroke,Midwest,297,1067,547,66,245,1,95,113,953,456,59,234,1,95,108,,3.592592593,3.208754209,3.592592593,3.208754209,0.893158388
 North Carolina, All Genders,Intracranial Hemorrhage / Stroke,Southeast,299,1060,548,56,220,4,80,152,868,427,30,199,4,78,130,,3.545150502,2.903010033,3.545150502,2.903010033,0.818867925
 New York, All Genders,Intracranial Hemorrhage / Stroke,Northeast,358,1093,593,46,293,6,99,56,956,491,34,275,6,99,51,,3.053072626,2.670391061,3.053072626,2.670391061,0.874656908
 New Mexico, All Genders,Blunt Injury,Southwest,34,106,64,2,25,0,6,9,89,50,1,24,0,6,8,,3.117647059,2.617647059,3.117647059,2.617647059,0.839622642
 New Jersey, All Genders,Intracranial Hemorrhage / Stroke,Northeast,139,451,264,19,89,0,37,42,378,213,14,76,0,37,38,,3.244604317,2.71942446,3.244604317,2.71942446,0.838137472
 Nevada, All Genders,Intracranial Hemorrhage / Stroke,Rocky Mountains,75,274,146,14,62,4,20,28,234,116,10,56,4,20,28,,3.653333333,3.12,3.653333333,3.12,0.854014599
 Nebraska, All Genders,Intracranial Hemorrhage / Stroke,Midwest,40,139,76,9,34,0,8,12,130,70,7,33,0,8,12,,3.475,3.25,3.475,3.25,0.935251799
 Missouri, All Genders,Intracranial Hemorrhage / Stroke,Midwest,165,618,278,22,140,1,48,129,556,230,19,130,1,48,128,,3.745454545,3.36969697,3.745454545,3.36969697,0.899676375
 Mississippi, All Genders,Intracranial Hemorrhage / Stroke,Southeast,76,286,145,9,69,2,27,34,249,121,5,63,2,27,31,,3.763157895,3.276315789,3.763157895,3.276315789,0.870629371
 Minnesota, All Genders,Intracranial Hemorrhage / Stroke,Midwest,153,553,285,34,131,2,47,54,465,220,21,121,2,47,54,,3.614379085,3.039215686,3.614379085,3.039215686,0.840867993
 Michigan, All Genders,Intracranial Hemorrhage / Stroke,Midwest,261,902,478,41,187,6,87,103,775,373,37,172,6,86,101,,3.455938697,2.969348659,3.455938697,2.969348659,0.859201774
 Massachusetts, All Genders,Intracranial Hemorrhage / Stroke,Northeast,217,732,409,40,158,3,56,66,635,352,22,141,3,55,62,,3.373271889,2.926267281,3.373271889,2.926267281,0.867486339
 Maryland, All Genders,Intracranial Hemorrhage / Stroke,Southeast,142,533,257,39,122,0,42,73,431,194,23,108,0,40,66,,3.753521127,3.035211268,3.753521127,3.035211268,0.808630394
 Louisiana, All Genders,Intracranial Hemorrhage / Stroke,Southeast,170,618,279,41,162,3,44,89,556,227,37,157,3,44,88,,3.635294118,3.270588235,3.635294118,3.270588235,0.899676375
 Kentucky, All Genders,Intracranial Hemorrhage / Stroke,Southeast,88,317,170,13,75,2,23,34,274,135,9,72,2,23,33,,3.602272727,3.113636364,3.602272727,3.113636364,0.864353312
 Kansas, All Genders,Intracranial Hemorrhage / Stroke,Midwest,209,721,376,43,148,1,64,89,626,308,32,136,1,64,85,,3.449760766,2.995215311,3.449760766,2.995215311,0.868238558
 Iowa, All Genders,Intracranial Hemorrhage / Stroke,Midwest,60,213,116,14,45,2,18,18,189,101,11,39,2,18,18,,3.55,3.15,3.55,3.15,0.887323944
 Indiana, All Genders,Blunt Injury,Midwest,154,609,291,49,136,12,61,60,530,250,34,116,10,61,59,,3.954545455,3.441558442,3.954545455,3.441558442,0.870279146
 Illinois, All Genders,Intracranial Hemorrhage / Stroke,Midwest,270,925,483,83,204,7,76,72,800,394,55,198,6,76,71,,3.425925926,2.962962963,3.425925926,2.962962963,0.864864865
 Hawaii, All Genders,Intracranial Hemorrhage / Stroke,Noncontiguous,57,156,110,8,34,0,0,4,116,84,6,22,0,0,4,,2.736842105,2.035087719,2.736842105,2.035087719,0.743589744
 Georgia, All Genders,Intracranial Hemorrhage / Stroke,Southeast,269,922,417,41,242,4,95,123,821,339,38,226,4,95,119,,3.427509294,3.05204461,3.427509294,3.05204461,0.890455531
 Florida, All Genders,Intracranial Hemorrhage / Stroke,Southeast,554,1957,993,91,478,13,176,206,1751,840,72,459,10,174,196,,3.532490975,3.160649819,3.532490975,3.160649819,0.894736842
 District of Columbia, All Genders,Intracranial Hemorrhage / Stroke,Southeast,132,421,213,21,109,0,26,52,356,176,15,89,0,24,52,,3.189393939,2.696969697,3.189393939,2.696969697,0.845605701
 Connecticut, All Genders,Intracranial Hemorrhage / Stroke,Northeast,42,156,82,11,37,0,16,10,138,72,7,33,0,16,10,,3.714285714,3.285714286,3.714285714,3.285714286,0.884615385
 Colorado, All Genders,Blunt Injury,Rocky Mountains,126,449,236,23,103,1,48,38,390,203,21,84,1,47,34,,3.563492063,3.095238095,3.563492063,3.095238095,0.868596882
 California, All Genders,Intracranial Hemorrhage / Stroke,Pacific,861,3115,1629,141,672,8,279,386,2787,1406,109,608,7,276,381,,3.617886179,3.236933798,3.617886179,3.236933798,0.89470305
 Arkansas, All Genders,Intracranial Hemorrhage / Stroke,Southeast,67,241,122,6,62,0,19,32,205,97,4,53,0,19,32,,3.597014925,3.059701493,3.597014925,3.059701493,0.850622407
 Arizona, All Genders,Blunt Injury,Southwest,143,511,265,24,120,0,45,57,438,215,18,106,0,45,54,,3.573426573,3.062937063,3.573426573,3.062937063,0.857142857
 Alabama, All Genders,Intracranial Hemorrhage / Stroke,Southeast,110,365,196,20,97,1,27,24,317,157,16,92,1,27,24,,3.318181818,2.881818182,3.318181818,2.881818182,0.868493151
 Wisconsin,Female,Intracranial Hemorrhage / Stroke,Midwest,80,288,152,30,63,1,17,33,235,116,17,52,1,16,33,2882329,3.6,2.9375,3.479166667,2.911458333,0.836826347
 Washington,Female,Intracranial Hemorrhage / Stroke,Pacific,78,273,152,15,61,1,22,26,237,132,8,48,1,22,26,3455007,3.5,3.038461538,3.545454545,2.982954545,0.841346154
