State,Gender,LeadingDeathMechanism,Type,Organ,Count
 Alabama, Male,Intracranial Hemorrhage / Stroke,Donors,All,52
 Alabama, Female,Intracranial Hemorrhage / Stroke,Donors,All,58
 Arizona, Male,Blunt Injury,Donors,All,94
 Arizona, Female,Intracranial Hemorrhage / Stroke,Donors,All,49
 Arkansas, Male,Blunt Injury,Donors,All,41
 Arkansas, Female,Intracranial Hemorrhage / Stroke,Donors,All,26
 California, Male,Intracranial Hemorrhage / Stroke,Donors,All,533
 California, Female,Intracranial Hemorrhage / Stroke,Donors,All,328
 Colorado, Male,Blunt Injury,Donors,All,86
 Colorado, Female,Intracranial Hemorrhage / Stroke,Donors,All,40
 Connecticut, Male,Intracranial Hemorrhage / Stroke,Donors,All,29
 Connecticut, Female,Intracranial Hemorrhage / Stroke,Donors,All,13
 District of Columbia, Male,Intracranial Hemorrhage / Stroke,Donors,All,78
 District of Columbia, Female,Intracranial Hemorrhage / Stroke,Donors,All,54
 Florida, Male,Blunt Injury,Donors,All,326
 Florida, Female,Intracranial Hemorrhage / Stroke,Donors,All,228
 Georgia, Male,Intracranial Hemorrhage / Stroke,Donors,All,146
 Georgia, Female,Intracranial Hemorrhage / Stroke,Donors,All,123
 Hawaii, Male,Blunt Injury,Donors,All,38
 Hawaii, Female,Intracranial Hemorrhage / Stroke,Donors,All,19
 Illinois, Male,Intracranial Hemorrhage / Stroke,Donors,All,161
 Illinois, Female,Intracranial Hemorrhage / Stroke,Donors,All,109
 Indiana, Male,Blunt Injury,Donors,All,94
 Indiana, Female,Intracranial Hemorrhage / Stroke,Donors,All,60
 Iowa, Male,Blunt Injury,Donors,All,38
 Iowa, Female,Intracranial Hemorrhage / Stroke,Donors,All,22
 Kansas, Male,Intracranial Hemorrhage / Stroke,Donors,All,121
 Kansas, Female,Intracranial Hemorrhage / Stroke,Donors,All,88
 Kentucky, Male,Blunt Injury,Donors,All,50
 Kentucky, Female,Intracranial Hemorrhage / Stroke,Donors,All,38
 Louisiana, Male,Intracranial Hemorrhage / Stroke,Donors,All,95
 Louisiana, Female,Intracranial Hemorrhage / Stroke,Donors,All,75
