Organ,Type,OrganType,Year,Value,,,,,,,,,
All,Recovered,All Recovered,2014,19815.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2014,10211.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2014,4619.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2014,1744.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2014,836.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2014,2314.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2014,91.000000,,,,,,,,,
All,Transplanted,All Transplanted,2014,17115.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2014,8304.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2014,4182.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2014,1724.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2014,629.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2014,2191.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2014,85.000000,,,,,,,,,
All,Donors,All Donors,2014,5658.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2014,3.502121,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2014,1.804701,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2014,0.816366,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2014,0.308236,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2014,0.147755,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2014,0.408978,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2014,0.016083,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2014,3.024920,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2014,1.467656,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2014,0.739130,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2014,0.304701,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2014,0.111170,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2014,0.387239,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2014,0.015023,,,,,,,,,
All,Recovered,All Recovered,2013,29403.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2013,15007.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2013,6774.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2013,2582.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2013,1376.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2013,3543.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2013,121.000000,,,,,,,,,
All,Transplanted,All Transplanted,2013,25437.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2013,12273.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2013,6133.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2013,2562.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2013,1054.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2013,3306.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2013,109.000000,,,,,,,,,
All,Donors,All Donors,2013,8268.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2013,3.556241,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2013,1.815070,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2013,0.819303,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2013,0.312288,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2013,0.166425,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2013,0.428520,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2013,0.014635,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2013,3.076560,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2013,1.484398,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2013,0.741776,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2013,0.309869,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2013,0.127479,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2013,0.399855,,,,,,,,,
