Organ,Type,OrganType,Year,Value
All,Recovered,All Recovered,2014,3.502121
Kidney,Recovered,Kidney Recovered,2014,1.804701
Pancreas,Recovered,Pancreas Recovered,2014,0.816366
Liver,Recovered,Liver Recovered,2014,0.308236
Heart,Recovered,Heart Recovered,2014,0.147755
Lungs,Recovered,Lungs Recovered,2014,0.408978
Intestine,Recovered,Intestine Recovered,2014,0.016083
All,Transplanted,All Transplanted,2014,3.02492
Kidney,Transplanted,Kidney Transplanted,2014,1.467656
Pancreas,Transplanted,Pancreas Transplanted,2014,0.73913
Liver,Transplanted,Liver Transplanted,2014,0.304701
Heart,Transplanted,Heart Transplanted,2014,0.11117
Lungs,Transplanted,Lungs Transplanted,2014,0.387239
Intestine,Transplanted,Intestine Transplanted,2014,0.015023
All,Recovered,All Recovered,2013,3.556241
Kidney,Recovered,Kidney Recovered,2013,1.81507
Pancreas,Recovered,Pancreas Recovered,2013,0.819303
Liver,Recovered,Liver Recovered,2013,0.312288
Heart,Recovered,Heart Recovered,2013,0.166425
Lungs,Recovered,Lungs Recovered,2013,0.42852
Intestine,Recovered,Intestine Recovered,2013,0.014635
All,Transplanted,All Transplanted,2013,3.07656
Kidney,Transplanted,Kidney Transplanted,2013,1.484398
Pancreas,Transplanted,Pancreas Transplanted,2013,0.741776
Liver,Transplanted,Liver Transplanted,2013,0.309869
Heart,Transplanted,Heart Transplanted,2013,0.127479
Lungs,Transplanted,Lungs Transplanted,2013,0.399855
Intestine,Transplanted,Intestine Transplanted,2013,0.013183
All,Recovered,All Recovered,2012,3.512465
Kidney,Recovered,Kidney Recovered,2012,1.811863
Pancreas,Recovered,Pancreas Recovered,2012,0.814196
Liver,Recovered,Liver Recovered,2012,0.300995
Heart,Recovered,Heart Recovered,2012,0.17819
Lungs,Recovered,Lungs Recovered,2012,0.393221
Intestine,Recovered,Intestine Recovered,2012,0.014
All,Transplanted,All Transplanted,2012,3.015719
Kidney,Transplanted,Kidney Transplanted,2012,1.472553
Pancreas,Transplanted,Pancreas Transplanted,2012,0.729584
Liver,Transplanted,Liver Transplanted,2012,0.297311
Heart,Transplanted,Heart Transplanted,2012,0.132506
Lungs,Transplanted,Lungs Transplanted,2012,0.370748
Intestine,Transplanted,Intestine Transplanted,2012,0.013017
All,Recovered,All Recovered,2011,3.54984
Kidney,Recovered,Kidney Recovered,2011,1.819591
Pancreas,Recovered,Pancreas Recovered,2011,0.822545
Liver,Recovered,Liver Recovered,2011,0.292887
Heart,Recovered,Heart Recovered,2011,0.192222
Lungs,Recovered,Lungs Recovered,2011,0.405981
Intestine,Recovered,Intestine Recovered,2011,0.016613
All,Transplanted,All Transplanted,2011,3.07236
Kidney,Transplanted,Kidney Transplanted,2011,1.49397
Pancreas,Transplanted,Pancreas Transplanted,2011,0.742063
Liver,Transplanted,Liver Transplanted,2011,0.291041
Heart,Transplanted,Heart Transplanted,2011,0.14066
Lungs,Transplanted,Lungs Transplanted,2011,0.388752
Intestine,Transplanted,Intestine Transplanted,2011,0.015875
All,Recovered,All Recovered,2010,3.583533
Kidney,Recovered,Kidney Recovered,2010,1.81405
Pancreas,Recovered,Pancreas Recovered,2010,0.832305
Liver,Recovered,Liver Recovered,2010,0.302908
Heart,Recovered,Heart Recovered,2010,0.208989
Lungs,Recovered,Lungs Recovered,2010,0.405262
Intestine,Recovered,Intestine Recovered,2010,0.020018
All,Transplanted,All Transplanted,2010,3.095304
Kidney,Transplanted,Kidney Transplanted,2010,1.481556
Pancreas,Transplanted,Pancreas Transplanted,2010,0.747073
Liver,Transplanted,Liver Transplanted,2010,0.301272
Heart,Transplanted,Heart Transplanted,2010,0.156616
Lungs,Transplanted,Lungs Transplanted,2010,0.389777
Intestine,Transplanted,Intestine Transplanted,2010,0.01901
All,Recovered,All Recovered,2009,3.5273
Kidney,Recovered,Kidney Recovered,2009,1.794316
Pancreas,Recovered,Pancreas Recovered,2009,0.840065
Liver,Recovered,Liver Recovered,2009,0.284343
Heart,Recovered,Heart Recovered,2009,0.216904
Lungs,Recovered,Lungs Recovered,2009,0.368362
Intestine,Recovered,Intestine Recovered,2009,0.023311
All,Transplanted,All Transplanted,2009,3.017577
Kidney,Transplanted,Kidney Transplanted,2009,1.449888
Pancreas,Transplanted,Pancreas Transplanted,2009,0.749938
Liver,Transplanted,Liver Transplanted,2009,0.282349
