Organ,Type,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All,Recovered,"19,815","29,403","28,602","28,846","28,464","28,296","27,876","28,305","28,238","26,831","25,143","22,899","22,414","21,924","21,499","21,134","20,814","20,064","19,684","19,753","19,260","18,108","16,038","15,603","15,001","12,851","12,142"
Kidney,Recovered,"10,211","15,007","14,754","14,786","14,409","14,394","14,278","14,380","14,274","13,313","12,570","11,433","11,196","10,985","10,909","10,703","10,594","10,090","10,018","9,937","9,529","9,163","8,501","8,479","8,549","7,566","7,705"
Pancreas,Recovered,"4,619","6,774","6,630","6,684","6,611","6,739","6,751","6,936","7,014","6,692","6,319","5,682","5,294","5,106","4,997","4,947","4,843","4,601","4,462","4,335","4,093","3,764","3,334","3,165","2,868","2,372","1,833"
Liver,Recovered,"1,744","2,582","2,451","2,380","2,406","2,281","2,222","2,286","2,276","2,220","2,096","2,119","2,223","2,276","2,284","2,316","2,447","2,426","2,462","2,491","2,524","2,442","2,246","2,198","2,167","1,781","1,784"
Heart,Recovered,836,"1,376","1,451","1,562","1,660","1,740","1,829","1,924","2,029","2,048","2,022","1,775","1,883","1,821","1,698","1,628","1,462","1,323","1,292","1,281","1,359","1,243","1,004","1,066",951,799,577
Lungs ,Recovered,"2,314","3,543","3,202","3,299","3,219","2,955","2,599","2,574","2,461","2,374","1,970","1,768","1,706","1,620","1,524","1,445","1,390","1,552","1,402","1,587","1,694","1,462",932,684,461,333,243
Intestine,Recovered,91,121,114,135,159,187,197,205,184,184,166,122,112,116,87,95,78,72,48,122,61,34,21,11,5,0,0
All,Transplanted,"17,115","25,437","24,557","24,966","24,586","24,207","23,908","24,200","24,449","23,278","21,897","20,322","20,031","19,279","18,942","18,593","18,620","17,823","17,441","17,528","16,463","15,823","14,363","14,040","13,565","11,731","11,189"
Kidney,Transplanted,"8,304","12,273","11,991","12,140","11,768","11,631","11,670","11,750","11,906","11,102","10,486","9,765","9,696","9,407","9,282","9,227","9,286","8,852","8,786","8,802","8,509","8,292","7,775","7,828","7,891","7,155","7,312"
Pancreas,Transplanted,"4,182","6,133","5,941","6,030","5,934","6,016","6,000","6,154","6,309","6,041","5,777","5,263","4,893","4,598","4,505","4,425","4,351","4,037","3,977","3,862","3,571","3,381","3,013","2,895","2,646","2,152","1,690"
Liver,Transplanted,"1,724","2,562","2,421","2,365","2,393","2,265","2,210","2,260","2,249","2,190","2,074","2,096","2,205","2,244","2,256","2,247","2,394","2,353","2,373","2,424","2,400","2,350","2,202","2,166","2,136","1,760","1,740"
Heart,Transplanted,629,"1,054","1,079","1,143","1,244","1,269","1,309","1,354","1,433","1,466","1,516","1,384","1,480","1,374","1,348","1,295","1,216","1,055","1,013","1,023",842,771,553,530,524,413,244
Lungs ,Transplanted,"2,191","3,306","3,019","3,159","3,096","2,849","2,534","2,485","2,381","2,308","1,898","1,702","1,651","1,544","1,472","1,328","1,305","1,461","1,250","1,372","1,118",995,799,610,363,251,203
Intestine,Transplanted,85,109,106,129,151,177,185,197,171,171,146,112,106,112,79,71,68,65,42,45,23,34,21,11,5,0,0
All,Donors,"5,658","8,268","8,143","8,126","7,943","8,022","7,989","8,085","8,017","7,593","7,150","6,457","6,190","6,080","5,985","5,824","5,793","5,479","5,418","5,363","5,099","4,861","4,520","4,526","4,509","4,011","4,080"
All,Recovered Per Donor,3.502120891,3.556240929,3.512464694,3.54984002,3.58353267,3.527299925,3.489297784,3.500927644,3.522265186,3.533649414,3.516503497,3.54638377,3.621001616,3.605921053,3.592147034,3.628777473,3.592957017,3.661982114,3.633074935,3.683199702,3.777211218,3.725159432,3.548230088,3.447414936,3.326901752,3.203939167,2.975980392
Kidney,Recovered Per Donor,1.804701308,1.81507015,1.81186295,1.819591435,1.814050107,1.794315632,1.78720741,1.77860235,1.780466509,1.753325431,1.758041958,1.770636519,1.808723748,1.806743421,1.822723475,1.837740385,1.828758847,1.84157693,1.849021779,1.85288085,1.868797803,1.885003086,1.880752212,1.873398144,1.895985806,1.88631264,1.888480392
Pancreas,Recovered Per Donor,0.816366207,0.819303338,0.814196242,0.822544918,0.832305174,0.840064822,0.845036926,0.857884972,0.874890857,0.881338075,0.883776224,0.879975221,0.855250404,0.839802632,0.834920635,0.849416209,0.836008976,0.83975178,0.823551126,0.808316241,0.802706413,0.77432627,0.737610619,0.699292974,0.636061211,0.591373722,0.449264706
Liver,Recovered Per Donor,0.308236126,0.312288341,0.300994719,0.292887029,0.302908221,0.284343057,0.278132432,0.282745826,0.283896719,0.292374556,0.293146853,0.328170977,0.359127625,0.374342105,0.381620718,0.397664835,0.422406352,0.442781529,0.454411222,0.464478836,0.494999019,0.502365768,0.496902655,0.485638533,0.480594367,0.44402892,0.437254902
Heart,Recovered Per Donor,0.147755391,0.16642477,0.178189856,0.192222496,0.208989047,0.216903515,0.228939792,0.237971552,0.25308719,0.269722112,0.282797203,0.274895462,0.304200323,0.299506579,0.283709273,0.279532967,0.252373554,0.241467421,0.238464378,0.238858848,0.266522848,0.255708702,0.222123894,0.23552806,0.21091151,0.199202194,0.141421569
