State,Gender,EstPop
Alabama,Male,2337239
Alabama,Female,2480289
Alaska,Male,380517
Alaska,Female,349790
Arizona,Male,3257757
Arizona,Female,3293392
Arkansas,Male,1448951
Arkansas,Female,1500877
California,Male,18895965
California,Female,19103913
Colorado,Male,2604770
Colorado,Female,2584688
Connecticut,Male,1750881
Connecticut,Female,1840884
Delaware,Male,444107
Delaware,Female,472946
District of Columbia,Male,299696
District of Columbia,Female,333731
Florida,Male,9447319
Florida,Female,9873430
Georgia,Male,4848124
Georgia,Female,5067522
Hawaii,Male,700502
Hawaii,Female,689588
Idaho,Male,798322
Idaho,Female,797268
Illinois,Male,6315958
Illinois,Female,6552234
Indiana,Male,3218520
Indiana,Female,3319262
Iowa,Male,1524910
Iowa,Female,1550129
Kansas,Male,1435458
Kansas,Female,1449940
Kentucky,Male,2155895
Kentucky,Female,2223835
Louisiana,Male,2252408
Louisiana,Female,2349726
Maine,Male,649961
Maine,Female,678540
Maryland,Male,2851828
Maryland,Female,3033040
Massachusetts,Male,3219920
Massachusetts,Female,3425383
Michigan,Male,4850801
Michigan,Female,5031718
Minnesota,Male,2672357
Minnesota,Female,2707289
Mississippi,Male,1451645
Mississippi,Female,1534805
Missouri,Male,2952485
Missouri,Female,3072037
Montana,Male,504865
Montana,Female,500629
Nebraska,Male,922123
Nebraska,Female,933227
Nevada,Male,1388773
Nevada,Female,1365581
New Hampshire,Male,652556
New Hampshire,Female,669061
New Jersey,Male,4325310
New Jersey,Female,4542439
New Mexico,Male,1031829
New Mexico,Female,1051711
New York,Male,9494639
New York,Female,10081486
North Carolina,Male,4750263
North Carolina,Female,4998101
North Dakota,Male,356969
North Dakota,Female,344376
Ohio,Male,5647226
Ohio,Female,5905805
Oklahoma,Male,1889507
Oklahoma,Female,1926273
Oregon,Male,1929561
Oregon,Female,1970240
Pennsylvania,Male,6232018
Pennsylvania,Female,6532457
Puerto Rico,Male,3725789
Rhode Island,Male,508155
Rhode Island,Female,542149
South Carolina,Male,2298812
South Carolina,Female,2424605
South Dakota,Male,418756
South Dakota,Female,415291
Tennessee,Male,3149097
Tennessee,Female,3305817
Texas,Male,12948171
Texas,Female,13112625
Utah,Male,1435471
Utah,Female,1419400
Vermont,Male,308718
Vermont,Female,317235
Virginia,Male,4023398
Virginia,Female,4163230
Washington,Male,3440311
Washington,Female,3455007
West Virginia,Male,916320
West Virginia,Female,940360
Wisconsin,Male,2842225
Wisconsin,Female,2882329
Wyoming,Male,294454
Wyoming,Female,282172
