,AllGender_LeadingDeathMechanism,AllGender_Donors,AllGenders_Recovered_All,AllGenders_Recovered_Kidney,AllGenders_Recovered_Pancreas,AllGenders_Recovered_Liver
Wisconsin,Intracranial Hemorrhage / Stroke,192,668,354,0,153
Washington,Intracranial Hemorrhage / Stroke,176,624,342,11,136
Virginia,Intracranial Hemorrhage / Stroke,179,599,335,2,149
Utah,Blunt Injury,83,279,160,31,53
Texas,Intracranial Hemorrhage / Stroke,656,2357,1157,23,511
Tennessee,Intracranial Hemorrhage / Stroke,301,1088,558,8,265
South Carolina,Intracranial Hemorrhage / Stroke,103,385,189,1,96
Puerto Rico,Intracranial Hemorrhage / Stroke,105,359,184,0,89
Pennsylvania,Intracranial Hemorrhage / Stroke,611,2102,1081,87,536
Oregon,Blunt Injury,75,271,144,10,65
Oklahoma,Blunt Injury,94,360,182,20,78
Ohio,Intracranial Hemorrhage / Stroke,297,1067,547,66,245
North Carolina,Intracranial Hemorrhage / Stroke,299,1060,548,56,220
New York,Intracranial Hemorrhage / Stroke,358,1093,593,46,293
New Mexico,Blunt Injury,34,106,64,2,25
New Jersey,Intracranial Hemorrhage / Stroke,139,451,264,19,89
Nevada,Intracranial Hemorrhage / Stroke,75,274,146,14,62
Nebraska,Intracranial Hemorrhage / Stroke,40,139,76,9,34
Missouri,Intracranial Hemorrhage / Stroke,165,618,278,22,140
Mississippi,Intracranial Hemorrhage / Stroke,76,286,145,9,69
Minnesota,Intracranial Hemorrhage / Stroke,153,553,285,34,131
Michigan,Intracranial Hemorrhage / Stroke,261,902,478,41,187
Massachusetts,Intracranial Hemorrhage / Stroke,217,732,409,40,158
Maryland,Intracranial Hemorrhage / Stroke,142,533,257,39,122
Louisiana,Intracranial Hemorrhage / Stroke,170,618,279,41,162
Kentucky,Intracranial Hemorrhage / Stroke,88,317,170,13,75
Kansas,Intracranial Hemorrhage / Stroke,209,721,376,43,148
Iowa,Intracranial Hemorrhage / Stroke,60,213,116,14,45
Indiana,Blunt Injury,154,609,291,49,136
Illinois,Intracranial Hemorrhage / Stroke,270,925,483,83,204
Hawaii,Intracranial Hemorrhage / Stroke,57,156,110,8,34
Georgia,Intracranial Hemorrhage / Stroke,269,922,417,41,242
Florida,Intracranial Hemorrhage / Stroke,554,1957,993,91,478
District of Columbia,Intracranial Hemorrhage / Stroke,132,421,213,21,109
Connecticut,Intracranial Hemorrhage / Stroke,42,156,82,11,37
Colorado,Blunt Injury,126,449,236,23,103
California,Intracranial Hemorrhage / Stroke,861,3115,1629,141,672
Arkansas,Intracranial Hemorrhage / Stroke,67,241,122,6,62
Arizona,Blunt Injury,143,511,265,24,120
Alabama,Intracranial Hemorrhage / Stroke,110,365,196,20,97
