,Gender,Organ,Type,Value
WI,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
WA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
VA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
UT,All Genders,All,Leading Death Mechanism,Blunt Injury
TX,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
TN,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
SC,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
PR,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
PA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
OR,All Genders,All,Leading Death Mechanism,Blunt Injury
OK,All Genders,All,Leading Death Mechanism,Blunt Injury
OH,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
NC,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
NY,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
NM,All Genders,All,Leading Death Mechanism,Blunt Injury
NJ,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
NV,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
NE,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MO,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MS,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MN,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MI,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
MD,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
LA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
KY,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
KS,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
IA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
IN,All Genders,All,Leading Death Mechanism,Blunt Injury
IL,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
HI,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
GA,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
FL,All Genders,All,Leading Death Mechanism,Intracranial Hemorrhage / Stroke
