Region,Gender,Type,Organ,Count
Pacific,Male,Recovered Per Donor,All,3.675555556
Pacific,Female,Recovered Per Donor,All,3.498855835
Northeast,Male,Recovered Per Donor,All,3.376794258
Northeast,Female,Recovered Per Donor,All,3.222222222
Rocky Mountains,Male,Recovered Per Donor,All,3.56
Rocky Mountains,Female,Recovered Per Donor,All,3.333333333
Southwest,Male,Recovered Per Donor,All,3.392592593
Southwest,Female,Recovered Per Donor,All,3.382113821
Southeast,Male,Recovered Per Donor,All,3.617379117
Southeast,Female,Recovered Per Donor,All,3.414863594
Midwest,Male,Recovered Per Donor,All,3.538461538
Midwest,Female,Recovered Per Donor,All,3.550445104
Hawaii,Male,Recovered Per Donor,All,2.736842105
Hawaii,Female,Recovered Per Donor,All,2.736842105
Puerto Rico,Male,Recovered Per Donor,All,3.787878788
Puerto Rico,Female,Recovered Per Donor,All,2.794871795
Pacific,All Genders,Recovered Per Donor,All,3.606115108
Northeast,All Genders,Recovered Per Donor,All,3.316752012
Rocky Mountains,All Genders,Recovered Per Donor,All,3.492
Southwest,All Genders,Recovered Per Donor,All,3.384920635
Southeast,All Genders,Recovered Per Donor,All,3.530923695
Midwest,All Genders,Recovered Per Donor,All,3.543398533
Hawaii,All Genders,Recovered Per Donor,All,2.736842105
Puerto Rico,All Genders,Recovered Per Donor,All,3.419047619
Pacific,All Genders,Transplanted Per Donor,All,3.202338129
Northeast,All Genders,Transplanted Per Donor,All,2.689100219
Rocky Mountains,All Genders,Transplanted Per Donor,All,3.088
Southwest,All Genders,Transplanted Per Donor,All,2.843253968
Southeast,All Genders,Transplanted Per Donor,All,3.025702811
Midwest,All Genders,Transplanted Per Donor,All,3.072738386
Hawaii,All Genders,Transplanted Per Donor,All,2.035087719
Puerto Rico,All Genders,Transplanted Per Donor,All,2.79047619
Pacific,Male,Transplanted Per Donor,All,3.281481481
Pacific,Female,Transplanted Per Donor,All,3.080091533
Northeast,Male,Transplanted Per Donor,All,2.782296651
Northeast,Female,Transplanted Per Donor,All,2.542372881
Rocky Mountains,Male,Transplanted Per Donor,All,3.114285714
Rocky Mountains,Female,Transplanted Per Donor,All,3.026666667
Southwest,Male,Transplanted Per Donor,All,2.851851852
Southwest,Female,Transplanted Per Donor,All,2.840108401
Southeast,Male,Transplanted Per Donor,All,3.166082691
Southeast,Female,Transplanted Per Donor,All,2.837253057
Midwest,Male,Transplanted Per Donor,All,3.086278586
Midwest,Female,Transplanted Per Donor,All,3.053412463
Hawaii,Male,Transplanted Per Donor,All,2.078947368
Hawaii,Female,Transplanted Per Donor,All,1.947368421
Puerto Rico,Male,Transplanted Per Donor,All,3.121212121
Puerto Rico,Female,Transplanted Per Donor,All,2.230769231
Pacific,Male,Donors,All,675
Pacific,Female,Donors,All,437
Northeast,Male,Donors,All,836
Northeast,Female,Donors,All,531
Rocky Mountains,Male,Donors,All,175
Rocky Mountains,Female,Donors,All,75
Southwest,Male,Donors,All,135
Southwest,Female,Donors,All,369
Southeast,Male,Donors,All,1427
Southeast,Female,Donors,All,1063
Midwest,Male,Donors,All,962
Midwest,Female,Donors,All,674
Hawaii,Male,Donors,All,38
Hawaii,Female,Donors,All,19
Puerto Rico,Male,Donors,All,66
Puerto Rico,Female,Donors,All,39
Pacific,Male,Recovered,All,2481
Pacific,Female,Recovered,All,1529
Northeast,Male,Recovered,All,2823
Northeast,Female,Recovered,All,1711
Rocky Mountains,Male,Recovered,All,623
Rocky Mountains,Female,Recovered,All,250
Southwest,Male,Recovered,All,458
Southwest,Female,Recovered,All,1248
Southeast,Male,Recovered,All,5162
Southeast,Female,Recovered,All,3630
Midwest,Male,Recovered,All,3404
Midwest,Female,Recovered,All,2393
Hawaii,Male,Recovered,All,104
Hawaii,Female,Recovered,All,52
Puerto Rico,Male,Recovered,All,250
Puerto Rico,Female,Recovered,All,109
Pacific,Male,Recovered,Kidney,1290
Pacific,Female,Recovered,Kidney,825
Northeast,Male,Recovered,Kidney,1490
Northeast,Female,Recovered,Kidney,939
Rocky Mountains,Male,Recovered,Kidney,335
Rocky Mountains,Female,Recovered,Kidney,143
Southwest,Male,Recovered,Kidney,257
Southwest,Female,Recovered,Kidney,641
Southeast,Male,Recovered,Kidney,2538
Southeast,Female,Recovered,Kidney,1884
