,AllGender_LeadingDeathMechanism,AllGenders_Donors,AllGenders_Recovered_All,AllGenders_Recovered_Kidney,AllGenders_Recovered_Pancreas,AllGenders_Recovered_Liver,AllGenders_Recovered_Intestine,AllGenders_Recovered_Heart,AllGenders_Recovered_Lung,AllGenders_Transplanted_All,AllGenders_Transplanted_Kidney,AllGenders_Transplanted_Pancreas,AllGenders_Transplanted_Liver,AllGenders_Transplanted_Intestine,AllGenders_Transplanted_Heart,AllGenders_Transplanted_Lung
WI,Intracranial Hemorrhage / Stroke,192,668,354,0,153,2,52,55,559,285,40,126,2,51,55
WA,Intracranial Hemorrhage / Stroke,176,624,342,11,136,1,59,60,525,294,17,97,1,58,58
VA,Intracranial Hemorrhage / Stroke,179,599,335,2,149,3,38,53,476,248,17,119,3,37,52
UT,Blunt Injury,83,279,160,31,53,3,29,26,259,144,7,50,3,29,26
TX,Intracranial Hemorrhage / Stroke,656,2357,1157,23,511,5,236,338,2061,924,89,474,4,235,335
TN,Intracranial Hemorrhage / Stroke,301,1088,558,8,265,8,92,106,899,407,44,247,8,91,102
SC,Intracranial Hemorrhage / Stroke,103,385,189,1,96,2,36,47,331,154,12,85,2,35,43
PR,Intracranial Hemorrhage / Stroke,105,359,184,0,89,0,24,45,293,134,15,84,0,24,36
PA,Intracranial Hemorrhage / Stroke,611,2102,1081,87,536,4,159,235,1569,789,49,414,4,149,164
OR,Blunt Injury,75,271,144,10,65,0,25,27,249,131,10,56,0,25,27
OK,Blunt Injury,94,360,182,20,78,3,32,45,323,164,13,67,3,32,44
OH,Intracranial Hemorrhage / Stroke,297,1067,547,66,245,1,95,113,953,456,59,234,1,95,108
NC,Intracranial Hemorrhage / Stroke,299,1060,548,56,220,4,80,152,868,427,30,199,4,78,130
NY,Intracranial Hemorrhage / Stroke,358,1093,593,46,293,6,99,56,956,491,34,275,6,99,51
NM,Blunt Injury,34,106,64,2,25,0,6,9,89,50,1,24,0,6,8
NJ,Intracranial Hemorrhage / Stroke,139,451,264,19,89,0,37,42,378,213,14,76,0,37,38
NV,Intracranial Hemorrhage / Stroke,75,274,146,14,62,4,20,28,234,116,10,56,4,20,28
NE,Intracranial Hemorrhage / Stroke,40,139,76,9,34,0,8,12,130,70,7,33,0,8,12
MO,Intracranial Hemorrhage / Stroke,165,618,278,22,140,1,48,129,556,230,19,130,1,48,128
MS,Intracranial Hemorrhage / Stroke,76,286,145,9,69,2,27,34,249,121,5,63,2,27,31
MN,Intracranial Hemorrhage / Stroke,153,553,285,34,131,2,47,54,465,220,21,121,2,47,54
MI,Intracranial Hemorrhage / Stroke,261,902,478,41,187,6,87,103,775,373,37,172,6,86,101
MA,Intracranial Hemorrhage / Stroke,217,732,409,40,158,3,56,66,635,352,22,141,3,55,62
MD,Intracranial Hemorrhage / Stroke,142,533,257,39,122,0,42,73,431,194,23,108,0,40,66
LA,Intracranial Hemorrhage / Stroke,170,618,279,41,162,3,44,89,556,227,37,157,3,44,88
KY,Intracranial Hemorrhage / Stroke,88,317,170,13,75,2,23,34,274,135,9,72,2,23,33
KS,Intracranial Hemorrhage / Stroke,209,721,376,43,148,1,64,89,626,308,32,136,1,64,85
IA,Intracranial Hemorrhage / Stroke,60,213,116,14,45,2,18,18,189,101,11,39,2,18,18
IN,Blunt Injury,154,609,291,49,136,12,61,60,530,250,34,116,10,61,59
IL,Intracranial Hemorrhage / Stroke,270,925,483,83,204,7,76,72,800,394,55,198,6,76,71
HI,Intracranial Hemorrhage / Stroke,57,156,110,8,34,0,0,4,116,84,6,22,0,0,4
GA,Intracranial Hemorrhage / Stroke,269,922,417,41,242,4,95,123,821,339,38,226,4,95,119
FL,Intracranial Hemorrhage / Stroke,554,1957,993,91,478,13,176,206,1751,840,72,459,10,174,196
DC,Intracranial Hemorrhage / Stroke,132,421,213,21,109,0,26,52,356,176,15,89,0,24,52
CT,Intracranial Hemorrhage / Stroke,42,156,82,11,37,0,16,10,138,72,7,33,0,16,10
CO,Blunt Injury,126,449,236,23,103,1,48,38,390,203,21,84,1,47,34
CA,Intracranial Hemorrhage / Stroke,861,3115,1629,141,672,8,279,386,2787,1406,109,608,7,276,381
AR,Intracranial Hemorrhage / Stroke,67,241,122,6,62,0,19,32,205,97,4,53,0,19,32
AZ,Blunt Injury,143,511,265,24,120,0,45,57,438,215,18,106,0,45,54
AL,Intracranial Hemorrhage / Stroke,110,365,196,20,97,1,27,24,317,157,16,92,1,27,24
