,Gender,Organ,Type,Value
WI,All Genders,All Organs,Leading Death Mechanism,1
WA,All Genders,All Organs,Leading Death Mechanism,1
VA,All Genders,All Organs,Leading Death Mechanism,1
UT,All Genders,All Organs,Leading Death Mechanism,2
TX,All Genders,All Organs,Leading Death Mechanism,1
TN,All Genders,All Organs,Leading Death Mechanism,1
SC,All Genders,All Organs,Leading Death Mechanism,1
PR,All Genders,All Organs,Leading Death Mechanism,1
PA,All Genders,All Organs,Leading Death Mechanism,1
OR,All Genders,All Organs,Leading Death Mechanism,2
OK,All Genders,All Organs,Leading Death Mechanism,2
OH,All Genders,All Organs,Leading Death Mechanism,1
NC,All Genders,All Organs,Leading Death Mechanism,1
NY,All Genders,All Organs,Leading Death Mechanism,1
NM,All Genders,All Organs,Leading Death Mechanism,2
NJ,All Genders,All Organs,Leading Death Mechanism,1
NV,All Genders,All Organs,Leading Death Mechanism,1
NE,All Genders,All Organs,Leading Death Mechanism,1
MO,All Genders,All Organs,Leading Death Mechanism,1
MS,All Genders,All Organs,Leading Death Mechanism,1
MN,All Genders,All Organs,Leading Death Mechanism,1
MI,All Genders,All Organs,Leading Death Mechanism,1
MA,All Genders,All Organs,Leading Death Mechanism,1
MD,All Genders,All Organs,Leading Death Mechanism,1
LA,All Genders,All Organs,Leading Death Mechanism,1
KY,All Genders,All Organs,Leading Death Mechanism,1
KS,All Genders,All Organs,Leading Death Mechanism,1
IA,All Genders,All Organs,Leading Death Mechanism,1
IN,All Genders,All Organs,Leading Death Mechanism,2
IL,All Genders,All Organs,Leading Death Mechanism,1
HI,All Genders,All Organs,Leading Death Mechanism,1
GA,All Genders,All Organs,Leading Death Mechanism,1
FL,All Genders,All Organs,Leading Death Mechanism,1
DC,All Genders,All Organs,Leading Death Mechanism,1
CT,All Genders,All Organs,Leading Death Mechanism,1
CO,All Genders,All Organs,Leading Death Mechanism,2
CA,All Genders,All Organs,Leading Death Mechanism,1
AR,All Genders,All Organs,Leading Death Mechanism,1
AZ,All Genders,All Organs,Leading Death Mechanism,2
AL,All Genders,All Organs,Leading Death Mechanism,1
