,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,perCapInc,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,PersPerFam,PctFam2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentMedian,RentQrange,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
1,11980,3.1,1.37,91.78,6.5,1.88,12.47,21.44,10.93,11.33,100,75122,89.24,1.55,70.2,23.62,1.03,18.39,29711,13600,5725,27101,5115,22838,1.96,5.81,9.9,2.7,64.55,14.65,28.82,5.49,50.73,3.67,26.38,5.22,3.22,91.43,95.78,95.81,44.56,58.88,0.36,8.69,13,20.99,30.93,0.93,85.68,1.37,4.81,2.99,3,2.84,91.46,0.39,11.06,3,64,98.37,3.12,37.5,1959,0,0.28,262600,111000,1001,316,23.8,21.1,14,10.66,53.72,65.29,78.09,89.14,6.5,1845.9,9.63,41.02
2,23123,2.82,0.8,95.57,3.44,0.85,11.01,21.3,10.48,17.18,100,47917,78.99,1.11,64.11,35.5,2.75,22.85,20148,18137,0,20074,5250,12222,3.98,5.61,13.72,2.43,61.96,12.26,29.28,6.39,37.64,4.23,27.99,6.45,3.11,86.91,96.82,86.46,51.14,62.43,0.24,5.21,8.65,13.33,22.5,0.43,87.79,1.81,4.25,2.7,2.83,1.96,89.03,1.01,23.6,3,240,97.15,0,18.33,1958,0.31,0.14,164200,63600,560,205,27.6,20.7,12.5,8.3,77.17,71.27,90.22,96.12,10.6,2186.7,3.84,127.56
3,29344,2.43,0.74,94.33,3.43,2.35,11.36,25.88,11.01,10.28,100,35669,82,1.15,55.73,22.25,2.94,14.56,16946,16644,21606,15528,5954,8405,4.75,2.8,9.09,4.01,69.8,15.95,21.52,8.79,32.48,10.1,25.78,14.76,2.95,78.54,92.37,75.72,66.08,74.19,0.88,16.42,23.98,32.08,35.63,0.82,93.11,1.14,2.97,2.42,2.69,2.06,64.18,2.03,47.46,3,544,95.68,0.92,7.54,1976,1.55,0.12,90400,37300,428,150,24.1,21.7,11.6,5,44.77,36.6,61.26,82.85,10.6,2780.9,4.37,218.59
6,140494,2.45,2.51,95.65,0.9,0.95,18.09,32.89,20.04,13.26,100,21577,75.78,1,41.15,29.31,7.12,14.09,11878,7382,10264,10753,7192,8104,17.78,8.76,23.03,5.72,59.02,14.31,26.83,14.72,23.42,11.4,33.32,14.46,2.89,71.94,79.76,75.33,62.96,70.52,1.58,21.33,30.56,38.02,45.48,0.32,96.87,0.6,3.08,2.28,2.37,2.16,57.81,2.11,53.19,2,5119,91.81,2.09,26.22,1966,6.13,0.31,53900,35400,280,134,26.4,17.3,11.7,1.49,64.35,42.29,70.61,85.66,70.4,1995.7,0.97,442.95
7,28700,2.6,1.6,96.57,1.47,1.1,11.17,27.41,12.76,14.42,100,42805,79.47,0.39,47.7,30.23,5.41,17.23,18193,17342,21482,12639,21852,22594,4.01,4.49,13.89,4.85,65.42,14.02,27.17,8.5,32.78,5.97,36.05,9.06,3.14,79.53,92.05,77.12,65.16,72.81,1.18,11.38,16.27,23.93,27.76,1.05,89.98,0.6,5.08,2.55,2.89,2.09,64.62,1.47,47.35,3,566,95.11,1.41,34.45,1956,0.69,0.28,179000,60400,669,361,24.4,20.8,12.5,9.19,77.3,63.45,82.23,93.53,10.9,2643.5,9.62,226.63
8,59459,2.45,14.2,84.87,0.4,0.63,15.31,27.93,14.78,14.6,100,23221,71.6,0.67,35.74,32.58,8.81,22.59,12161,9820,6634,8802,7428,6187,17.98,10.09,28.67,8.19,56.59,27,21.54,21.92,18.02,13.28,28.34,16.33,2.95,62.56,69.89,62.76,63.08,72.44,4.66,13.15,22.82,28.24,33.08,0.11,97.43,0.28,3.85,2.36,2.42,2.27,65.29,1.9,56.3,2,2051,92.22,6.39,56.36,1954,8.42,0.49,37000,26100,253,139,26.3,15.1,12.2,0.87,73.7,54.85,85.55,91.51,39.2,1515.3,0.7,439.73
9,74111,2.46,0.35,97.11,1.25,0.73,16.64,35.16,20.33,8.58,100,25326,83.69,2.93,47.11,19.3,4.21,10.31,13554,8852,5344,8011,5332,5174,13.68,5.52,11.27,4.18,68.51,6.89,31.55,11.37,29.43,7.29,40.87,9.94,3,79.35,86.6,80.7,74.32,78.51,1.64,23.68,33.58,46.68,53.93,0.47,95.21,0.43,2.59,2.32,2.77,1.91,57.42,1.67,59.32,2,1562,95.07,0.45,25.61,1971,2.66,0.19,70300,39200,321,146,25.2,20.7,12.8,1.99,58.82,40.72,67.97,81.39,30.9,2399.3,1.41,115.31
10,103590,2.62,23.14,67.6,0.92,16.35,19.88,34.55,21.62,13.12,100,17852,74.2,0.86,30.98,29.09,9.06,13.99,10195,5715,11313,5770,7320,6984,28.68,13.01,31.62,8.39,51.37,15.73,29.06,16.43,24.3,11.07,38.49,14.66,3.11,61.65,68.85,61.69,60.8,69.23,4.71,15.54,23.08,35.32,49.82,0.72,85.72,2.51,6.7,2.45,2.47,2.44,46.82,6.14,59.96,2,5606,87.57,5.64,37.57,1960,11.74,0.33,43100,38800,281,177,29.6,19.4,13,4.63,75.59,42.33,74.05,92.12,78.5,1319.3,0.76,1544.24
11,31601,2.54,12.63,83.22,0.77,4.39,15.73,28.57,15.16,14.26,100,24763,73.92,1.54,37.36,32.68,7.02,15.2,12929,7496,9126,9107,5267,4542,15.61,9.07,24.86,7.19,57.76,25.33,27.59,15.74,27.28,11.48,27.6,15.26,2.99,68.41,75.18,70.94,67.43,72.96,2.47,17.91,35.39,56.08,65.46,0.53,94.85,0.81,3.66,2.42,2.5,2.31,59.76,3.41,52.11,2,1807,87.33,2.77,42.34,1965,7.89,0.3,49800,41400,305,142,23.8,17.1,12.9,2.97,65.73,44.95,74.82,88.66,38.7,816.1,0,722.02
12,25158,2.89,21.34,49.42,17.21,26.78,13.65,28.82,13.23,9.44,100,25479,73.45,0,24.98,22.99,23.63,13.18,10505,10412,8238,9546,8330,7813,19.02,14.03,34.18,10.16,55.94,15.39,20.63,17.38,14.03,13.91,35.23,18.96,3.47,58.06,61.46,57.16,58.63,61.68,7.44,21.87,32.75,47.67,62.3,5.78,60.3,10.8,12.43,2.84,2.9,2.79,48.07,18.18,72.06,2,714,92.42,3.78,18.35,1963,6.25,0.64,117900,49900,503,190,33,24.3,11.8,26.41,47.45,38.61,69.21,89.27,2.7,9387.3,11.22,2605.96
