"RowNames","E11","E13","E15","E18","E21","P0","P7","P14","A","gene.group","gene.grpno","gene.posno","ES.clus","ES.no","ES.subno","ES.posno"
"actin",.81,.72,.72,.68,.85,1,.89,.85,.97,"Other",1,1,"constant",1,7,1
"SOD",.91,.56,.57,.47,.6,.92,.71,.66,1,"Other",1,2,"constant",1,2,2
"CCO1",.84,.69,.75,1,.77,.73,.8,.65,.77,"Other",1,3,"constant",1,5,1
"CCO2",1,.57,.53,.75,.57,.59,.75,.54,.7,"Other",1,4,"constant",1,2,1
"SC1",1,1,.67,.72,.87,.73,.65,.41,.3,"Novel/EST",2,5,"constant",1,4,1
"SC2",.51,.42,.72,.75,1,.71,.74,.65,.35,"Novel/EST",2,6,"other",6,1,1
"SC6",1,.99,0,0,0,0,0,0,0,"Novel/EST",2,7,"wave_1",2,12,1
"SC7",.34,.47,1,.86,.73,.59,.31,.19,.16,"Novel/EST",2,8,"wave_1",2,4,1
"DD63.2",.68,.63,.71,.73,.74,.68,.65,.79,1,"Novel/EST",2,9,"constant",1,3,3
"cyclin_A",1,.91,.96,.86,.95,.77,.81,.63,.63,"Cell_Cycle",3,10,"constant",1,8,3
"cyclin_B",.99,1,1,.49,.52,.47,.42,.23,.02,"Cell_Cycle",3,11,"wave_1",2,9,1
"H2AZ",.87,.95,.89,1,.94,.89,.81,.68,.83,"Cell_Cycle",3,12,"constant",1,8,5
"statin",0,.01,.56,.72,.99,.98,.96,.86,1,"Cell_Cycle",3,13,"wave_2",3,1,1
"cjun",.23,.47,.49,.34,.45,.4,.42,.51,1,"Trans_Factor",4,14,"wave_4",5,3,1
"cfos",.11,.11,.2,.31,.37,.59,.39,.35,1,"Trans_Factor",4,15,"wave_4",5,6,1
"Brm",.8,1,.6,.66,.55,.5,.34,.41,.27,"Trans_Factor",4,16,"wave_1",2,8,2
"TCP",.9,.84,.86,.88,.98,1,.99,.91,.72,"Trans_Factor",4,17,"constant",1,8,4
"CRAF",.88,.87,.89,.94,1,.99,.69,.35,.62,"ICS",5,18,"constant",1,6,1
