,STATENAME,DRP9,DRP10,DRP11,DRP12,DRP912,DRPAS,DRPHI,DRPBL,DRPWH
DC,District of Columbia,8.099998474,5.899997711,4.199996948,4,7,5.399997711,8.299995422,6.899997711,4.899997711
NM,New Mexico,7.5,7.799999237,6.599998474,5.099998474,6.899997711,4.599998474,7.199996948,9,5.299999237
MS,Mississippi,6,7.299999237,7.299999237,7,7.399997711,2.899999619,5.899997711,9.299995422,5.599998474
LA,Louisiana,5.699996948,4.199996948,4.099998474,4.899997711,4.799999237,2,3.899999619,6.799999237,3.199998856
AZ,Arizona,5.099998474,5.699996948,7,13.59999847,7.799999237,4.899997711,8.099998474,8.799995422,6.799999237
NC,North Carolina,5.099998474,4.899997711,4.799999237,3.799999237,4.699996948,2,6.099998474,5.399997711,4
DE,Delaware,4.699996948,3.699998856,3.399999619,3.5,3.899999619,3.199998856,4.699996948,4.899997711,3.099998474
RI,Rhode Island,4.399997711,5,4.699996948,4.399997711,4.599998474,4.5,6.799999237,6.599998474,3.799999237
OH,Ohio,4.399997711,2.799999237,3.699998856,5.899997711,4.199996948,1.399999619,7.399997711,9.399993896,2.799999237
AK,Alaska,4,5.5,9.299995422,8.699996948,6.899997711,3.5,6.099998474,6.399997711,5.099998474
GA,Georgia,4,4.199996948,3.799999237,2.899999619,3.799999237,1.5,4.299999237,4.599998474,3.099998474
HI,Hawaii,3.699998856,5.699996948,5.799999237,6,5.199996948,4.699996948,5.899997711,7.899997711,6.399997711
WV,West Virginia,3.399999619,4.099998474,4.399997711,4.299999237,4,0.5,4.599998474,4.599998474,4
WA,Washington,3.399999619,3.399999619,4.399997711,5.799999237,4.199996948,3,5.799999237,6.099998474,3.599998474
WY,Wyoming,3.199998856,7.299999237,6.099998474,7.5,6,1.899999619,0,13.09999847,5
MI,Michigan,3.099998474,4.899997711,4.199996948,5.299999237,4.299999237,3.099998474,6.199996948,9.199996948,2.699998856
CO,Colorado,3.099998474,3.699998856,5.299999237,9.699996948,5.299999237,2.399999619,9.899993896,8.599998474,3.199998856
NY,New York,3.099998474,3.5,3.399999619,4.699996948,3.599998474,2.399999619,5.899997711,6.5,1.699999809
MA,Massachusetts,3,2.799999237,2.599998474,2.699998856,2.799999237,1.599999428,7.299999237,5,1.699999809
MT,Montana,2.899999619,3.899999619,4.899997711,5.699996948,4.299999237,2,6.199996948,7,3.5
MO,Missouri,2.899999619,2.899999619,3.599998474,4.799999237,3.5,1.5,4.099998474,8.399993896,2.399999619
CT,Connecticut,2.799999237,2.599998474,3.399999619,3.199998856,3,1.099999428,6.899997711,6.799999237,1.399999619
SC,South Carolina,2.699998856,3.299999237,3.199998856,2.699998856,3,1.299999237,3.599998474,3.299999237,2.699998856
MD,Maryland,2.699998856,3,2.699998856,2.199998856,2.699998856,0.899999619,4.199996948,3.399999619,2
CA,California,2.599998474,3.099998474,4.199996948,8.899993896,4.599998474,1.799999237,5.799999237,8.399993896,2.799999237
NV,Nevada,2.299999237,4,4.399997711,8,4.5,3.099998474,5.399997711,6.5,3.399999619
KY,Kentucky,2,3.5,3.799999237,3.699998856,3.199998856,2,5.599998474,5.5,2.899999619
IL,Illinois,2,3.099998474,2.699998856,4,2.899999619,0.899999619,3.799999237,5.699996948,1.799999237
AR,Arkansas,1.899999619,3.199998856,4.399997711,5.299999237,3.599998474,1.399999619,4.099998474,5,3.099998474
OK,Oklahoma,1.899999619,2.299999237,2.799999237,2.699998856,2.399999619,1.099999428,3.5,3.299999237,2.099998474
FL,Florida,1.899999619,2.199998856,2.399999619,2.799999237,2.299999237,0.799999714,2.799999237,3.5,1.599999428
SD,South Dakota,1.799999237,2.699998856,2.799999237,3.299999237,2.599998474,2.699998856,5.199996948,3.399999619,1.599999428
TX,Texas,1.799999237,2.5,2.199998856,4.799999237,2.699998856,0.5,3.599998474,4.199996948,1.199999809
TN,Tennessee,1.799999237,2.099998474,2.599998474,4.299999237,2.699998856,1.199999809,3.299999237,4.899997711,1.799999237
ME,Maine,1.699999809,2.299999237,4.799999237,8.299995422,4.199996948,3.799999237,5,4.899997711,4.199996948
VA,Virginia,1.699999809,1.899999619,2.099998474,2.799999237,2.099998474,1.199999809,4.599998474,3,1.399999619
NJ,New Jersey,1.599999428,1.599999428,1.5,1.599999428,1.599999428,0.399999857,2.799999237,3.5,0.899999619
AL,Alabama,1.399999619,2,2.099998474,1.799999237,1.799999237,1.399999619,0.899999619,2,1.599999428
WI,Wisconsin,1.399999619,0.899999619,1.699999809,4.599998474,2.199998856,1.599999428,4.699996948,7.5,1.199999809
KS,Kansas,1.199999809,1.899999619,2.299999237,3.299999237,2.099998474,0.399999857,2.899999619,3.699998856,1.799999237
PA,Pennsylvania,1.099999428,2,2.299999237,3.099998474,2.099998474,1.299999237,5.099998474,3.699998856,1.5
VT,Vermont,1,2.399999619,3,3.399999619,2.399999619,2.099998474,2.599998474,1.5,2.399999619
IA,Iowa,1,1.899999619,3.5,7.099998474,3.399999619,2,6.899997711,9.099998474,2.799999237
OR,Oregon,1,1.699999809,3.299999237,7.199996948,3.399999619,1.399999619,4.699996948,6.199996948,2.899999619
ID,Idaho,1,1.099999428,1.5,2,1.399999619,1.199999809,2.199998856,1.899999619,1.199999809
NE,Nebraska,0.799999714,1.699999809,2.5,3.699998856,2.199998856,1.799999237,4,4.099998474,1.599999428
ND,North Dakota,0.5,2.299999237,2.699998856,3.399999619,2.199998856,0.899999619,3.5,2.599998474,1.699999809
UT,Utah,0.5,1.399999619,2.299999237,6.099998474,2.599998474,2.799999237,5.5,3.799999237,2.099998474
MN,Minnesota,0.5,0.699999809,1.199999809,3.699998856,1.599999428,1.599999428,4.199996948,3.899999619,1
IN,Indiana,0.399999857,1.199999809,1.699999809,3.199998856,1.599999428,1.099999428,2.399999619,3.099998474,1.299999237
NH,New Hampshire,0,0,0.599999905,4.299999237,1.199999809,1.099999428,2.899999619,1.599999428,1.099999428
