Company,Weekly,Yearly
3M Co,2.1,-1.9
Alcoa Inc,2.6,-36.7
AmExp,-0.4,11.9
AT&T Inc,4.4,3.7
BoA,3.1,-46.7
Boeing,1.3,5.7
Caterpillar,5.3,15.2
Chevron Corp,-2.7,9.7
Cisco Systems,1.8,-8.8
Coca-Cola,-1,7.6
DuPont,2.6,0.9
Exxon Mobil,-1.9,7.4
GE,-0.6,6.2
Home Depot,0.8,18.1
HP,-0.9,-40.4
IBM,1,18.2
Intel Corp,1.3,22.9
J&J,0.4,8
JPMorgCh,-0.4,-17.5
Kraft Foods,-0.5,26
McDonald's,-3,32.7
Merck,-1.7,15.8
Microsoft,-1.6,1.2
P&G Co,-2.9,0.2
Pfizer Inc,-1.9,16.2
Travelers,-5.7,2.5
United Tech,1.2,-6
Verizon,-4.5,2
Wal-Mart,-0.5,5.5
Walt Disney,-0.2,-0.5
