Company,Close,Weekly,Yearly
3M Co,137.31,0.8,40
AmExp,90.97,2.7,49.8
AT&T Inc,33.7,0.2,1.5
Boeing,140.46,-1,86.6
Caterpillar,91.44,1,-4.5
Chevron Corp,119.29,-1.4,4
Cisco Systems,22.74,2.3,-8.8
Coca-Cola,39.28,-2.1,4.7
DuPont,64.02,0.8,38.1
Exxon Mobil,99.16,-1.4,9.9
GE,26.58,-1.4,6.2
GoldmnSchs,176.28,-1.2,25
Home Depot,81,-1.2,24.5
IBM,190.09,1.5,-1.8
Intel Corp,25.85,1.3,14
J&J,95.06,0.03,30.4
JPMorgCh,58.11,-0.6,25.1
McDonald's,94.93,-0.9,3.5
Merck,59.95,4.1,21.5
Microsoft,36.36,0.9,33.5
Nike,73.39,-4.6,37.2
P&G Co,79.88,-0.5,14.7
Pfizer Inc,31.09,1.3,15.9
Travelers,86.47,-5.7,13.9
United Tech,114.21,0.3,32.2
UnitedHealth,72.52,-2.9,33.3
Verizon,48.35,1.3,14.8
Visa Inc,232.18,5,45.2
Wal-Mart,76.19,-2.4,10.7
Walt Disney,73.98,-1.9,41.2
