hibPercent,ageDays
0,116
0,612
0,711
0,744
0,760
0,579
0,562
0,545
0,496
0,364
0,314
1,826
1,975
1,893
1,826
1,727
1,678
1,579
1,430
2,826
2,860
2,1074
3,760
3,975
4,959
4,810
4,678
6,397
6,496
6,727
6,1008
7,1058
8,876
8,975
9,975
9,810
9,711
9,678
9,446
10,579
10,694
10,810
11,1107
11,826
11,760
11,744
11,727
12,1207
12,1124
12,876
12,843
12,826
12,793
12,545
12,364
12,264
13,1289
13,1140
13,678
13,446
14,1289
14,1273
14,1157
14,1132
14,1124
14,1107
14,893
14,884
14,876
14,860
14,760
15,1223
15,1107
15,843
15,760
15,711
15,512
16,1388
16,826
16,810
16,777
16,331
17,760
17,893
17,909
17,1289
18,1289
18,1207
18,1124
18,1058
18,1041
18,1008
18,909
18,860
18,562
19,545
19,1008
19,1174
19,1438
20,1256
20,1174
20,1140
20,1074
20,810
20,711
21,1223
21,1140
21,992
21,942
21,860
21,843
22,645
22,727
22,1107
23,1421
23,1306
23,1273
23,1256
23,1174
23,1074
23,1025
23,760
24,1587
24,1504
24,1289
24,1041
25,909
25,1190
25,1207
25,1256
25,1587
26,760
26,1091
27,1372
28,264
28,1107
28,1124
29,760
29,1107
29,1273
29,1620
30,760
32,1355
33,1074
