Order,State,SigDif,higher,similar,lower,All,AllLB,AllUB,Male,MaleLB,MaleUB,Female,FemaleLB ,FemaleUB,Male - Female
1,Massachusetts,>,0,0,51,300.568235,298.71, 302.43,300.9042119,298.44, 303.37,300.2308902,297.9, 302.56,0.673321781
2,Minnesota,>,1,4,46,294.5929726,292.55, 296.64,295.4043176,292.76, 298.05,293.7755999,291.16, 296.39,1.628717705
3,New Hampshire,>,1,4,46,295.6651233,293.93, 297.40,295.2297533,292.73, 297.73,296.1264251,294.02, 298.24,-0.896671829
4,New Jersey,>,1,4,46,296.0533511,293.87, 298.23,295.2230582,292.45, 298.00,296.9327194,294.43, 299.44,-1.709661185
5,Vermont,>,1,4,46,295.4695624,294.13, 296.81,294.7929505,293.12, 296.47,296.1875637,294.38, 297.99,-1.394613173
6,DoDEA,>,1,12,38,290.4265939,288.92, 291.93,292.1471441,290.1, 294.19,288.6366809,286.74, 290.54,3.510463211
7,North Dakota,>,5,13,33,290.5151113,289.42, 291.61,290.8026375,289.2, 292.40,290.2185167,288.49, 291.95,0.584120846
8,Washington,>,5,15,31,289.9569887,287.93, 291.99,290.4756817,288, 292.95,289.4043239,286.62, 292.19,1.071357846
9,Pennsylvania,>,5,14,32,289.6236516,287.59, 291.66,290.3406279,288.19, 292.49,288.8565493,286.2, 291.51,1.484078628
10,Maine,>,5,14,32,288.7311597,287.28, 290.18,290.310425,288.15, 292.47,287.0423526,284.97, 289.11,3.268072383
11,Kansas,>,5,16,30,289.5182561,287.43, 291.61,290.2616058,287.39, 293.13,288.7331247,286.37, 291.10,1.52848111
12,Ohio,>,5,17,29,289.5280968,287.22, 291.84,289.9930622,286.92, 293.07,289.0444198,286.58, 291.51,0.948642437
13,Wyoming,>,5,16,30,288.1191373,287.04, 289.20,289.5618629,287.82, 291.30,286.5596347,284.79, 288.33,3.002228165
14,Colorado,>,5,19,27,289.6818001,287.23, 292.13,289.4543203,286.31, 292.60,289.9236746,287.28, 292.57,-0.469354345
15,Montana,>,6,18,27,289.228453,287.39, 291.06,289.0532568,286.99, 291.11,289.4141566,286.81, 292.01,-0.360899784
16,Wisconsin,>,6,18,27,288.7457808,287, 290.49,288.6999632,286.45, 290.95,288.7935587,286.61, 290.98,-0.093595448
17,Texas,>,6,20,25,288.1989676,286.17, 290.22,288.5630797,286.16, 290.97,287.8091626,285.4, 290.21,0.753917094
18,Indiana,>,6,22,23,287.7676538,285.49, 290.04,288.2136452,285.64, 290.78,287.3066025,284.24, 290.38,0.907042781
19,South Dakota,>,7,21,23,287.2703906,285.83, 288.71,287.7638093,285.82, 289.71,286.7487127,284.61, 288.89,1.015096549
20,Virginia,>,6,24,21,288.1429595,285.72, 290.56,287.5048529,284.37, 290.64,288.8062496,286.43, 291.18,-1.301396686
21,Idaho,>,9,21,21,286.4138816,284.95, 287.88,286.9769059,284.68, 289.28,285.8317047,283.79, 287.87,1.145201205
22,Maryland,=,10,21,20,286.6413811,284.49, 288.80,286.3972183,283.81, 288.99,286.8940802,284.3, 289.49,-0.496861965
23,Iowa,=,12,19,20,285.0701378,283.21, 286.93,285.7344389,283.07, 288.40,284.381733,282.23, 286.54,1.352705956
24,Connecticut,=,13,19,19,285.2439723,282.95, 287.54,285.474592,282.6, 288.35,285.0017188,282.42, 287.58,0.472873258
25,North Carolina,=,13,19,19,285.6453884,283.36, 287.93,285.4668398,282.6, 288.34,285.8306686,283.35, 288.31,-0.363828858
26,Illinois,=,16,16,19,284.8976472,282.9, 286.89,285.037468,282.58, 287.49,284.7510374,282.49, 287.01,0.286430606
27,Nebraska,=,17,16,18,285.0613485,283.16, 286.96,284.8718695,282.44, 287.31,285.2596745,282.88, 287.64,-0.387804957
28,Utah,=,16,17,18,284.3314862,282.55, 286.11,284.8681833,282.17, 287.57,283.7647191,281.59, 285.94,1.103464147
29,Oregon,=,17,17,17,283.5245891,281.35, 285.69,284.6389172,282.01, 287.27,282.337649,279.69, 284.98,2.30126815
30,Rhode Island,=,19,14,18,284.0922122,282.95, 285.24,284.3105182,282.42, 286.21,283.8608371,282.14, 285.58,0.449681051
,National public,,21,12,19,283.6150365,283.14, 284.09,283.8868867,283.32, 284.45,283.3309871,282.74, 283.92,0.55589955
31,Delaware,=,19,17,15,282.3382986,280.9, 283.77,283.830455,281.84, 285.82,280.8192718,279.01, 282.63,3.011183175
32,Missouri,=,21,19,11,282.9884579,280.86, 285.12,282.6579087,280.09, 285.22,283.3322219,280.87, 285.80,-0.674313183
33,Alaska,=,23,19,9,281.5595728,279.69, 283.43,281.7233762,279.01, 284.43,281.388243,278.99, 283.79,0.335133145
34,Florida,<,26,15,10,280.8558396,279.22, 282.49,281.6548656,279.75, 283.56,280.0417214,277.96, 282.12,1.613144215
35,Kentucky,<,30,13,8,280.6454425,278.8, 282.50,280.9895801,278.91, 283.07,280.2826093,277.91, 282.66,0.70697083
36,South Carolina,<,29,15,7,279.8246086,277.62, 282.03,280.8126098,278.25, 283.38,278.8357712,276.34, 281.33,1.976838506
37,New York,<,31,13,7,281.8077878,279.97, 283.64,280.3799288,278.41, 282.35,283.3365732,281.05, 285.62,-2.956644381
38,Arizona,<,30,14,7,279.722268,277.29, 282.15,280.1743886,277.18, 283.16,279.2495812,276.44, 282.06,0.924807451
