nameDCab,fips,ab,fullName
Alabama,1,AL,Alabama
Alaska,2,AK,Alaska
Arizona,4,AZ,Arizona
Arkansas,5,AR,Arkansas
California,6,CA,California
Colorado,8,CO,Colorado
Connecticut,9,CT,Connecticut
Delaware,10,DE,Delaware
D.C.,11,DC,District of Columbia
Florida,12,FL,Florida
Georgia,13,GA,Georgia
Hawaii,15,HI,Hawaii
Idaho,16,ID,Idaho
Illinois,17,IL,Illinois
Indiana,18,IN,Indiana
Iowa,19,IA,Iowa
Kansas,20,KS,Kansas
Kentucky,21,KY,Kentucky
Louisiana,22,LA,Louisiana
Maine,23,ME,Maine
Maryland,24,MD,Maryland
Massachusetts,25,MA,Massachusetts
Michigan,26,MI,Michigan
Minnesota,27,MN,Minnesota
Mississippi,28,MS,Mississippi
Missouri,29,MO,Missouri
Montana,30,MT,Montana
Nebraska,31,NE,Nebraska
Nevada,32,NV,Nevada
New Hampshire,33,NH,New Hampshire
New Jersey,34,NJ,New Jersey
New Mexico,35,NM,New Mexico
New York,36,NY,New York
North Carolina,37,NC,North Carolina
North Dakota,38,ND,North Dakota
Ohio,39,OH,Ohio
Oklahoma,40,OK,Oklahoma
Oregon,41,OR,Oregon
Pennsylvania,42,PA,Pennsylvania
Rhode Island,44,RI,Rhode Island
South Carolina,45,SC,South Carolina
South Dakota,46,SD,South Dakota
Tennessee,47,TN,Tennessee
Texas,48,TX,Texas
Utah,49,UT,Utah
Vermont,50,VT,Vermont
Virginia,51,VA,Virginia
Washington,53,WA,Washington
West Virginia,54,WV,West Virginia
Wisconsin,55,WI,Wisconsin
Wyoming,56,WY,Wyoming
