st,x,y
WA,1,89
WA,7,89
WA,7,91
WA,18.5,91
WA,18.5,77.5
WA,14,77.5
WA,5.5,75.5
WA,5.5,77.5
WA,3,77.5
WA,,
ID,18.5,91
ID,21.5,91
ID,21.5,87.5
ID,29.5,72.5
ID,33.5,72.5
ID,33.5,61.5
ID,18.5,61.5
ID,,
MT,21.5,91
MT,47.5,91
MT,47.5,75.5
MT,33.5,75.5
MT,33.5,72.5
MT,29.5,72.5
MT,21.5,87.5
MT,,
ND,47.5,91
ND,63.5,91
ND,64.5,78.5
ND,47.5,78.5
ND,,
SD,47.5,78.5
SD,64.5,78.5
SD,64.5,65.5
SD,60,66.5
SD,47.5,66.5
SD,,
MI,82.5,91
MI,93,90
MI,98,84
MI,90.5,84
MI,88.5,80
MI,81,84.5
MI,74.5,84
MI,82.5,91
MI,,
MI,94,84
MI,99,79
MI,98,75
MI,101,79
MI,101,71
MI,98,63.5
MI,90,63.5
MI,90,79
MI,94,84
MI,,
VT,135.5,89
VT,141,89
VT,138,74.5
VT,135.5,74.5
VT,,
NH,141,89
NH,142.5,89
NH,145.5,74.5
NH,138,74.5
NH,,
MA,135.5,74.5
MA,145.5,74.5
MA,149,72.5
MA,150,73
MA,152,73
MA,152,66
MA,147.5,65
MA,147.5,69.5
MA,135.5,69.5
MA,,
MD,112.5,55.5
MD,126.5,55.5
MD,126.5,48.5
MD,132.5,48.5
MD,127,43.5
MD,118.5,50.5
MD,112.5,50.5
MD,,
OH,95.5,63.5
OH,103,63.5
OH,109.5,69
OH,109.5,58.5
OH,103.5,48.5
OH,101,48.5
OH,95.5,51
OH,,
PA,109.5,69
PA,112.5,71.5
PA,112.5,69.5
PA,130,69.5
PA,132,67
PA,128.5,64.5
PA,130.5,60
PA,129,58
PA,126.5,55.5
PA,109.5,55.5
PA,,
WV,109.5,58.5
WV,109.5,55.5
WV,112.5,55.5
WV,112.5,50.5
WV,118.5,50.5
WV,111.5,44.5
WV,105.5,44.5
WV,103.5,48.5
WV,,
IN,86.5,63.5
IN,95.5,63.5
IN,95.5,51
IN,88,46.5
IN,86.5,46
IN,86.5,63.5
IN,,
IL,78.5,66.5
IL,84.5,66.5
IL,84.5,63.5
IL,86.5,63.5
IL,86.5,46
IL,83.5,43
IL,77.5,55
IL,77.5,57.5
IL,78.5,59.5
IL,79.5,64
IL,,
MO,68,57.5
MO,77.5,57.5
MO,77.5,55
MO,83.5,43
MO,82.5,38.5
MO,79.5,38.5
MO,79.5,40.5
MO,69.5,40.5
MO,69.5,52
MO,,
KS,53.5,55.5
KS,68.5,55.5
KS,69.5,52
KS,69.5,43.5
KS,53.5,43.5
KS,,
NV,13.5,61.5
NV,26.5,61.5
NV,26.5,39.5
NV,24.5,39.5
NV,13.5,51.5
NV,,
CA,1,61.5
CA,13.5,61.5
CA,13.5,51.5
CA,24.5,39.5
CA,24.5,27
CA,20,27
CA,20,29
CA,12,33
CA,1,55
CA,,
AZ,26.5,43.5
AZ,38.5,43.5
AZ,38.5,23
AZ,32,23
AZ,24.5,27
AZ,24.5,39.5
AZ,26.5,39.5
AZ,,
OK,51.5,43.5
OK,69.5,43.5
OK,69.5,30.5
OK,56.5,34.5
OK,56.5,39.5
OK,51.5,39.5
OK,,
TX,51.5,39.5
TX,56.5,39.5
TX,56.5,34.5
TX,72.5,29.5
TX,72.5,15
TX,67,9
TX,67,2
TX,61,5
TX,57,14
TX,52,14
TX,42.5,24.5
TX,51.5,24.5
TX,,
AL,88.5,34.5
