,Math09G4_Comp,Math09G4_Ave,Math09G8_Comp,Math09G8_Ave,Read09G4_Comp,Read09G4_Ave,Read09G8_Comp,Read09G8_Ave
AK,1,237,2,283,1,211,1,259
AL,1,228,1,269,1,216,1,255
AR,1,238,1,276,1,216,1,258
AZ,1,230,1,277,1,210,1,258
CA,1,232,1,270,1,210,1,253
CO,2,243,2,287,2,226,2,266
CT,2,245,2,289,2,229,3,272
DC,1,219,1,254,1,202,1,242
DE,1,239,2,284,2,226,2,265
FL,2,242,1,279,2,226,2,264
GA,1,236,1,278,1,218,1,260
HI,1,236,1,274,1,211,1,255
IA,2,243,2,284,1,221,2,265
ID,2,241,2,287,1,221,2,265
IL,1,238,1,282,1,219,2,265
IN,2,243,2,287,1,223,2,266
KS,2,245,2,289,2,224,2,267
KY,1,239,1,279,2,226,2,267
LA,1,229,1,272,1,207,1,253
MA,3,252,3,299,3,234,3,274
MD,2,244,2,288,2,226,2,267
ME,2,244,2,286,2,224,2,268
MI,1,236,1,278,1,218,1,262
MN,3,249,3,294,2,223,3,270
MO,2,241,2,286,2,224,2,267
MS,1,227,1,265,1,211,1,251
MT,2,244,3,292,2,225,3,270
NC,2,244,2,284,1,219,1,260
ND,2,245,3,293,2,226,3,269
NE,1,239,2,284,1,223,2,267
NH,3,251,3,292,2,229,3,271
NJ,3,247,3,293,2,229,3,273
NM,1,230,1,270,1,208,1,254
NV,1,235,1,274,1,211,1,254
NY,2,241,2,283,2,224,2,264
OH,2,244,2,286,2,225,2,269
OK,1,237,1,276,1,217,1,259
OR,1,238,2,285,1,218,2,265
PA,2,244,2,288,2,224,3,271
RI,1,239,1,278,1,223,1,260
SC,1,236,1,280,1,216,1,257
SD,2,242,3,291,1,222,3,270
TN,1,232,1,275,1,217,1,261
TX,2,240,2,287,1,219,1,260
UT,2,240,2,284,1,219,2,266
VA,NA,243,NA,286,NA,227,NA,266
VT,3,248,3,293,2,229,3,272
WA,2,242,2,289,1,221,2,267
WI,2,244,2,288,1,220,2,266
WV,1,233,1,270,1,215,1,255
WY,2,242,2,286,1,223,2,268
