1,Massachusetts,>,0,0,51,299,15,34,34,17
2,Minnesota,>,1,4,46,294,17,36,34,13
3,Vermont,>,1,5,45,293,19,38,31,13
4,North Dakota,>,1,5,45,293,14,43,36,7
5,New Jersey,>,1,6,44,293,20,36,30,14
6,New Hampshire,>,1,6,44,292,18,38,32,11
7,Montana,>,2,5,44,292,18,39,34,10
8,South Dakota,>,4,8,39,291,17,41,34,7
9,Washington,>,7,13,31,289,22,39,29,11
10,Connecticut,>,7,14,30,289,22,38,30,10
11,Kansas,>,7,14,30,289,21,40,31,8
12,Maryland,>,7,16,28,288,25,35,28,12
13,Pennsylvania,>,7,17,27,288,22,38,30,10
14,Wisconsin,>,8,15,28,288,21,40,31,8
15,Colorado,>,8,20,23,287,24,36,30,10
16,Idaho,>,8,17,26,287,22,40,30,8
17,DoDEA,>,8,18,25,287,21,43,30,6
18,Indiana,>,8,19,24,287,22,42,29,7
19,Texas,>,8,21,22,287,22,41,28,8
20,Maine,>,8,20,23,286,22,42,27,8
21,Wyoming,>,11,17,23,286,22,43,28,7
22,Virginia,>,8,23,20,286,24,41,27,8
23,Missouri,>,9,22,20,286,23,41,29,7
24,Ohio,>,11,21,19,286,24,40,28,8
25,Oregon,>,13,19,19,285,25,38,28,8
26,North Carolina,>,14,18,19,284,26,38,26,9
27,Nebraska,>,15,17,19,284,25,40,27,8
28,Iowa,>,16,16,19,284,24,42,27,7
29,Utah,>,17,15,19,284,25,40,29,7
30,Delaware,>,20,12,19,284,25,44,26,6
31,Alaska,=,21,12,18,283,25,41,27,6
32,New York,=,21,14,16,283,27,39,26,8
33,Illinois,=,23,13,15,282,27,40,26,7
,National Public,,30,4,18,282,29,39,25,7
34,South Carolina,=,30,9,12,280,31,39,23,7
35,Florida,<,31,8,12,279,30,41,23,6
36,Kentucky,<,31,9,11,279,30,43,22,5
37,Michigan,<,32,10,9,278,32,37,24,7
38,Rhode Island,<,33,9,9,278,32,41,22,6
39,Georgia,<,33,9,9,278,33,40,21,5
40,Arizona,<,33,10,8,277,33,38,23,6
41,Arkansas,<,35,10,6,276,33,40,23,4
42,Oklahoma,<,36,9,6,276,32,44,20,3
43,Tennessee,<,36,9,6,275,35,39,21,4
44,Nevada,<,39,6,6,274,37,38,20,5
45,Hawaii,<,40,5,6,274,35,40,21,4
46,Louisiana,<,40,9,2,272,38,42,16,4
47,California,<,45,4,2,270,41,36,18,5
48,West Virginia,<,45,4,2,270,39,41,17,2
49,New Mexico,<,45,4,2,270,41,39,17,3
50,Alabama,<,45,5,1,269,42,38,17,4
51,Mississippi,<,49,1,1,265,46,39,14,2
52,District of Columbia,<,51,0,0,254,60,29,9,2
