,Math09G4_Comp,Math09G4_Ave,Math09G8_Comp,Math09G8_Ave,Read09G4_Comp,Read09G4_Ave,Read09G8_Comp,Read09G8_Ave
AK,2,237,2,283,1,211,1,259
AL,1,228,1,269,1,216,1,255
AR,2,238,1,276,1,216,1,258
AZ,1,230,1,277,1,210,1,258
CA,1,232,1,270,1,210,1,253
CO,3,243,3,287,3,226,3,266
CT,3,245,3,289,3,229,3,272
DC,1,219,1,254,1,202,1,242
DE,2,239,3,284,3,226,3,265
FL,3,242,1,279,3,226,2,264
GA,1,236,1,278,2,218,2,260
HI,1,236,1,274,1,211,1,255
IA,3,243,3,284,2,221,3,265
ID,3,241,3,287,2,221,3,265
IL,2,238,2,282,2,219,2,265
IN,3,243,3,287,3,223,3,266
KS,3,245,3,289,3,224,3,267
KY,2,239,1,279,3,226,3,267
LA,1,229,1,272,1,207,1,253
MA,3,252,3,299,3,234,3,274
MD,3,244,3,288,3,226,3,267
ME,3,244,3,286,3,224,3,268
MI,1,236,1,278,2,218,2,262
MN,3,249,3,294,3,223,3,270
MO,2,241,3,286,3,224,3,267
MS,1,227,1,265,1,211,1,251
MT,3,244,3,292,3,225,3,270
NC,3,244,3,284,2,219,1,260
ND,3,245,3,293,3,226,3,269
NE,2,239,3,284,3,223,3,267
NH,3,251,3,292,3,229,3,271
NJ,3,247,3,293,3,229,3,273
NM,1,230,1,270,1,208,1,254
NV,1,235,1,274,1,211,1,254
NY,3,241,2,283,3,224,2,264
OH,3,244,3,286,3,225,3,269
OK,1,237,1,276,1,217,1,259
OR,2,238,3,285,2,218,3,265
PA,3,244,3,288,3,224,3,271
RI,2,239,1,278,3,223,1,260
SC,1,236,2,280,1,216,1,257
SD,3,242,3,291,3,222,3,270
TN,1,232,1,275,1,217,2,261
TX,2,240,3,287,2,219,2,260
UT,2,240,3,284,2,219,3,266
VA,3,243,3,286,3,227,3,266
VT,3,248,3,293,3,229,3,272
WA,3,242,3,289,2,221,3,267
WI,3,244,3,288,2,220,3,266
WV,1,233,1,270,1,215,1,255
WY,3,242,3,286,3,223,3,268
