1,North Dakota,>,0,3,41,163,23,35,39,4
2,Montana,>,0,6,38,162,24,35,38,4
3,Vermont,>,0,6,38,162,24,35,36,4
4,New Hampshire,>,0,6,38,162,24,36,36,4
5,South Dakota,>,1,6,37,161,24,35,37,4
6,Massachusetts,>,1,8,35,161,28,32,35,6
7,DoDEA,>,1,9,34,160,25,37,35,3
8,Wyoming,>,4,7,33,159,26,37,33,3
9,Minnesota,>,5,10,29,158,29,32,36,4
10,Wisconsin,>,5,10,29,158,30,32,34,5
11,Idaho,>,6,9,29,158,29,35,33,4
12,Maine,>,7,8,29,158,28,37,32,3
13,Virginia,>,8,13,23,155,34,32,30,4
14,Ohio,>,8,13,23,155,33,32,31,4
15,Colorado,>,8,14,22,155,34,31,30,4
16,Michigan,>,8,14,22,155,34,31,31,4
17,Washington,>,12,10,22,154,34,33,29,4
18,Missouri,>,12,12,20,154,34,33,30,3
19,Utah,>,12,10,22,154,35,32,30,3
20,Oregon,>,12,12,20,153,34,33,29,3
21,New Jersey,>,12,12,20,153,35,32,29,4
22,Kentucky,>,12,12,20,153,37,33,28,3
23,Connecticut,>,14,10,20,152,37,30,29,4
24,Delaware,>,18,6,20,152,37,34,27,3
25,Indiana,>,18,8,18,150,38,33,26,3
26,Illinois,=,24,7,13,148,42,30,25,3
,National Public,,25,7,13,147,43,30,24,3
27,West Virginia,=,25,6,13,147,43,33,22,2
28,Oklahoma,=,24,10,10,147,43,32,23,2
29,Rhode Island,=,25,9,10,146,42,32,24,2
30,South Carolina,=,25,10,9,145,46,31,21,2
31,Tennessee,=,25,10,9,145,45,30,22,3
32,Maryland,=,25,10,9,145,46,28,22,4
33,Arkansas,<,27,8,9,144,44,33,22,2
34,North Carolina,<,27,9,8,144,47,31,20,2
35,Georgia,<,27,9,8,144,47,28,23,3
36,Texas,<,29,7,8,143,47,29,21,2
37,Florida,<,33,8,3,141,49,29,19,2
38,Arizona,<,36,5,3,140,51,29,18,2
39,Louisiana,<,36,7,1,138,53,28,18,1
40,Nevada,<,36,7,1,138,52,29,18,1
41,New Mexico,<,36,7,1,138,54,28,17,1
42,Alabama,<,36,7,1,138,52,28,18,1
43,Hawaii,<,38,5,1,136,56,29,14,1
44,California,<,38,5,1,136,56,26,16,2
45,Mississippi,<,44,0,0,132,60,26,13,1
N/A,Pennsylvania,,,,,—,—,—,—,—
N/A,New York,,,,,—,—,—,—,—
N/A,Nebraska,,,,,—,—,—,—,—
N/A,Kansas,,,,,—,—,—,—,—
N/A,Iowa,,,,,—,—,—,—,—
N/A,District of Columbia,,,,,—,—,—,—,—
N/A,Alaska,,,,,—,—,—,—,—
