,Math.G4.2009,Math.G4.2007,Math.G8.2009,Math.G8.2007,Read.G4.2009,Read.G4.2007,Read.G8.2009,Read.G8.2007,Sci.G4.2005,Sci.G8.2005
AL,228,229,269,266,216,216,255,252,142,138
AK,237,237,283,283,211,214,259,259,NA,NA
AZ,230,232,277,276,210,210,258,255,139,140
AR,238,238,276,274,216,217,258,258,147,144
CA,232,230,270,270,210,209,253,251,137,136
CO,243,240,287,286,226,224,266,266,155,155
CT,245,243,289,282,229,227,272,267,155,152
DE,239,242,284,283,226,225,265,265,152,152
DC,219,214,254,248,202,197,242,241,NA,NA
FL,242,242,279,277,226,224,264,260,150,141
GA,236,235,278,275,218,219,260,259,148,144
HI,236,234,274,269,211,213,255,251,142,136
ID,241,241,287,284,221,223,265,265,155,158
IL,238,237,282,280,219,219,265,263,148,148
IN,243,245,287,285,223,222,266,264,152,150
IA,243,243,284,285,221,225,265,267,NA,NA
KS,245,248,289,290,224,225,267,267,NA,NA
KY,239,235,279,279,226,222,267,262,158,153
LA,229,230,272,272,207,207,253,253,143,138
ME,244,242,286,286,224,226,268,270,160,158
MD,244,240,288,286,226,225,267,265,149,145
MA,252,252,299,298,234,236,274,273,160,161
MI,236,238,278,277,218,220,262,260,152,155
MN,249,247,294,292,223,225,270,268,156,158
MS,227,228,265,265,211,208,251,250,133,132
MO,241,239,286,281,224,221,267,263,158,154
MT,244,244,292,287,225,227,270,271,160,162
NE,239,238,284,284,223,223,267,267,NA,NA
NV,235,232,274,271,211,211,254,252,140,138
NH,251,249,292,288,229,229,271,270,161,162
NJ,247,249,293,289,229,231,273,270,154,153
NM,230,228,270,268,208,212,254,251,141,138
NY,241,243,283,280,224,224,264,264,NA,NA
NC,244,242,284,284,219,218,260,259,149,144
ND,245,245,293,292,226,226,269,268,160,163
OH,244,245,286,285,225,226,269,268,157,155
OK,237,237,276,275,217,217,259,260,150,147
OR,238,236,285,284,218,215,265,266,151,153
PA,244,244,288,286,224,226,271,268,NA,NA
RI,239,236,278,275,223,219,260,258,146,146
SC,236,237,280,282,216,214,257,257,148,145
SD,242,241,291,288,222,223,270,270,158,161
TN,232,233,275,274,217,216,261,259,150,145
TX,240,242,287,286,219,220,260,261,150,143
UT,240,239,284,281,219,221,266,262,155,154
VT,248,246,293,291,229,228,272,273,160,162
VA,243,244,286,288,227,227,266,267,161,155
WA,242,243,289,285,221,224,267,265,153,154
WV,233,236,270,270,215,215,255,255,151,147
WI,244,244,288,286,220,223,266,264,158,158
WY,242,244,286,287,223,225,268,266,157,159
