hexid,amphPrev,birdPrev,fishPrev,mammPrev,reptPrev,jan.avg,jan.stdev,jul.avg,jul.stdev,ppt.avg,ppt.stdev,ppt.min,ppt.max,seas.avg,elev.min,elev.max,elev.avg,elev.stdev,fractal,dominance,contagion,slope.max,slope.min,slope.med,slope.avg,slope.stdev,slope.iqr,aspect.avg,aspect.dev,aspect.med,crop.pasture,grass.crop,wood.crop,grass,shrub,grass.shrub,deciduous,evergreen,mix.forest,water,coast.wet,barren,tundra,urban,roads.maj,roads.min,streams.maj,streams.per,streams.int,streams.bra,fed.park,fed.refuge,fed.wilder,fed.indian,fed.mil,fed.forest,non.fed,federal,stream,roads
1505,21,117,27,30,37,4,0,25.617,0.487,1204.787,16.487,1178,1235,21.617,0,7,2,1.4,1.422,0.244,0.834,0.158,0,0.032,0.035,0.028,0.045,97.5,67.1,95,0.12481,0.04468,0.36672,0.00154,0.01849,0.03544,0.10786,0.03544,0.12789,0.12481,0.00616,0.00154,0,0.00462,0,2.3787,25.885,25.885,0,25.885,0,13.944,0,0,0,0,0,13.944,77.655,2.3787
1608,17,118,29,30,19,1,0,24.05,0.218,1120.991,7.588,1102,1136,23.05,0,15,7,3.9,1.445,0.337,0.835,0.199,0,0.074,0.074,0.041,0.059,60.4,64.9,66.1,0.32716,0.02315,0.43673,0,0.00309,0.01235,0.04938,0.00463,0.00309,0.125,0.00309,0.00463,0,0.00772,30.6595,38.8507,0,0,0,0,0,0.9568,0,0,0,0,0,0.9568,0,69.5102
1609,19,102,29,35,27,1.172,0.377,24.009,0.096,1132.105,3.579,1122,1141,22.838,2,30,13,4.6,1.566,0.346,0.699,0.256,0,0.057,0.065,0.048,0.055,79,67.1,83.5,0.14638,0,0.6641,0,0,0,0.16795,0.00154,0.02003,0,0,0,0,0,0,51.7654,41.621,0,41.621,41.621,0,0,0,0,0,0,0,0,124.863,51.7654
1610,18,96,1,35,27,1.441,0.497,24.003,0.055,1107.864,11.61,1081,1131,22.562,0,18,9,3.8,1.533,0.372,0.7,0.27,0,0.074,0.079,0.041,0.055,189.4,72,202.5,0.06934,0,0.36364,0,0,0,0.47458,0.00154,0.08783,0,0,0,0,0.00308,32.8003,24.9436,80.734,0,80.734,80.734,0,0,0,0,0,0,0,0,242.202,57.744
1611,16,117,15,36,25,1,0,24,0,1074.763,13.058,1056,1111,23,0,14,4,3.5,1.475,0.378,0.823,0.324,0,0.043,0.059,0.052,0.064,245.6,66.4,253.6,0.0774,0.03406,0.54334,0.00464,0.0031,0.00464,0.18266,0.01548,0.05573,0.0743,0,0,0,0.00464,7.2991,40.7934,32.748,0,32.748,32.748,0,0.5831,0,0,0,0,0,0.5831,98.244,48.0925
1612,14,115,16,27,13,1.871,0.335,24.769,0.422,1043.231,8.296,1024,1058,22.898,0,18,6,4.9,1.304,0.444,0.797,0.322,0,0.101,0.104,0.069,0.103,279.5,70.2,288.9,0.25811,0.02627,0.13756,0.01546,0.00773,0,0.01546,0.01082,0.04791,0.48068,0,0,0,0,0,24.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4417
1613,13,101,14,27,18,2.223,0.416,25,0,1070.99,13.736,1040,1093,22.778,0,15,5,4.2,1.394,0.382,0.836,0.276,0,0.087,0.094,0.064,0.1,191.2,76.3,215,0.17512,0.03533,0.26114,0,0.00614,0.02304,0.00768,0.03533,0.02765,0.41475,0.00922,0.00461,0,0,0,27.8481,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8481
1616,25,105,24,30,27,4,0,25.034,0.181,1162.911,7.306,1155,1190,21.034,0,7,3,1.8,1.378,0.469,0.829,0.173,0,0.045,0.049,0.034,0.049,23.5,75.8,42.5,0.12943,0.04468,0.03852,0,0.00616,0.01387,0,0,0.00924,0.4114,0.02928,0.00308,0,0.31433,0,156.7997,6.083,6.083,0,6.083,0,0,0,0,3.5123,0,0,3.5123,18.249,156.7997
1617,28,102,27,43,38,4,0,25.579,0.494,1199.657,16.85,1158,1235,21.579,0,7,4,1.6,1.284,0.305,0.717,0.138,0,0.026,0.029,0.027,0.042,54.8,70.9,66,0.08333,0.00926,0.23457,0,0,0.00309,0.09105,0.01235,0.53549,0.01389,0,0,0,0.01698,18.642,70.2755,11.81,14.485,11.81,11.81,0,172.8726,0,0,0,0,0,172.8726,49.915,88.9174
1720,17,119,32,31,21,1,0,24,0,1108.077,4.903,1100,1120,23,0,18,10,5.4,1.521,0.385,0.835,0.246,0,0.051,0.064,0.053,0.064,54.6,58.4,52.7,0.46841,0.01079,0.32049,0,0,0.00308,0.10169,0.00308,0.02311,0.04777,0,0,0,0.02157,20.638,36.4683,2.551,0,2.551,2.551,0,45.3285,0,0,0,0,0,45.3285,7.653,57.1064
