"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
1,3.68,0.1,6.9,62.2,1.7991083831,0.3512229968,2,-10.2095,-9.7168,-0.4926,0,-13.8155,-12.225,-1.5905,6.03,6.02625,0.49,4.71,2495,55835
2,4.66,92.48,7.7,279.8,1.707868575,0.4029660321,5,-9.9748,-9.5887,-0.3862,2,-6.9859,-9.2435,2.2576,6.85,6.14062,9.67,0.1,2165,109750
3,8.48,43.07,8.3,142.5,20.281545757,1.388682712,8,-9.3751,-9.7578,0.3826,14,-7.7501,-7.3993,-0.3508,5.78,6.38803,61.17,5.02,32580,95455
4,7.8,41.45,8.6,647.5,8.3364188782,6.9978310389,27,-9.4586,-9.5802,0.1217,18,-7.7885,-7.162,-0.6265,6.91,6.90831,77.55,0.5,43535,350570
5,10.02,62,8.8,682.9,29.021810179,1.9731619219,12,-9.2085,-9.289,0.0805,35,-7.3858,-7.1548,-0.231,9.24,9.24354,78.11,0.09,56545,120985
6,5.99,92.86,9.1,477.1,28.483865468,2.2452448796,21,-9.7221,-9.328,-0.3941,142,-6.9818,-6.6412,-0.3406,8.89,7.95838,130.55,0.16,153085,356275
7,9.14,101.54,7.8,99.8,4.347289005,0.3820129644,9,-9.3,-9.077,-0.2231,6,-6.8925,-7.5301,0.6376,11.43,11.42639,53.67,3.15,5915,99535
8,3.46,0.1,6.5,169.7,0.6580437539,0.5736188288,4,-10.2725,-10.0121,-0.2604,0,-13.8155,-8.5834,-5.2321,4.49,4.48539,18.72,4.64,1370,119155
9,1.81,0.1,7,183.1,0.5973722611,0.700186697,2,-10.9178,-10.0868,-0.831,0,-13.8155,-13.1092,-0.7063,4.16,4.16254,0.2,4.25,1410,116735
10,1.72,38.4,8.8,261.1,6.1909258845,1.5455569638,3,-10.9702,-10.0269,-0.9433,6,-7.8648,-7.7632,-0.1016,4.42,4.4195,42.51,2.3,15665,185100
11,12.82,0.1,7.3,84.5,0.3916857504,0.2052283165,4,-8.9617,-9.0635,0.1017,0,-13.8155,-11.1601,-2.6554,11.58,11.42639,1.42,7.33,755,31440
12,1.85,21.35,6.4,61.2,5.7024327414,0.5219298472,1,-10.9004,-10.0152,-0.8852,1,-8.4517,-7.8589,-0.5928,4.47,4.47151,38.63,6.82,4705,57305
13,24.72,0.1,7.7,90,1.6464239324,0.3093321906,14,-8.3052,-8.7226,0.4173,0,-13.8155,-12.2076,-1.6079,16.29,11.42639,0.5,7,860,56860
14,8.55,75.41,7.9,115,14.369057331,0.5149713642,12,-9.3672,-9.3985,0.0313,21,-7.19,-7.0685,-0.1215,8.28,8.28482,85.15,3.89,27885,142045
15,2.21,0.1,6.3,55.2,0.3812541976,0.7560737252,2,-10.7192,-10.9178,0.1986,0,-13.8155,-12.9923,-0.8232,1.81,2.19971,0.23,6.39,920,94715
16,7.96,185.62,10.7,1134.5,27.235993991,1.1820737159,41,-9.4379,-9.4274,-0.0105,447,-6.2892,-6.2558,-0.0334,8.05,6.38803,191.93,0.08,240935,521305
17,4.24,0.1,6.7,21.8,0.3195830471,0.521191063,4,-10.0692,-9.5684,-0.5009,0,-13.8155,-12.8272,-0.9883,6.99,6.46838,0.27,4.37,645,96705
18,9.12,50.19,8.4,128.3,8.3102980751,0.7023753181,15,-9.3022,-9.3047,0.0025,7,-7.5971,-7.7632,0.1661,9.1,6.65605,42.51,3.51,13975,166255
19,0.89,71.27,6.7,102,1.1977480723,0.8229645004,1,-11.6313,-10.178,-1.4532,2,-7.2464,-8.436,1.1896,3.8,3.79971,21.69,3.41,2810,126840
20,6.88,71.6,8.2,723.1,3.997090231,4.3015572558,29,-9.5843,-9.4565,-0.1278,20,-7.2418,-7.696,0.4543,7.82,7.38112,45.46,2,27970,427720
21,7.61,65.68,6.3,129.8,2.0983146184,1.3617650602,6,-9.4839,-9.8498,0.3659,2,-7.3282,-8.5012,1.173,5.28,5.27577,20.32,2.17,3050,79925
22,6.66,167.78,9.1,1337.2,6.6182176997,4.0326185137,75,-9.6166,-9.646,0.0294,182,-6.3903,-6.4604,0.0701,6.47,6.46838,156.42,0.34,108540,1143095
23,8.46,50.09,8.3,716.8,14.11143869,4.2653524026,29,-9.3777,-9.4667,0.089,39,-7.5991,-7.4344,-0.1647,7.74,6.38803,59.06,0.05,78015,346920
24,6.11,80.75,7.3,99.9,1.4628259718,0.301198909,4,-9.7034,-9.5228,-0.1806,1,-7.1216,-10.3268,3.2052,7.32,7.31645,3.27,3.8,1240,66580
25,7.09,38.27,6.2,103.5,4.1185518492,0.7491754479,6,-9.5546,-9.4093,-0.1453,2,-7.8683,-9.0694,1.2011,8.2,6.38803,11.51,3.57,5240,85865
26,0.81,0.1,5.7,87.7,1.1457215909,0.5533016623,1,-11.7223,-11.2038,-0.5185,0,-13.8155,-13.3364,-0.4791,1.36,3.81075,0.16,4.69,3700,140630
27,0.1,0.1,6.7,65.4,4.7989495056,0.3630384887,0,-13.8155,-10.0779,-3.7376,0,-13.8155,-12.5116,-1.3039,4.2,5.70319,0.37,6.97,1925,31285
28,14.34,187.38,10.3,1725.7,20.684387846,3.0825906451,140,-8.8497,-8.8972,0.0476,586,-6.2798,-6.2569,-0.0229,13.68,13.67714,191.72,0,312890,982950
29,3.54,21.29,7,66.9,6.7543813622,0.4171476545,2,-10.2476,-9.6413,-0.6064,1,-8.4549,-8.8194,0.3645,6.5,6.49885,14.78,6.18,4720,58070
30,0.1,0.1,6.9,31.2,4.804284374,0.273637027,0,-13.8155,-9.9324,-3.8831,0,-13.8155,-12.5869,-1.2286,4.86,8.28482,0.34,7.33,1510,24080
31,7.14,35.56,7,121.3,2.0984633122,0.7228479872,6,-9.5468,-9.3996,-0.1472,1,-7.9417,-9.9965,2.0548,8.28,6.64673,4.56,5.5,2820,85195
32,8.92,46.84,10.3,518.7,6.1153334505,7.9593217865,20,-9.3248,-9.5667,0.2419,9,-7.6662,-8.5019,0.8358,7,7.00221,20.31,2,19255,226800
33,15.2,182.39,9.4,167.9,28.028138961,0.8374211985,32,-8.7918,-9.202,0.4101,175,-6.3068,-6.2997,-0.0072,10.08,9.24354,183.69,3.13,96005,211965
