Id,allRate,popDensity,pctUrban,pctFemHH,medinchh,medincfam,percapInc,medincMworker,medincFworker,povAll,povChildren,povGT65
AL,14.7,88,55.44,14.2,34135,41657,18189,32383,22518,16.1,21.2,15.5
AK,7.5,1,65.6,10.8,51571,59036,22660,41257,31151,9.4,11.2,6.8
AZ,14.6,45,88.17,11.1,40558,46723,20275,35184,26777,13.9,18.8,8.4
AR,11.6,51,52.52,12.1,32182,38663,16904,29784,21270,15.8,21.4,13.8
CA,11.3,217,94.44,12.6,47493,53025,22711,40627,31722,14.2,19,8.1
CO,6.1,42,84.47,9.6,47203,55883,24049,38446,29324,9.3,10.8,7.4
CT,5.5,703,87.74,12.1,53935,65521,28766,45787,33318,7.9,10,7
DE,7.5,401,80.11,13.1,47381,55257,23305,38961,29544,9.2,11.9,7.9
FL,9.2,296,89.29,12,38819,45625,21557,32212,25480,12.5,17.2,9.1
GA,11.6,141,71.63,14.5,42433,49280,21154,35791,26679,13,16.7,13.5
HI,3.4,189,91.47,12.4,49820,56961,21525,35535,28546,10.7,13.5,7.4
ID,3.9,16,66.42,8.7,37572,43490,17841,32603,22939,11.8,13.8,8.3
IL,12,223,87.84,12.3,46590,55545,23104,40999,29106,10.7,14,8.3
IN,9.1,170,70.78,11.1,41567,50261,20397,37055,25252,9.5,11.7,7.7
IA,2.7,52,61.08,8.6,39469,48005,19674,32697,24023,9.1,10.5,7.7
KS,6.4,33,71.44,9.3,40624,49624,20506,35104,25249,9.9,11.5,8.1
KY,7.6,102,55.76,11.8,33672,40939,18093,32357,23285,15.8,20.4,14.2
LA,21.6,103,72.63,16.6,32566,39774,16912,33399,22069,19.6,26.3,16.7
ME,1.7,41,40.23,9.5,37240,45179,19533,32372,24251,10.9,13,10.2
MD,17.7,542,86.07,14.1,52868,61876,25614,41640,32155,8.5,10.3,8.5
MA,4.7,810,91.37,11.9,50502,61664,25952,43048,32059,9.3,11.6,8.9
MI,10.9,175,74.65,12.5,44667,53457,22168,41897,28159,10.5,13.4,8.2
MN,3.8,62,70.94,8.9,47111,56874,23198,39364,28708,7.9,9.2,8.2
MS,16.5,61,48.77,17.3,31330,37406,15853,30549,21554,19.9,26.7,18.8
MO,10.8,81,69.41,11.6,37934,46044,19936,34357,24705,11.7,15.3,9.9
MT,4.7,6,54.08,8.9,33024,40487,17151,30503,20914,14.6,18.4,9.1
NE,4.1,22,69.76,9.1,39250,48032,19613,31965,23598,9.7,11.8,8
NV,12.5,18,91.51,11.1,44581,50849,21989,35794,27089,10.5,13.5,7.1
NH,2,138,59.26,9.1,49467,57575,23844,39689,27488,6.5,7.3,7.2
NJ,10.1,1134,94.35,12.6,55146,65370,27006,46368,33081,8.5,10.8,7.8
NM,13.1,15,74.96,13.2,34133,39425,17261,31310,23658,18.4,24.6,12.8
NY,10.8,402,87.49,14.7,43393,51691,23389,40236,31099,14.6,19.6,11.3
NC,11.4,165,60.25,12.5,39184,46335,20307,32132,24978,12.3,15.7,13.2
ND,2.1,9,55.9,7.8,34604,43654,17769,30488,20893,11.9,13.5,11.1
OH,7.6,277,77.36,12.1,40956,50037,21003,37692,26400,10.6,14,8.1
OK,9.9,50,65.34,11.4,33400,40709,17646,31123,22473,14.7,19.1,11.1
OR,4.5,36,78.74,9.8,40916,48680,20940,36588,26980,11.6,14,7.6
PA,9.2,274,77.06,11.6,40106,49184,20880,37051,26687,11,14.3,9.1
RI,5,1003,90.92,12.9,42090,52781,21688,37587,27358,11.9,16.5,10.6
SC,12.6,133,60.5,14.8,37082,44227,18795,32027,23329,14.1,18.5,13.9
SD,4.3,10,51.86,9,35282,43237,17562,29677,21520,13.2,16.7,11.1
TN,11.9,138,63.63,12.9,36360,43517,19393,32313,23978,13.5,17.6,13.5
TX,10.1,80,82.51,12.7,39927,45861,19617,34925,26168,15.4,20.2,12.8
UT,3.6,27,88.23,9.4,45726,51022,18185,36935,24872,9.4,9.7,5.8
VT,2.5,66,38.18,9.3,40856,48625,20625,32457,25322,9.4,10.7,8.5
VA,9.4,179,73.04,11.9,46677,54169,23975,37764,28035,9.6,11.9,9.5
WA,5.2,89,81.96,9.9,45776,53760,22973,40687,30021,10.6,13.2,7.5
WV,6.7,75,46.05,10.7,29696,36484,16477,31299,21154,17.9,23.9,11.9
WI,5.6,99,68.3,9.6,43791,52911,21271,37062,25865,8.7,10.8,7.4
WY,5.2,5,65.08,8.7,37892,45685,19134,34442,21735,11.4,13.8,8.9
