fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,HHEnglish,HHPctNonEnglish,HHPctLingIsolated,PctForeignBorn,FamMedInc,FamMedIncBlk,FamMedIncHisp,FamMedIncNHWht,PctPovBlk,PctPovHisp,PctPovNHWht,PctAllPov,PctCrowdedBlk,PctCrowdedHisp,PctCrowdedNHWht,HHmedValueBlk,HHmedValueHisp,HHmedValueNHWht,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,WFpop2005,WFpop2006,WFpop2007,WFpc0506,WFpc0507,WFpc0607,WMpop2005,WMpop2006,WMpop2007,WMpc0506,WMpc0507,WMpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,BFpop2005,BFpop2006,BFpop2007,BFpc0506,BFpc0507,BFpc0607,BMpop2005,BMpop2006,BMpop2007,BMpc0506,BMpc0507,BMpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607,HFpop2005,HFpop2006,HFpop2007,HFpc0506,HFpc0507,HFpc0607,HMpop2005,HMpop2006,HMpop2007,HMpc0506,HMpc0507,HMpc0607,Apop2005,Apop2006,Apop2007,Apc0506,Apc0507,Apc0607
22001,58861,47069,10932,351,0.1857,0.006,21171,13530,0.3609,0.0369,0.0044,31812,17434,25938,35879,0.4332,0.2222,0.1663,0.2454,0.1027,0,0.0496,43000,99100,65100,1.11,58804,59745,59958,1.600231277,1.962451534,0.35651519,46608,47105,47307,1.066340542,1.499742533,0.428829211,23869,24119,24216,1.047383636,1.453768486,0.402172561,22739,22986,23091,1.0862395,1.548001231,0.456799791,11118,11514,11509,3.561791689,3.516819572,-0.043425395,5883,6093,6087,3.569607343,3.467618562,-0.098473658,5235,5421,5422,3.553008596,3.572110793,0.018446781,545,572,574,4.95412844,5.321100917,0.34965035,254,264,265,3.937007874,4.330708661,0.378787879,291,308,309,5.841924399,6.18556701,0.324675325,148,157,161,6.081081081,8.783783784,2.547770701
22003,25440,17311,6010,1230,0.2362,0.0483,8127,6709,0.1745,0.0177,0.0058,33920,20878,31750,35961,0.3501,0.0625,0.1519,0.1991,0.0658,0.2453,0.0441,36400,78300,60000,1.64,24890,25567,25524,2.719967859,2.547207714,-0.168185552,17013,17205,17164,1.128548757,0.887556574,-0.238302819,8433,8485,8454,0.616625163,0.2490217,-0.365350619,8580,8720,8710,1.631701632,1.515151515,-0.114678899,6004,6355,6340,5.846102598,5.596269154,-0.236034618,2204,2273,2270,3.130671506,2.994555354,-0.131984162,3800,4082,4070,7.421052632,7.105263158,-0.293973542,995,1099,1101,10.45226131,10.65326633,0.181983621,120,130,131,8.333333333,9.166666667,0.769230769,875,969,970,10.74285714,10.85714286,0.103199174,154,173,172,12.33766234,11.68831169,-0.578034682
22005,76627,58460,15123,1940,0.1974,0.0253,26773,24042,0.102,0.0087,0.0183,50626,26619,39522,55173,0.3237,0.1277,0.0572,0.1295,0.145,0.2772,0.0311,72200,89000,110800,4.71,89056,95449,99056,7.178629177,11.22888969,3.778981446,67199,70176,72332,4.430125448,7.638506525,3.072275422,33783,35332,36408,4.585146375,7.770180268,3.04539794,33416,34844,35924,4.273401963,7.505386641,3.099529331,17656,20547,21534,16.37403715,21.9642048,4.803620967,9454,10968,11479,16.01438545,21.41950497,4.659008023,8202,9579,10055,16.78858815,22.59205072,4.969203466,2843,3163,3499,11.25571579,23.07421738,10.62282643,1253,1397,1547,11.4924182,23.46368715,10.7372942,1590,1766,1952,11.06918239,22.7672956,10.53227633,598,739,833,23.57859532,39.29765886,12.71989175
22007,23388,15473,7330,288,0.3134,0.0123,8217,5513,0.3291,0.0546,0.0082,36052,19724,26375,43811,0.4006,0.3608,0.106,0.2183,0.1272,0.0513,0.0309,56400,105800,83400,-0.48,22859,23065,22991,0.901176779,0.577453082,-0.32083243,15014,14932,14915,-0.54615692,-0.659384574,-0.113849451,7674,7639,7621,-0.456085483,-0.690643732,-0.235632936,7340,7293,7294,-0.640326975,-0.626702997,0.013711778,7284,7552,7475,3.67929709,2.622185612,-1.019597458,3848,3992,3955,3.742203742,2.780665281,-0.926853707,3436,3560,3520,3.608847497,2.444703143,-1.123595506,312,321,332,2.884615385,6.41025641,3.426791277,136,137,141,0.735294118,3.676470588,2.919708029,176,184,191,4.545454545,8.522727273,3.804347826,53,56,58,5.660377358,9.433962264,3.571428571
22009,41481,28134,12235,328,0.295,0.0079,14749,9776,0.3372,0.0482,0.0054,29389,14676,33750,35379,0.4788,0.2708,0.1294,0.2595,0.1195,0.0748,0.0263,40600,72500,58800,0.77,41344,42332,42169,2.389705882,1.995452786,-0.385051498,27681,27874,27711,0.697229146,0.108377588,-0.584774342,14234,14331,14242,0.68146691,0.056203457,-0.621031331,13447,13543,13469,0.713913884,0.163605265,-0.546407738,12471,13218,13210,5.98989656,5.925747735,-0.060523529,6180,6581,6570,6.488673139,6.310679612,-0.16714785,6291,6637,6640,5.499920521,5.547607694,0.045201145,353,375,375,6.232294618,6.232294618,0,182,192,192,5.494505495,5.494505495,0,171,183,183,7.01754386,7.01754386,0,86,97,96,12.79069767,11.62790698,-1.030927835
22011,32986,27527,3933,554,0.1192,0.0168,12130,11223,0.0748,0.0044,0.0111,37886,24452,39444,39255,0.2665,0.0439,0.1128,0.1559,0.0408,0,0.0416,47000,63500,68300,0.6,34264,34720,34776,1.330842867,1.49427971,0.161290323,28097,28210,28190,0.402178168,0.330996192,-0.070896845,14092,14152,14129,0.425773489,0.262560318,-0.162521198,14005,14058,14061,0.378436273,0.399857194,0.021340162,4624,4881,4866,5.557958478,5.233564014,-0.307314075,2218,2352,2345,6.04147881,5.72587917,-0.297619048,2406,2529,2521,5.112219451,4.779717373,-0.316330565,646,705,772,9.133126935,19.50464396,9.503546099,307,338,370,10.09771987,20.52117264,9.467455621,339,367,402,8.259587021,18.5840708,9.536784741,242,261,272,7.851239669,12.39669421,4.214559387
22013,15752,8588,6923,116,0.4395,0.0074,6106,5879,0.0372,0.0018,0.0041,30241,19052,31250,37932,0.3696,0.1,0.1096,0.2608,0.0658,0.0667,0.0173,35300,55000,55800,-1.64,15002,14896,14907,-0.706572457,-0.6332489,0.073845328,8359,8213,8206,-1.746620409,-1.830362484,-0.085230732,4247,4184,4184,-1.483400047,-1.483400047,0,4112,4029,4022,-2.01848249,-2.188715953,-0.173740382,6347,6377,6383,0.472664251,0.567197101,0.094088129,3414,3439,3448,0.732278852,0.995899238,0.261703984,2933,2938,2935,0.170473917,0.068189567,-0.102110279,125,132,138,5.6,10.4,4.545454545,57,61,64,7.01754386,12.28070175,4.918032787,68,71,74,4.411764706,8.823529412,4.225352113,27,27,27,0,0,0
22015,98310,71755,20232,3105,0.2058,0.0316,36671,33435,0.0882,0.0101,0.0248,45542,23563,43606,50476,0.3132,0.1083,0.0569,0.1374,0.0838,0.1617,0.0184,59000,88400,91300,1.45,105341,107653,108705,2.194776962,3.193438452,0.977213826,74950,75784,76416,1.112741828,1.955970647,0.833949119,37961,38337,38659,0.99049024,1.838729222,0.83991966,36989,37447,37757,1.238205953,2.076292952,0.827836676,22591,23604,23715,4.484086583,4.975432694,0.470259278,11916,12403,12463,4.086941927,4.5904666,0.483753931,10675,11201,11252,4.927400468,5.405152225,0.45531649,3876,4184,4408,7.946336429,13.7254902,5.353728489,1761,1896,2002,7.666098807,13.68540602,5.5907173,2115,2288,2406,8.179669031,13.75886525,5.157342657,1575,1673,1704,6.222222222,8.19047619,1.852958757
22017,252161,131547,111962,3518,0.444,0.014,98066,91928,0.0626,0.0054,0.015,38872,24158,34042,50958,0.3159,0.1687,0.0649,0.2111,0.0955,0.145,0.0213,44800,86800,88600,-0.98,250411,253469,252609,1.22119236,0.877756968,-0.339291984,125385,123886,122831,-1.195517805,-2.036926267,-0.851589364,64938,64089,63501,-1.307400905,-2.212879978,-0.917474138,60447,59797,59330,-1.075322183,-1.847899813,-0.780975634,115273,119367,119239,3.551568884,3.440528138,-0.107232317,61776,63977,63894,3.562872313,3.428515929,-0.129734123,53497,55390,55345,3.538516178,3.454399312,-0.081242101,4078,4304,4524,5.54193232,10.93673369,5.111524164,1870,1971,2068,5.401069519,10.58823529,4.921359716,2208,2333,2456,5.661231884,11.23188406,5.27218174,2311,2435,2446,5.365642579,5.841627001,0.45174538
22019,183577,133607,43197,3166,0.2353,0.0172,68757,58029,0.156,0.0152,0.0137,41903,25410,39779,47615,0.2966,0.2188,0.0764,0.1543,0.0804,0.1186,0.0338,56400,84500,86400,-1.17,184549,183426,184512,-0.608510477,-0.020048876,0.592064375,132602,130844,131398,-1.325771859,-0.907980272,0.423404971,67686,66843,67100,-1.245456963,-0.865762492,0.384483042,64916,64001,64298,-1.409513833,-0.951999507,0.464055249,45481,45868,46105,0.850904773,1.372001495,0.516700096,23658,23863,23994,0.866514498,1.420238397,0.54896702,21823,22005,22111,0.833982496,1.319708564,0.481708703,2719,2887,3111,6.178742185,14.4170651,7.758919293,1303,1380,1481,5.909439754,13.66078281,7.31884058,1416,1507,1630,6.426553672,15.11299435,8.161911082,1428,1500,1515,5.042016807,6.092436975,1
