fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607
22001,58861,47069,10932,351,0.1857,0.006,21171,1.11,58804,59745,59958,1.600231277,1.962451534,0.35651519,46608,47105,47307,1.066340542,1.499742533,0.428829211,11118,11514,11509,3.561791689,3.516819572,-0.043425395,545,572,574,4.95412844,5.321100917,0.34965035
22003,25440,17311,6010,1230,0.2362,0.0483,8127,1.64,24890,25567,25524,2.719967859,2.547207714,-0.168185552,17013,17205,17164,1.128548757,0.887556574,-0.238302819,6004,6355,6340,5.846102598,5.596269154,-0.236034618,995,1099,1101,10.45226131,10.65326633,0.181983621
22005,76627,58460,15123,1940,0.1974,0.0253,26773,4.71,89056,95449,99056,7.178629177,11.22888969,3.778981446,67199,70176,72332,4.430125448,7.638506525,3.072275422,17656,20547,21534,16.37403715,21.9642048,4.803620967,2843,3163,3499,11.25571579,23.07421738,10.62282643
22007,23388,15473,7330,288,0.3134,0.0123,8217,-0.48,22859,23065,22991,0.901176779,0.577453082,-0.32083243,15014,14932,14915,-0.54615692,-0.659384574,-0.113849451,7284,7552,7475,3.67929709,2.622185612,-1.019597458,312,321,332,2.884615385,6.41025641,3.426791277
22009,41481,28134,12235,328,0.295,0.0079,14749,0.77,41344,42332,42169,2.389705882,1.995452786,-0.385051498,27681,27874,27711,0.697229146,0.108377588,-0.584774342,12471,13218,13210,5.98989656,5.925747735,-0.060523529,353,375,375,6.232294618,6.232294618,0
22011,32986,27527,3933,554,0.1192,0.0168,12130,0.6,34264,34720,34776,1.330842867,1.49427971,0.161290323,28097,28210,28190,0.402178168,0.330996192,-0.070896845,4624,4881,4866,5.557958478,5.233564014,-0.307314075,646,705,772,9.133126935,19.50464396,9.503546099
22013,15752,8588,6923,116,0.4395,0.0074,6106,-1.64,15002,14896,14907,-0.706572457,-0.6332489,0.073845328,8359,8213,8206,-1.746620409,-1.830362484,-0.085230732,6347,6377,6383,0.472664251,0.567197101,0.094088129,125,132,138,5.6,10.4,4.545454545
22015,98310,71755,20232,3105,0.2058,0.0316,36671,1.45,105341,107653,108705,2.194776962,3.193438452,0.977213826,74950,75784,76416,1.112741828,1.955970647,0.833949119,22591,23604,23715,4.484086583,4.975432694,0.470259278,3876,4184,4408,7.946336429,13.7254902,5.353728489
22017,252161,131547,111962,3518,0.444,0.014,98066,-0.98,250411,253469,252609,1.22119236,0.877756968,-0.339291984,125385,123886,122831,-1.195517805,-2.036926267,-0.851589364,115273,119367,119239,3.551568884,3.440528138,-0.107232317,4078,4304,4524,5.54193232,10.93673369,5.111524164
22019,183577,133607,43197,3166,0.2353,0.0172,68757,-1.17,184549,183426,184512,-0.608510477,-0.020048876,0.592064375,132602,130844,131398,-1.325771859,-0.907980272,0.423404971,45481,45868,46105,0.850904773,1.372001495,0.516700096,2719,2887,3111,6.178742185,14.4170651,7.758919293
22021,10560,8399,1896,159,0.1795,0.0151,3925,-1.17,10398,10359,10307,-0.375072129,-0.875168302,-0.501978955,8247,8146,8109,-1.224687765,-1.673335758,-0.454210656,1861,1920,1898,3.170338528,1.988178399,-1.145833333,162,165,167,1.851851852,3.086419753,1.212121212
22023,9991,9266,354,207,0.0354,0.0207,3592,-19.17,9571,7705,7414,-19.49639536,-22.53683001,-3.776768332,8725,7068,6759,-18.99140401,-22.53295129,-4.371816638,423,283,290,-33.09692671,-31.44208038,2.473498233,278,209,220,-24.82014388,-20.86330935,5.263157895
22025,10920,7798,2986,44,0.2734,0.004,4088,-0.76,10270,10396,10452,1.226874391,1.772151899,0.538668719,7272,7215,7284,-0.783828383,0.165016502,0.956340956,2832,3013,3001,6.391242938,5.967514124,-0.398274145,74,75,75,1.351351351,1.351351351,0
22027,16851,8686,7938,143,0.4711,0.0085,6288,-0.32,16313,16441,16283,0.784650279,-0.183902409,-0.961012104,8258,8230,8147,-0.339065149,-1.344151126,-1.008505468,7817,7966,7876,1.906102085,0.754765255,-1.129801657,81,82,85,1.234567901,4.938271605,3.658536585
22029,20247,12136,7603,283,0.3755,0.014,7538,-0.91,18949,19225,19058,1.456541242,0.575228244,-0.868660598,11084,10953,10816,-1.181883796,-2.417899675,-1.250798868,7406,7783,7746,5.090467189,4.590872266,-0.475395092,236,264,267,11.86440678,13.13559322,1.136363636
22031,25494,14053,10488,492,0.4114,0.0193,9680,0.22,25977,26061,26269,0.323362975,1.124071294,0.79812747,14663,14675,14817,0.081838641,1.050262566,0.967632027,10550,10592,10615,0.398104265,0.616113744,0.217145015,406,427,457,5.172413793,12.56157635,7.025761124
22033,412852,227677,163054,7704,0.3949,0.0187,156521,0.26,412196,431278,430317,4.629351085,4.39620957,-0.222826112,214118,213789,211067,-0.153653593,-1.424915234,-1.273217986,174898,192238,193332,9.914350078,10.53985752,0.569086237,8652,9551,10065,10.39066112,16.33148405,5.381635431
22035,9421,2925,6323,116,0.6712,0.0123,2968,-5.37,8467,8319,8302,-1.747962679,-1.948742176,-0.204351485,2627,2482,2448,-5.519604111,-6.81385611,-1.369863014,5686,5682,5700,-0.070348224,0.246218783,0.316789863,72,72,72,0,0,0
22037,21360,10973,10037,130,0.4699,0.0061,6687,0.84,20557,21017,20833,2.237680595,1.342608357,-0.875481753,11002,11087,11074,0.772586802,0.654426468,-0.117254442,9205,9562,9380,3.878326996,1.901140684,-1.903367496,130,138,141,6.153846154,8.461538462,2.173913043
22039,35434,24763,10010,298,0.2825,0.0084,12769,0.37,35227,35675,35905,1.271751781,1.924660062,0.64470918,24118,24200,24361,0.339995024,1.007546231,0.665289256,10424,10770,10805,3.319263239,3.655026861,0.324976787,310,319,335,2.903225806,8.064516129,5.015673981
22041,21263,14170,6650,87,0.3127,0.0041,7789,-1.43,20170,20091,20060,-0.391670798,-0.545364403,-0.154297944,13532,13333,13345,-1.470588235,-1.381909548,0.09000225,6289,6401,6347,1.780887263,0.92224519,-0.843618185,128,131,135,2.34375,5.46875,3.053435115
22043,18698,15934,2173,125,0.1162,0.0067,7056,1.64,19296,19713,19758,2.161069652,2.394278607,0.228275757,16327,16593,16637,1.62920316,1.898695413,0.265172061,2265,2393,2367,5.651214128,4.503311258,-1.086502298,210,215,219,2.380952381,4.285714286,1.860465116
22045,73266,47109,21967,1062,0.2998,0.0145,25319,0.06,73654,74690,74965,1.406576696,1.779944063,0.368188513,46701,46702,46675,0.002141282,-0.055673326,-0.05781337,23316,24234,24402,3.937210499,4.657745754,0.693240901,1113,1139,1206,2.336028751,8.355795148,5.882352941
22047,33320,16244,16438,429,0.4933,0.0129,10672,-0.24,32229,32847,32501,1.917527692,0.843960408,-1.053368649,15653,15595,15452,-0.370535999,-1.284098895,-0.916960564,15988,16636,16424,4.05303978,2.727045284,-1.274344794,291,311,316,6.872852234,8.591065292,1.607717042
22049,15397,10879,4312,43,0.2801,0.0028,6114,0.48,15068,15265,15139,1.307406424,0.471197239,-0.825417622,10691,10738,10653,0.439622112,-0.355439154,-0.7915813,4091,4233,4187,3.471033977,2.34661452,-1.08669974,136,141,144,3.676470588,5.882352941,2.127659574
22051,455466,298244,103335,32227,0.2269,0.0708,176424,-5.92,449640,420891,423520,-6.393781692,-5.809091718,0.624627279,272757,255970,250535,-6.154562486,-8.147178624,-2.123295699,118509,108866,114472,-8.136934748,-3.406492334,5.149449782,35318,33879,36084,-4.074409649,2.168865734,6.508456566
22053,31435,25118,5407,402,0.172,0.0128,11519,0.51,30930,31257,31177,1.057225994,0.798577433,-0.255942669,24641,24762,24722,0.4910515,0.328720425,-0.16153784,5469,5651,5580,3.32784787,2.029621503,-1.256414794,334,341,356,2.095808383,6.586826347,4.398826979
22055,190503,137867,44926,3400,0.2358,0.0178,72412,1.39,197428,203457,204843,3.053771502,3.755799583,0.681225025,139191,140900,141678,1.227809269,1.786753454,0.552164656,49302,52985,53184,7.470285181,7.873919922,0.375577994,3978,4261,4548,7.114127702,14.32880845,6.735508097
22057,89974,73973,11201,1464,0.1245,0.0163,32093,0.95,91433,92878,92713,1.5803922,1.399932191,-0.177652404,74178,74785,74511,0.818301922,0.448920165,-0.366383633,12089,12794,12751,5.83174787,5.47605261,-0.336095045,1516,1631,1722,7.585751979,13.5883905,5.579399142
22059,14282,12200,1757,115,0.123,0.0081,5288,0.92,13904,14046,14041,1.021288838,0.985327963,-0.035597323,11778,11885,11864,0.908473425,0.730174902,-0.176693311,1770,1795,1807,1.412429379,2.09039548,0.668523677,120,123,122,2.5,1.666666667,-0.81300813
