id,noins9806,mam9806,percapinc,popAll,popFem50up
AL,81,78.16,18.189,4452375,716513
AK,80.64,79.9,22.66,627533,59422
AZ,79.78,81.96,20.275,5166693,761558
AR,77.86,70.78,16.904,2678610,440741
CA,79.66,82.08,22.711,34008499,4484976
CO,82.46,78.22,24.049,4327409,555209
CT,88.58,82.88,28.766,3412539,560752
DE,89.7,85.86,23.305,786505,122632
DC,88.26,85.68,28.659,571042,89761
FL,76.46,81.04,21.557,16050166,2940972
GA,82.12,78.46,21.154,8230550,1086850
HI,91.225,78.225,21.525,1212113,185091
ID,80.24,70.76,17.841,1299811,175266
IL,84.58,76.6,23.104,12440970,1833750
IN,83.96,73.6,20.397,6092375,919668
IA,87.66,77.44,19.674,2928703,482553
KS,85.5,78.4,20.506,2692947,405398
KY,81.72,75.7,18.093,4049260,631027
LA,73.98,76.68,16.912,4469529,649048
ME,85.26,82.74,19.533,1277483,216372
MD,86.86,83.42,25.614,5311695,789433
MA,89.48,85.68,25.952,6362604,1020975
MI,87.08,81.84,22.168,9956689,1490043
MN,90.96,79,23.198,4934275,707493
MS,76.74,69.94,15.853,2848634,425589
MO,84.8,74.48,19.936,5606532,893803
MT,78.92,76.42,17.151,903531,140998
NE,86.62,75.92,19.613,1713426,261303
NV,77.94,74.86,21.989,2018456,279507
NH,86.94,81.86,23.844,1240664,185292
NJ,84.5,77.84,27.006,8434216,1351587
NM,73.82,75.22,17.261,1821656,261403
NY,83.32,80.44,23.389,19000135,3019378
NC,81.36,81.22,20.307,8078909,1231686
ND,85.9,78.2,17.769,641193,100174
OH,86.82,79.02,21.003,11364401,1807374
OK,76.6,72.2,17.646,3454508,543066
OR,80.64,79.94,20.94,3431530,527228
PA,87.14,78.26,20.88,12286905,2156019
RI,86.76,85.82,21.688,1050836,173444
SC,80.72,79.22,18.795,4023565,623178
SD,85.56,78.08,17.562,755793,115982
TN,85.66,77.82,19.393,5703299,894288
TX,71.04,73.9,19.617,20951848,2663415
UT,84.02,73.94,18.185,2243490,234917
VT,87.24,79.6,20.625,609986,96232
VA,86.3,79.12,23.975,7104587,1044031
WA,84.88,79.1,22.973,5912036,831427
WV,78.16,76.28,16.477,1807528,324621
WI,89.24,78.72,21.271,5374747,814542
WY,79.68,71.64,19.134,494166,70676
