Id,POP,FAM.POV,MED.INCOME,EDU.G8,EDU.COL.D,POOR.ENG,DROPOUT,UNEM,DIVORCED,NV.MARRIED,VACANT,VOTE.GEN,ALC.ALL,ALC.OFF.PR,TOBACCO,DE.CIRRHOS,DE.SUICIDE,DE.TRAUMA,DE.TRAFFIC,CRM.VIOL,CRM.DRUG,CRM.DWI,JAR.VIOL,OASAS.18OV
14025,3141,3.5,45278,5.6,40.5,0,1.8,2.9,8.2,21,3.6,73.4,25.5,6.4,11.1,0.6,1.3,5.1,1.9,15.9,40.6,57.3,0,47.8
14026,722,0,50357,4.5,30,,0.9,0,6.2,26.1,13.5,77.1,41.6,13.9,6.4,0,2.8,5.5,2.8,6.9,13.9,20.8,0,66.5
14030,1304,5.2,35536,4.6,15.5,,4.3,2.4,7.8,26.2,11.5,69.5,23,0,3.1,0,1.5,4.6,1.5,17.3,42.2,57.5,0,47.5
14031,8769,1.8,60694,1.8,45.2,0,1.1,2.8,7.7,20.7,3.1,77.3,21.7,8,12.5,0.7,1.1,3.4,1.1,16.3,40.8,57.6,1.2,48.6
14001,8325,2.9,40570,3.7,26.4,7.6,1.1,2,7.7,22.6,4.3,72.7,21.6,8.4,10,1.2,1.2,4.8,2.2,18.3,30.3,42.9,1.1,56
14004,11631,4.3,46760,8,22.5,20.5,1.6,2.6,6.4,25.1,6.1,75.2,19.8,7.7,11,0.7,0.5,4.3,2.4,16.3,41.1,57.8,1,72.6
14006,10884,6.8,37311,4.5,27.3,22.5,2.9,4.3,9.9,23.7,14.3,70.2,26.6,10.1,11.1,0.7,0.9,3.1,1.7,7.8,13.8,45.5,0,81
14032,5553,0.5,64073,3.1,46,34.5,1.1,2.4,6.1,19.6,2.8,76.4,5.4,1.8,6.9,0.7,0.4,3.6,1.4,16.7,41.4,58.5,1.3,39.3
14033,2062,2,54615,0.4,36.8,47.6,1.5,2.6,7.1,19.7,12.4,75.5,38.8,14.5,22.6,1.9,1,1.9,0,15.8,40,57,0,50.4
14034,6105,5.6,39167,10.8,8,0,3.1,1.1,5.5,41,5.2,71.3,8.2,0,4,1,0,2.3,1.3,16.4,41,57.7,4.1,26.9
14043,26537,3.1,43908,5.3,26.4,16.2,3.2,2.4,8.1,25.5,3.2,73.2,25.2,12.1,7.8,1.1,1,3.3,1,13.4,17.8,33.6,2.4,78.4
14047,6833,3.4,52445,3.3,32.4,52.9,3.2,2.3,8.2,24.5,5.6,70.9,23.4,8.8,8.6,0.6,0.3,4.4,1.8,7.7,16.8,58.2,0,61.8
14051,17991,1.4,88317,1.2,68.5,7.6,0.9,1.7,3.8,20.5,3,77.9,12.8,6.1,5.3,0.8,0.4,1.7,0.8,10,21,33.6,0.9,44.7
14052,18248,1.5,52395,4,44,15.5,0.9,2.5,6.8,20.7,3.9,78.9,18.1,7.7,10.1,0.8,0.5,2.5,0.7,7.8,35.8,52.3,0.5,39.9
14055,1469,4.4,39500,2.6,20.4,0,3.9,4.2,11.6,24.3,3.1,73.2,20.4,20.4,2.4,1.4,0,2.7,1.4,15.3,40.8,56.2,0,38.1
14057,8276,1.3,54273,3.5,32.8,19.7,0.5,3.4,6.8,21.8,5.4,74.9,21.7,9.7,7.1,1.2,1,3.1,1.2,4.2,10,58,0,150.1
14059,8937,1.8,54668,3.1,42.1,22,0.8,2.2,6.5,19.1,2.8,80.1,15.7,5.6,10.9,0.7,0.7,2.5,0.7,16.5,41.4,58.2,1.1,35.8
14068,10027,4.4,68559,6.8,54.5,0,0.9,26.9,3.7,12.1,3.6,78.9,16,8,2.9,0.6,0.2,2.4,0.2,7.2,12.2,22.9,1.2,24.7
14069,785,4.4,51094,3.7,35.5,,2.7,5.3,8,21.3,6.5,74.1,,,2,0,5.1,5.1,0,15.9,44.6,60.5,0,68.8
14070,2360,11.4,31506,6.3,25,8.8,3.7,6.1,14.5,25.9,8.5,65.8,29.7,12.7,20.9,0.8,2.5,7.6,1.7,22.2,44.5,96.4,0,139.8
14072,18621,2.4,60432,1.6,45.6,14.3,3.4,2.2,7.4,21.7,6.3,74.9,17.7,4.8,7,0.8,0.8,2.9,0.8,16.4,41.2,58,1,62.8
14075,42082,2.8,48923,4.1,39.4,7.3,1.8,2.8,8.2,22,3.3,76,20.7,7.6,10.4,1,0.8,3.2,1.6,25.4,9.9,35.1,12.6,73.6
14080,4727,6.1,47929,2.7,27.9,0,3.3,2.5,9.4,22.8,5,74,10.6,4.2,12.7,0.4,0.8,3,1.3,16.4,41.8,58.7,1.7,41.5
14081,2307,15.6,35969,6,24.9,52.6,3.4,6.3,11.1,31.6,11.3,73.9,4.3,0,0,1.7,0,6.9,4.3,8.7,21.7,31.4,0,59.8
14085,5565,1.9,58438,2.4,38.5,10,1.7,4.1,6.8,22.1,2.8,76.3,14.4,3.6,2.5,1.4,0.7,5.4,3.2,33.7,6.7,35.5,15,66.8
14086,28516,2.3,52303,3.5,35.8,9.6,1,2.3,6.7,22.3,2.7,75.5,18.2,7.4,7.6,0.8,0.5,2.2,0.8,5.9,12.1,19.6,0.6,53
14091,1135,11.9,36528,8.7,22.2,0,2.1,2.6,12.6,30.6,6.7,76.9,8.8,8.8,14.6,0,1.8,7,3.5,17.6,44.1,61.7,0,54.6
14102,1111,2.6,66953,0.9,39.9,0,0.8,6.4,3.4,22.2,2.2,79.6,18,9,0,1.8,0,1.8,1.8,15.8,40.5,56.3,0,34.2
14111,3160,4.7,43319,3.9,26.2,12.5,1.7,2.3,7.9,22.6,11.1,69.8,19,12.7,8.9,0,1.3,7.6,5.1,13.4,33.2,47.5,0,46.8
14127,27762,1.3,60141,3.3,50.5,26.7,1.2,2.4,7.4,21.8,3.5,76.4,17.3,7.6,8.9,1.6,0.6,3.2,1.6,5.1,7.3,26.7,0,42.1
14139,2031,0.9,49886,2.1,34.4,31.3,1.4,2.6,11.3,19,5.2,77.1,9.8,9.8,10.6,0,4.9,6.9,1,14.8,40.6,57.9,0,40.4
14141,7425,4.5,39762,4.2,26.5,12.2,2.5,2.9,7.1,22.2,4.8,72.1,28.3,6.7,15.3,0.8,0.8,4,1.9,16.5,41.1,57.9,1.2,54.9
14150,44535,5.6,40064,2.8,29.8,11.2,1.2,2.9,9,24.8,3.8,74.6,24.5,10.6,6.9,1,1.1,3,0.5,10.8,25,53.4,4.3,93.7
14170,2633,5.7,50741,1.8,39.8,0,1,1.2,7.8,21.3,0,77.4,22.8,11.4,6.4,0.8,0,3.8,1.5,6.6,30.4,47.5,0,61.5
14201,13609,41.9,14642,15.5,26.4,18.5,1.8,8.9,11.2,46,20.5,53.4,41.1,24.2,16.7,2.8,1.3,6.3,0.4,165.7,196,18.4,17,588
14202,4136,19,24000,12.1,27.2,18.4,1.8,2.5,11.5,36.6,14.5,68,147.5,16.9,56.9,1.9,2.4,5.8,1,366.9,334.9,70.1,20.9,604.9
14203,1009,67.6,9400,8.8,22.4,100,1.8,14.1,17.8,51.7,23.1,45.6,317.1,19.8,90.5,0,4,13.9,0,988.6,520.3,163.5,31.4,604.9
14204,10040,31.9,15901,11.6,14.9,15.4,1.8,9.3,11,42.6,25.9,59.2,52.8,32.9,11.9,2,0.4,7.4,1.2,162.4,142.9,12.7,32,440.4
14206,22988,13.4,27645,10.4,16.5,16.1,2,4.9,10.1,31.8,11.1,66.3,41.8,15.2,17.3,2.3,1,5.1,1.5,89.5,52,11.9,13.4,191.1
14207,22986,21.5,24027,7.5,15.2,23.8,1.7,7,12.9,33.8,12.6,59.1,43.9,13.1,16.8,1.9,1.8,4.6,0.5,75.2,23.5,12.1,14.9,272.3
14208,13207,23.2,21783,11.6,16.9,8.8,1.8,13.7,8.8,38,19.9,60.6,27.3,20.4,13.2,2.6,0.3,7.1,0.8,130,125.1,8.9,30.4,351.6
14209,8547,25.5,21915,6,38.2,0,1.8,3.9,11.7,42.8,14.2,64.2,29.3,18.7,22.8,1.2,1.2,5.4,0.2,150.1,103.8,14.3,19.3,474.1
14210,16681,16.4,26410,6.9,17.3,29.7,1.8,5,11.7,34.3,11.6,61.3,37.8,14.4,12.2,1.9,0.4,2.6,0.6,46.6,34.6,10.5,18.3,274.3
14211,29590,29.9,20336,9.1,14.9,15.3,1.8,7.8,10.9,42.7,23.2,55.6,38.9,24.7,13.9,1.4,0.4,7.8,1.6,194.7,170.4,14.6,32.2,469.7
14212,15364,32.4,18015,13.3,13.6,14,1.9,8.2,10.5,41.8,24.3,53,59.9,21.5,12.7,2.5,0.8,6.1,1,179.6,120.9,13.5,19.8,552.2
14213,26080,36.6,19934,11.2,21.9,11.3,1.8,7.5,9.8,41.7,21.1,53.4,33,18.8,12.3,1.5,1.3,5.2,0.7,136.1,98.1,13.5,16.2,476.9
14214,21860,16.7,30431,3.8,44.7,14.6,1.8,12.3,8.1,41.3,11.1,67.7,18.8,9.6,6.6,1.1,0.5,2.9,0.5,77.7,74.5,11.9,11.8,220.1
14215,44484,21.6,27338,5.1,24.6,11.8,2,6,10.1,40.3,11.7,61.1,18.4,13.5,11.4,0.9,0.5,4.6,1,89.6,69,10.9,19.8,286.3
14216,23587,8.5,34338,6,40.9,8,1.8,3.2,10.6,34.6,6.5,72.1,25.4,10.2,11.5,0.8,0.9,3.6,0.8,38.8,5.4,5.3,8.2,143.5
14217,24692,3.9,39777,3.7,36.6,25.8,1.3,2.9,8.9,27.6,5.3,74.6,23.9,7.3,9.3,1.1,0.8,2.8,0.7,13,6.6,44.9,9.7,136.2
14218,20203,12.2,30282,9.1,21.7,5.6,2.8,4,11,29.6,8.5,69.7,45,18.8,15.9,1.9,0.9,3.5,1.1,34.5,44.5,31.1,2.5,161.9
14219,13050,6.1,39886,4.6,27,0,1.8,2.9,10.8,29.3,4.9,71.9,36,13,15.7,0.8,0.6,2.8,1.5,34.1,8.8,35.2,17.7,95
14220,26550,8.6,35839,4.9,29,11,1.8,3.6,8.7,33,7.4,69.7,22.6,11.3,8.8,1.6,0.8,3.4,0.9,26.7,8.1,4.9,6,136.1
14221,51448,2.6,60494,2.9,55.7,6.7,0.9,2.3,6.6,21.9,4.1,78.9,20,8.2,7.9,0.7,1,2.9,0.5,8.4,15.7,27.3,0.8,47
14222,14365,8.7,31440,2.8,57.1,10.1,1.8,9.1,10,51.2,10.3,70.2,26.5,10.4,11.9,1.5,1.7,3.9,0.6,122.7,88.2,13.6,30.9,189.5
14223,24094,4.1,43648,2.5,38.7,11.5,1.3,2.1,7.9,21.6,3,78.2,15.4,9.1,6.9,0.9,0.9,2.4,0.3,9.8,7.5,42.7,5.4,75.1
14224,40509,3,47692,4.3,31.5,20.1,1.1,2.6,7.1,24.2,3.2,74.5,18.8,6.9,8.4,1.2,0.5,2.6,0.7,34.1,12.7,21.2,3.5,67
14225,35893,5.9,35372,4.6,24.1,10.8,3,2.8,8.6,24.2,5.4,74.7,27.3,10.6,11.8,1.3,0.8,3.6,0.8,15.3,22.3,43.7,2.9,91.8
14226,29382,4.9,46380,2.7,53.8,12.6,0.7,2.8,7.5,26.6,3.6,77.7,28.6,8.8,12.2,0.7,1.3,4,1,7.2,12.1,23.1,0.7,64.7
14227,24573,3.1,41358,6.5,28,16.2,2.3,3,8.2,24,3.2,72.2,17.9,6.5,6.9,1.4,0.2,2.3,0.7,15.4,22.4,44,3.1,64.9
14228,19713,8.3,43048,2.4,50.5,6.1,0.8,11.5,7.6,29.5,3.6,73.9,1,0.5,9.1,0.5,0.8,1.7,0.4,7.2,12,23.1,1.1,63.3
