Id,N.Species,AnnTempRange,AnnPrecip,MeanAnnTemp,RangeElev
24390,159,22.5,739,15.5,1581
24391,160,23.1,1295,12.5,1554
24516,155,22.2,613,18.5,1288
24517,157,21.8,524,16.5,907
24518,162,22.2,766,14,977
24519,160,22.8,1167,9,1516
24520,158,24.2,619,17,1547
24643,157,21.7,613,15,894
24644,159,21.6,589,13,563
24645,162,21.5,2030,5,1625
24646,161,22,1252,8,1601
24647,160,23.9,562,17.5,1107
24648,151,25.1,502,15.5,1394
24649,134,25.9,328,18,795
24650,117,26.2,274,21,331
24651,108,26.2,256,21,445
24652,112,25.5,277,19.5,791
24653,111,24.8,362,17.5,1047
24654,110,23.8,375,13.5,531
24655,107,23.5,640,14.5,448
24656,107,23.6,760,14.5,394
24657,103,23.7,545,14.5,417
24658,103,23.7,502,16.5,140
24768,158,21.8,825,16.5,1056
24769,159,21.7,664,14.5,645
24770,161,21.1,1261,9.5,1480
24771,161,20.7,1156,7.5,1523
24772,165,22.6,534,15,1035
24773,158,23.5,407,14.5,1112
24774,154,24.5,458,16,1066
24775,129,25.8,290,16.5,1190
24776,114,26.3,252,20,596
24777,111,25.7,324,18,847
24778,110,25,294,18.5,713
24779,110,24,336,17.5,1138
24780,109,23.5,304,18.5,305
24781,107,23.5,444,18.5,571
24782,107,23.4,497,16.5,365
24783,107,23.4,434,14.5,450
24784,105,23.5,563,13.5,353
24893,158,21.7,923,14,974
24894,162,21.3,634,14,900
24895,167,20.4,573,12.5,1265
24896,166,21.3,444,14.5,658
24897,162,23,402,12,1179
24898,160,23.4,382,13,873
24899,151,24.5,370,13.5,797
24900,131,25.6,275,14,1011
24901,113,25.5,339,17.5,943
24902,104,24.7,373,16,605
24903,108,24.1,299,17.5,637
24904,105,23.8,241,20,480
24905,107,23.8,233,20,233
24906,105,23.7,263,18,451
24907,105,23.3,394,15.5,668
24908,105,23.3,447,16.5,701
25016,144,22.4,938,19,1245
25017,155,21.5,989,15.5,1166
25018,159,20.8,639,13.5,960
25019,157,20.5,809,10.5,958
25020,159,21.4,807,10,1505
25021,157,22.5,453,10,1130
25022,156,23.6,449,10.5,1001
25023,160,24.1,404,10,1049
25024,137,24.6,316,15,896
25025,114,24.5,313,17,794
25026,110,23.9,360,15,747
25027,107,23.8,265,14,530
25028,101,23.6,276,16.5,624
25029,77,23.8,228,17,512
25030,78,23.6,284,16,677
25031,113,23.2,371,15,959
25138,104,22.9,429,23.5,502
25139,131,22.2,608,19,739
25140,155,20.8,745,17,893
25141,156,20.5,762,12,589
25142,158,20.6,881,8,839
25143,150,21.1,686,7,1060
25144,153,22.1,731,10,788
25145,154,22.9,727,8,958
25146,156,23.6,380,12.5,822
25147,134,23.9,275,16.5,578
25148,115,23.5,298,16.5,686
25149,109,23.1,363,16.5,569
25150,110,23,564,14,668
25151,110,23.2,498,15.5,611
25152,109,23.3,245,16.5,368
25153,106,23,441,15,746
25154,114,22.9,524,12,1024
25260,100,22.2,356,21.5,412
25261,108,21,450,22,427
25262,151,20.3,715,16.5,1070
25263,158,20.3,688,11,807
25264,153,20.5,748,10,1175
25265,157,20.9,592,9.5,1204
25266,158,21.8,822,9.5,1555
25267,158,22.8,568,9.5,876
25268,155,23.3,364,14.5,837
25269,136,23,328,15.5,626
25270,125,22.5,277,14.5,528
25271,113,22.5,501,14,620
25272,121,22.2,693,13,913
25273,127,22.1,546,11.5,1635
25274,118,22.2,257,15.5,886
25275,109,22.7,447,16.5,692
25381,94,21.6,359,21,450
25382,101,20.6,646,18.5,570
25383,152,20.1,733,13,849
25384,156,20.2,456,15,720
25385,155,20.4,549,12.5,888
25386,157,20.7,451,13.5,961
25387,159,21.4,524,9.5,1200
25388,158,22.3,574,10.5,523
25389,152,22.6,369,13.5,669
25390,139,22.4,265,17,99
25391,132,22.1,244,17,115
25392,132,22.1,361,15.5,379
25393,142,21.8,695,13,876
25394,120,21.7,521,13.5,888
25395,112,21.8,312,15,795
25396,112,22.2,277,15,1299
25500,104,21.9,245,24,214
25501,95,20.9,373,20.5,610
25502,119,20,721,15,979
25503,154,19.9,605,14,921
25504,154,20.4,416,16,785
25505,152,20.2,422,13,900
25506,158,20.5,537,12.5,1285
25507,157,20.7,641,10.5,683
25508,156,21.3,474,11.5,552
25509,146,21.7,323,15.5,412
25510,128,22,246,16.5,212
25511,125,21.9,331,16,358
25512,107,21.5,323,14.5,261
25513,109,21.5,355,16,323
25514,105,21.4,316,16.5,334
25515,107,21.1,232,14.5,700
25619,102,21.1,250,24,345
25620,98,20.3,345,21,519
25621,128,20.1,590,16.5,733
25622,152,20.1,472,17,878
25623,149,19.8,468,16.5,1078
25624,157,19.7,489,14.5,1322
25625,154,19.7,660,14.5,841
25626,154,19.7,647,10.5,794
25627,148,20.2,310,13,537
25628,119,20.8,248,16.5,227
25629,118,21.3,292,17,261
25630,95,20.9,307,15.5,255
25631,104,20.9,276,16.5,300
25632,98,20.9,281,14.5,656
25633,106,20.9,265,13.5,701
25634,105,21,280,14.5,401
25737,98,20.6,277,23.5,492
25738,95,20.3,368,20.5,536
25739,140,20,503,16,799
25740,147,19.9,494,17,1016
25741,149,19.4,686,12,848
25742,152,19.1,474,10,773
25743,148,19.3,603,13.5,429
25744,143,19.5,463,12.5,411
25745,124,19.8,274,14,316
25746,108,20.4,283,14,625
25747,109,20.4,279,15.5,342
25748,86,20.2,267,16.5,357
25749,147,20.6,318,14.5,863
25750,142,20.5,311,14.5,1025
25751,140,20.9,303,16.5,689
25853,102,20.5,264,24,386
25854,96,20.4,319,23,747
25855,102,20.2,368,20.5,809
25856,131,19.9,333,18.5,886
25857,144,19.6,454,17.5,938
25858,154,18.8,581,11,1029
25859,154,18.8,329,13,673
25860,141,19,318,12,619
25861,118,19.3,293,13.5,439
25862,113,19.6,283,13,442
25863,112,19.9,252,15.5,299
25864,116,20,274,15.5,613
25865,131,20,310,16.5,415
25866,164,20.3,304,15.5,639
25867,166,20.7,294,16,727
25868,161,21.2,381,15.5,766
25969,97,20.4,294,21.5,608
25970,101,20.2,307,21.5,552
25971,118,19.9,341,19,887
25972,127,19.5,397,19,871
25973,153,18.7,534,12,895
25974,152,18.5,413,11.5,1066
25975,145,18.4,296,12.5,800
25976,118,18.5,301,12,510
25977,113,19,268,13,264
25978,112,19.4,267,16,166
25979,88,19.7,272,15.5,400
25980,125,19.7,290,17,399
25981,146,19.9,439,16,780
25982,162,20.5,520,13.5,1026
25983,161,20.7,749,13,1051
26083,116,19.9,358,21,705
26084,121,19.8,306,20,784
26085,116,19.6,339,18.5,800
26086,119,19.4,325,18.5,642
26087,133,18.9,394,16,1006
26088,150,18.7,337,14,776
26089,140,18.5,267,14.5,638
26090,127,18.3,261,13,657
26091,149,18.7,298,11,404
26092,120,18.8,301,14.5,296
