fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
1001,29.7,65896,4.5,59.9,48.4,64325,142.2,82.9,16303,34222,0.235,0.481,0.2,0.388,0.38,0.145,0.735,0.838,109.26,21.6,0.17,19.99,0.66
1003,23,227018,1.1,45.1,38.2,219096,86.4,70.4,33373,98280,0.251,0.557,0.236,0.425,0.361,0.169,0.618,0.749,110.46,23.7,0.15,12.79,0.88
1005,30.6,28562,2.3,32.4,27.3,28215,98,104.3,24351,25417,0.235,0.486,0.165,0.344,0.384,0.165,0.755,0.817,78.94,24.6,0.1,44.12,0.31
1007,28.8,29506,0,39.1,11.9,28869,112.3,107.2,8031,16576,0.235,0.486,0.172,0.344,0.361,0.161,0.713,0.873,77.57,20.2,0.14,21.06,0.28
1009,29,91013,3.2,50.7,47.9,87538,122.2,0,1318,39248,0.272,0.513,0.234,0.398,0.342,0.145,0.713,0.873,93.7,21.6,0.17,1.48,0.71
1011,16.8,5369,0,7.4,26.7,6767,117.7,74.4,15876,11042,0.236,0.466,0.162,0.344,0.384,0.165,0.548,0.682,61.57,21.6,0.15,72.18,0.27
1013,32.6,26446,4.4,20.3,29,23823,104.4,116.4,16691,21892,0.251,0.507,0.162,0.344,0.379,0.155,0.782,0.867,66.31,21.6,0.12,40.2,0.55
1015,14.5,190062,0.8,47.5,33,179874,133.3,98.3,42034,116034,0.259,0.486,0.222,0.388,0.342,0.122,0.713,0.789,102.89,21.6,0.17,18.65,1.03
1017,18.4,47580,3.5,37.6,52.2,43613,98.9,104,25639,36876,0.236,0.466,0.18,0.344,0.356,0.145,0.546,0.699,87.09,20.4,0.16,35.92,0.29
1019,9.5,40673,1.6,22,14,39388,62.7,192.4,3046,19543,0.245,0.498,0.23,0.398,0.342,0.122,0.696,0.783,84.09,19.2,0.21,6.53,0.45
1021,20.1,65579,1.3,29.9,19.3,62545,110.1,104.3,8561,32458,0.257,0.486,0.2,0.344,0.38,0.145,0.713,0.873,90.09,21.6,0.17,11.26,0.23
1023,38.7,17591,0,44.7,49,16524,126.5,93.6,13496,16018,0.233,0.496,0.17,0.344,0.382,0.169,0.548,0.652,68.6,23.1,0.13,44.18,0.51
1025,15.3,32651,6.2,23.5,29.1,30467,87.7,78.9,23926,27240,0.251,0.557,0.162,0.344,0.379,0.155,0.618,0.749,82.19,21.7,0.13,42.84,0.34
1027,7.9,23643,10.4,31.6,15.7,21877,58.2,141.2,4716,13252,0.272,0.486,0.2,0.339,0.342,0.133,0.606,0.783,80.39,21.6,0.17,16.34,0.23
