fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
5001,22.2,32721,3.2,43.8,25.2,30100,124.2,71.3,9080,21653,0.251,0.488,0.231,0.42,0.364,0.169,0.536,0.599,89.89,27.9,0.14,21.72,0.31
5003,18.4,34708,9,40.2,53.4,33224,120.6,72.4,13232,24319,0.215,0.543,0.231,0.42,0.356,0.178,0.436,0.602,89.59,21.7,0.14,27.26,1.17
5005,30.7,75162,0.6,49.7,29.4,69092,102.5,0,82,31186,0.313,0.591,0.242,0.45,0.325,0.168,0.453,0.597,99.49,19.9,0.15,0,0.68
5007,23.5,264399,3.4,26,26.4,254055,80.2,0,583,97499,0.313,0.644,0.229,0.39,0.339,0.135,0.378,0.681,112.44,19.2,0.2,0.08,1.36
5009,26.8,65623,2.3,36.6,39.2,60475,89.3,0,94,28297,0.313,0.591,0.231,0.409,0.339,0.17,0.453,0.586,100.23,19.4,0.15,0.00707,0.62
5011,17.4,15843,3.1,38.6,37.6,14626,123.1,40.7,7204,11793,0.251,0.543,0.231,0.42,0.421,0.153,0.436,0.602,79.59,19.2,0.16,31,1.02
5013,35.9,8285,0,16.5,64,8085,84,179.3,2799,5826,0.251,0.554,0.231,0.42,0.326,0.153,0.443,0.572,86.24,19.2,0.1,24.8,0.08
5015,26.3,45809,3.6,45.3,33.7,42915,94.4,0,117,18654,0.313,0.591,0.243,0.409,0.325,0.165,0.479,0.572,94.2,21.8,0.21,0.07,0.87
5017,26.4,12376,0,47.5,56.6,12083,134.6,54.8,16355,15713,0.215,0.478,0.203,0.35,0.371,0.153,0.436,0.599,62.35,24.1,0.07,56.49,1.41
5019,16.4,33572,0,47.4,34.4,31166,81.6,113.5,10072,21437,0.251,0.523,0.231,0.42,0.32,0.16,0.514,0.66,91.77,21.3,0.19,22.96,0.65
5021,19.1,35885,2.6,55.1,22,33054,107.4,0,52,18107,0.282,0.537,0.264,0.41,0.37,0.16,0.481,0.587,69.74,24.6,0.18,0.04,0.35
5023,22.3,46618,1.3,31.5,29.8,43982,85.4,0,59,19411,0.251,0.577,0.231,0.435,0.314,0.168,0.475,0.586,90.41,19.2,0.19,0.00515,0.45
5025,12.7,14412,0,45.1,50.3,13940,113.8,88.6,2388,7781,0.251,0.558,0.231,0.42,0.421,0.153,0.436,0.572,85.71,21.3,0.19,13.68,0.96
5027,20,32439,1.1,44.2,35.5,29454,127.6,68.5,17380,25691,0.298,0.566,0.233,0.424,0.369,0.161,0.436,0.572,88.24,21.8,0.1,35.1,0.19
