fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
4001,20.7,29725,0,47.1,15.6,30487,75.7,0,294,61591,0.247,0.488,0.221,0.38,0.268,0.186,0.501,0.66,8.35,18.9,0.2,0.18,3.9
4003,33.7,200009,2.6,38.5,32.4,204717,82.6,77.6,13926,97624,0.194,0.474,0.179,0.358,0.297,0.204,0.486,0.661,104.18,17.6,0.17,5.19,28.44
4005,33.8,150672,1.3,42.1,32,153661,36,101.7,4300,96591,0.248,0.454,0.201,0.38,0.278,0.142,0.514,0.662,99.82,18.9,0.26,1.29,10.11
4007,30.4,84690,3.5,42.7,32.8,82109,81.5,0,268,40216,0.248,0.488,0.201,0.38,0.268,0.158,0.514,0.66,95.09,18.9,0.22,0.23,18.44
4009,38.5,51072,2.7,25.8,40.7,53073,61,0,1807,26554,0.248,0.454,0.194,0.38,0.266,0.176,0.514,0.7,84.57,18.9,0.18,1.73,24.55
4011,39.1,17523,0,33.8,26.1,18199,51.2,0,88,8008,0.248,0.454,0.201,0.38,0.262,0.142,0.486,0.694,100.03,18.8,0.25,0.33,42.76
4012,49.2,22779,1.6,49.6,19.4,24996,58.7,0,357,13844,0.248,0.474,0.153,0.38,0.315,0.152,0.517,0.654,82.11,18.6,0.2,0.27,24.67
4013,26.2,5069164,2,39.9,27.5,4951890,68.5,69.8,228028,2122101,0.248,0.454,0.201,0.38,0.262,0.142,0.514,0.7,124.62,18.9,0.26,3.5,16.02
4015,26.5,248561,2.8,62.9,30.1,250229,98.1,0,1080,93497,0.215,0.474,0.171,0.358,0.278,0.195,0.517,0.654,111.39,18.6,0.17,0.14,4.95
4017,29.5,87188,5.5,43.4,44.8,89396,78.9,49.9,2417,77658,0.248,0.454,0.201,0.38,0.262,0.142,0.514,0.66,56.01,18.9,0.21,1.04,7.13
4019,24.7,1450580,2.6,38.1,27.9,1385143,66.4,53.9,62168,666880,0.207,0.474,0.179,0.358,0.297,0.204,0.517,0.694,116.12,18.1,0.17,3.12,24.15
4021,27,242644,2,39.8,34,254438,77.2,47.1,11675,116379,0.228,0.454,0.194,0.38,0.262,0.142,0.514,0.69,89.86,18.9,0.17,3.12,29.35
4023,23.7,77977,1.3,16.3,48.5,70579,60,0,445,29676,0.194,0.474,0.159,0.358,0.297,0.269,0.486,0.661,91.24,17.6,0.08,0.22,77.14
4025,30.6,290044,3.8,43.2,30.9,280214,57.3,258.5,1117,107714,0.247,0.474,0.201,0.38,0.266,0.142,0.514,0.654,113.01,18.9,0.26,0.22,6.36
4027,24.7,239072,4.9,38.3,20.8,245830,61.5,27,9861,106895,0.207,0.474,0.146,0.358,0.315,0.204,0.517,0.654,97.53,18.1,0.17,2.76,41.77
