fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
6001,28.8,1690258,1.6,46.7,32.6,1689914,61.4,60.1,505509,1279182,0.221,0.538,0.174,0.42,0.33,0.147,0.624,0.713,143.06,20.8,0.14,17.92,13.76
6003,32.3,1630,0,84.8,0,1918,223,0,28,1113,0.202,0.495,0.163,0.435,0.339,0.155,0.578,0.68,109.78,20.4,0.17,0,4.85
6005,23,57209,1.4,62,24.7,66867,77.2,0,7358,30039,0.207,0.499,0.169,0.42,0.322,0.147,0.624,0.713,127.55,19.3,0.15,5.62,6.92
6007,27.6,362533,1.6,55.9,37.9,355064,85.4,74.7,6071,182120,0.209,0.533,0.16,0.499,0.339,0.138,0.6,0.675,115.36,19.1,0.13,1.15,7.39
6009,21.6,75377,3.7,61.5,34.5,75915,77.3,0,722,31998,0.163,0.47,0.147,0.409,0.339,0.126,0.492,0.669,122.65,19.1,0.17,0.45,5.37
6011,21,33551,3.4,49.6,38.7,35953,93.3,0,351,16275,0.183,0.498,0.155,0.416,0.328,0.126,0.624,0.689,99.17,20,0.15,0.62,32.36
6013,29.5,1412413,1.8,43.5,31.7,1381133,64,65.5,165804,803732,0.205,0.498,0.169,0.42,0.32,0.126,0.624,0.713,151.32,20.5,0.15,9.24,11.23
6015,22.3,42930,2.4,57.5,33.3,52372,118.7,0,5867,23460,0.213,0.583,0.218,0.492,0.396,0.161,0.433,0.626,105.42,20.4,0.15,3.62,10.33
6017,26.8,296082,1.6,45.9,27.1,301938,73.9,0,2072,125995,0.205,0.499,0.169,0.435,0.33,0.147,0.624,0.713,136.28,20.5,0.14,0.33,6.6
6019,23.1,1244492,3.4,43.5,27.1,1250525,64.9,54.6,76903,667490,0.163,0.446,0.147,0.343,0.397,0.218,0.457,0.667,106.52,16.2,0.22,4.92,34.73
6021,47.6,48164,0,50.9,34.5,48838,75.5,0,381,24798,0.206,0.538,0.155,0.401,0.339,0.126,0.578,0.698,100,20,0.15,0.79,19.87
6023,35.8,220764,2.8,51.4,29.6,222741,73,193.8,2531,119118,0.205,0.563,0.169,0.465,0.304,0.163,0.535,0.698,113.76,20.5,0.15,0.71,3.97
6025,25.1,259517,4.3,40.4,31.1,271809,61.6,0,9910,109303,0.207,0.474,0.146,0.358,0.315,0.204,0.517,0.654,87.5,18.6,0.17,2.59,65.29
6027,29.2,32321,3.2,43.9,29,31736,88.9,0,259,18281,0.207,0.474,0.146,0.384,0.315,0.195,0.517,0.654,118.87,18.6,0.16,0.25,8.17
6029,29.9,1070636,3.4,49.2,34.1,1122617,79.2,71.2,92621,543477,0.207,0.474,0.171,0.358,0.315,0.204,0.517,0.654,109.23,18.6,0.14,5.46,27.7
6031,20.9,184927,2.1,42.3,20,212165,70.2,36.8,28792,101469,0.207,0.474,0.143,0.358,0.315,0.15,0.517,0.654,102.16,19.4,0.14,8.25,33.4
6033,27.5,103926,7.2,68.5,24,102787,87.4,237.9,2384,50631,0.205,0.563,0.174,0.465,0.33,0.126,0.532,0.698,110.98,20.5,0.15,1.6,7.21
6035,31.1,45885,4.6,49.8,34.5,67931,70.9,0,11822,27598,0.275,0.559,0.224,0.499,0.32,0.154,0.578,0.675,109.38,20.4,0.14,6.14,10.45
6037,26.8,13723421,3.4,35,25.2,13776319,54.2,55.7,1963814,8863164,0.207,0.474,0.143,0.358,0.315,0.256,0.517,0.654,130.66,18.6,0.14,11.17,37.3
6039,18.8,197972,3.7,41.8,29.9,221476,57.5,21.5,8680,88090,0.163,0.463,0.171,0.429,0.397,0.171,0.457,0.667,103.35,16.6,0.22,2.84,34.22
6041,31.6,430762,0.9,42.9,31.9,417125,51,45.3,24607,230096,0.183,0.538,0.155,0.401,0.259,0.147,0.535,0.689,171.6,20,0.15,3.47,7.38
6043,33.9,28799,5.7,40.3,28.5,29730,75.9,0,449,14302,0.192,0.499,0.179,0.386,0.34,0.126,0.505,0.667,115.31,18.1,0.22,1.04,4.77
6045,29.2,154935,2.5,61.8,31.6,157332,80.4,0,1456,80345,0.205,0.563,0.174,0.465,0.307,0.163,0.535,0.698,116.25,20,0.15,0.69,9.82
6047,30.5,322793,2.9,46.5,34.1,331269,81.2,58.8,19332,178403,0.181,0.472,0.155,0.391,0.33,0.141,0.492,0.667,102.26,20,0.15,4.92,32.02
6049,36.9,17315,7.9,52.6,37.7,18323,73.2,0,245,9678,0.239,0.559,0.188,0.496,0.314,0.147,0.532,0.675,100.39,20.4,0.17,0.95,5.5
6051,18.1,17695,7.7,64,0,21644,59.6,0,155,9956,0.181,0.499,0.16,0.435,0.339,0.218,0.457,0.667,128.66,19.1,0.16,0.17,11.33
6053,23.6,581146,3.1,44,34,609758,54.7,81.5,55366,355660,0.183,0.498,0.157,0.391,0.307,0.166,0.505,0.689,128.61,20,0.17,6.37,32.73
6055,22.7,224421,1.1,40.7,37.6,220137,84.4,69.2,3338,110765,0.183,0.498,0.155,0.401,0.31,0.126,0.624,0.713,140.09,20.5,0.15,0.96,14.16
6057,32.4,177574,1.9,46.6,24.4,174945,64.3,0,643,78510,0.181,0.536,0.169,0.469,0.32,0.125,0.732,0.764,136.75,19.1,0.13,0.29,4.43
6059,26.8,4511487,2.7,40.4,26.9,4566393,60.5,56.6,103562,2410556,0.207,0.474,0.146,0.358,0.315,0.204,0.517,0.654,152.67,18.6,0.17,1.72,23.1
6061,28.7,428613,1.8,54.1,37,428785,72.3,0,3464,172796,0.19,0.471,0.169,0.468,0.346,0.125,0.49,0.529,140.15,20,0.18,0.49,7.69
6063,30.8,38451,2.1,69.6,42.1,39243,90.1,74.07001355,353,19739,0.209,0.499,0.172,0.499,0.33,0.155,0.578,0.675,114.97,20,0.13,0.96,4.5
6065,29.3,2566188,3.7,42,28.3,2605613,65,67.5,177041,1170413,0.215,0.474,0.181,0.38,0.315,0.195,0.514,0.654,126.63,18.9,0.14,5.41,25.82
6067,30.3,1795197,2.4,50,27.6,1736051,72.9,75.4,235386,1041219,0.181,0.499,0.16,0.435,0.339,0.119,0.74,0.764,131.42,19.1,0.13,9.31,11.38
6069,34.6,89557,1.4,30.6,47.6,91980,63.6,0,673,36697,0.183,0.498,0.169,0.42,0.296,0.126,0.624,0.654,125.01,20.5,0.17,0.5,45.34
6071,28.4,2753027,3.9,42.9,29.8,2781409,70.8,58.2,271933,1418380,0.207,0.474,0.179,0.358,0.315,0.179,0.517,0.654,125.19,18.6,0.2,8.12,26.34
6073,28.6,4449269,2.5,39.2,30.3,4569198,60.9,46.4,377422,2498016,0.207,0.474,0.146,0.358,0.315,0.204,0.517,0.654,137.88,18.6,0.17,6.3,19.95
6075,29.8,766287,2,33.3,23.7,805115,58.6,57.7,156112,723959,0.185,0.538,0.155,0.391,0.259,0.147,0.532,0.689,142.39,20,0.15,10.9,13.34
6077,30.6,832726,1.9,48.8,36.8,856912,75.9,70.7,66100,480628,0.206,0.497,0.172,0.416,0.33,0.126,0.624,0.698,115.81,20,0.15,5.59,22.67
6079,29.1,420140,3.3,36.4,24,438001,60.8,0,20850,217162,0.183,0.474,0.157,0.391,0.296,0.202,0.505,0.654,137.41,18.6,0.16,2.6,12.37
6081,27.5,1025772,1.9,38.8,29.1,1005649,55.4,52.1,76362,649623,0.183,0.488,0.155,0.391,0.259,0.126,0.505,0.689,161.13,20,0.15,5.32,17.4
6083,23.1,692221,3.3,37.8,29.1,700208,53.7,0,27102,369608,0.194,0.474,0.146,0.391,0.279,0.186,0.517,0.654,141.65,18.6,0.17,2.74,26.26
6085,27.6,2385746,1.8,34.2,27.5,2427065,53.2,23.1,128016,1497577,0.152,0.434,0.139,0.386,0.307,0.126,0.505,0.669,156.73,18.1,0.15,3.69,20.5
6087,30.8,445248,5.2,35.6,30.4,446096,47.4,28.5,7300,229734,0.185,0.488,0.157,0.391,0.287,0.166,0.532,0.689,145.71,20,0.16,0.99,19.94
6089,33.4,310025,4.4,51.6,34.6,302979,83.3,38.7,2961,147036,0.209,0.529,0.164,0.499,0.339,0.158,0.539,0.675,116.95,19.7,0.14,0.76,3.67
6091,0,6469,0,89.5,47.4,6570,36.3,0,23,3318,0.205,0.565,0.163,0.435,0.339,0.125,0.732,0.699,111.57,19.1,0.13,0,5.87
6093,26.2,82056,2.4,62.8,36.8,81315,74.5,63.7,1555,43531,0.237,0.583,0.188,0.472,0.339,0.158,0.491,0.685,107.34,19.7,0.25,1.38,5.49
6095,29.6,495749,1.7,55.8,35.8,528557,87.4,65,110418,340421,0.205,0.498,0.168,0.42,0.322,0.126,0.581,0.699,136.29,20.5,0.15,13.53,12.89
6097,29.1,811397,2.7,46.9,31.5,793515,66.4,32.8,14845,388222,0.185,0.514,0.155,0.401,0.304,0.147,0.535,0.698,142.72,20.5,0.15,1.43,10.18
6099,28.4,772698,2.5,45.9,33,755658,80.4,111.6,16369,370522,0.181,0.499,0.168,0.409,0.339,0.134,0.492,0.68,114.96,19.4,0.17,1.62,21.6
6101,22.9,129399,3,49.7,26.9,128008,65.6,0,3047,64415,0.185,0.538,0.168,0.416,0.32,0.147,0.578,0.713,111.91,20.5,0.13,1.53,15.48
6103,24,103898,4.4,58.9,38.3,103124,90.4,0,950,49625,0.209,0.538,0.168,0.468,0.339,0.146,0.624,0.699,103.97,20.5,0.15,0.7,10.12
6105,44.5,23802,7.9,66.3,20.2,25322,89.5,0,199,13063,0.183,0.583,0.218,0.492,0.339,0.126,0.578,0.699,101.49,20.5,0.15,0.45,3.52
6107,23.7,637840,6.4,32.7,31.2,640577,71.5,22.1,11999,311921,0.207,0.474,0.179,0.386,0.315,0.2,0.517,0.654,96.46,18.6,0.14,1.45,38.22
6109,34.6,94351,2.5,48.3,38.7,102120,87.8,0,6846,48456,0.207,0.499,0.169,0.435,0.33,0.126,0.505,0.669,124.31,19.1,0.15,3.11,7.95
6111,27.7,1295844,2.7,38.5,25.4,1322023,62.3,60.5,37237,669016,0.197,0.474,0.143,0.381,0.307,0.189,0.517,0.654,149.25,18.6,0.17,2.35,26.21
6113,35.8,261334,0.7,54.1,26.2,259810,68.5,22.4,7731,141092,0.183,0.499,0.169,0.409,0.302,0.141,0.74,0.689,126.93,20,0.13,2.2,19.81
6115,24.2,97822,0,75.4,28.9,98829,104.3,32.1,5769,58228,0.209,0.529,0.169,0.437,0.32,0.126,0.624,0.675,101.26,20.5,0.13,4.08,11.21
