fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
8001,26.9,595001,3.9,38.8,27.5,582955,69.2,63.1,23285,265038,0.294,0.603,0.236,0.49,0.329,0.145,0.595,0.676,120.65,22.1,0.19,3.23,18.28
8003,28,28591,4,18.5,55.8,27540,46.8,489.5,205,13617,0.247,0.531,0.213,0.46,0.314,0.118,0.547,0.759,98.52,19.2,0.19,0.35,37.86
8005,24,859166,1.8,30.3,26.4,815265,50.3,47,57276,391511,0.233,0.517,0.218,0.503,0.275,0.093,0.555,0.723,139.78,19.4,0.27,5.84,5.54
8007,44.9,16650,0,20.2,47.1,17435,42.7,0,61,5345,0.247,0.523,0.213,0.423,0.328,0.186,0.547,0.654,109.79,20,0.19,0.05,23.31
8009,37.8,8694,6.1,24.5,62.9,8460,72.6,74.07001355,0,4556,0.185,0.531,0.236,0.374,0.355,0.147,0.596,0.626,94.78,21.4,0.1,0.04,5.13
8011,48.2,10046,0,25.7,35.7,11443,95.2,0,562,5048,0.27,0.465,0.238,0.467,0.348,0.118,0.633,0.522,91.81,19.2,0.12,0.49,27.17
8013,20.2,505003,0.8,33.4,27.2,503934,47.9,0,5897,225339,0.171,0.462,0.178,0.498,0.212,0.143,0.514,0.701,138.84,17.9,0.2,0.68,6.69
8015,18.8,27922,0,23.9,25.2,31018,51,0,852,12684,0.27,0.574,0.178,0.472,0.259,0.143,0.532,0.68,106.98,17.9,0.22,1.34,9.94
8017,10.2,4433,35.9,0,31.4,4669,51.5,74.07001355,0,2397,0.233,0.517,0.218,0.472,0.275,0.093,0.555,0.723,108.76,20.1,0.23,0,4
8019,0,16826,0,53.1,16.8,18448,36.1,0,56,7619,0.29,0.531,0.236,0.467,0.259,0.164,0.544,0.676,131.07,19.9,0.23,0.53,2.97
8021,21.3,15705,0,27.2,44,15717,35.1,0,35,7453,0.247,0.528,0.213,0.459,0.268,0.186,0.501,0.685,71.32,20,0.2,0.34,60.28
8023,14,7087,0,23.9,40.2,6955,56,0,38,3190,0.236,0.517,0.238,0.467,0.255,0.125,0.596,0.759,65.02,19.2,0.2,0.56,77.39
8025,11.9,6428,0,7.3,38.5,9357,78.5,0,1017,3946,0.254,0.517,0.238,0.467,0.304,0.117,0.558,0.682,88.35,19.2,0.12,5.85,23.74
8027,15,6522,0,0,0,6640,9.7,74.07001355,0,1926,0.233,0.517,0.238,0.467,0.266,0.118,0.532,0.702,100.93,17.1,0.23,0,1.81
8029,23.9,51900,2.5,31.2,32.6,51686,56.1,0,440,20980,0.275,0.551,0.169,0.41,0.281,0.175,0.529,0.654,99.85,18.4,0.22,0.2,8.65
8031,26.4,825975,2.4,32.1,31.3,785878,63.1,62,140563,467610,0.29,0.574,0.252,0.467,0.259,0.198,0.544,0.682,117.78,19.9,0.25,12.89,22.78
8033,33,3344,0,45.2,30.8,3513,43.6,74.07001355,0,1504,0.246,0.524,0.167,0.413,0.281,0.178,0.577,0.654,95.43,18.4,0.2,0,1.32
8035,27.9,259080,0.6,38,33.8,266089,53.3,0,2137,60391,0.233,0.517,0.209,0.467,0.266,0.118,0.555,0.717,152.18,18.4,0.25,0.77,3.17
8037,20.8,61036,2.8,24.9,46.6,67847,43.4,0,192,21928,0.222,0.507,0.207,0.467,0.259,0.166,0.532,0.654,138.25,17.6,0.25,0.15,13.43
8039,63.6,35065,0,27.3,12.7,35596,27.5,0,272,9646,0.233,0.517,0.238,0.467,0.266,0.145,0.544,0.702,128.43,19.7,0.25,0.79,2.71
8041,23.4,855874,2.2,36.4,32.6,853267,59.8,26.9,78041,397014,0.27,0.531,0.238,0.467,0.255,0.118,0.633,0.759,126.62,19.2,0.22,7.11,8.42
8043,20.8,75701,2.9,36.1,28.3,88443,61.1,0,6173,32273,0.27,0.531,0.238,0.46,0.255,0.198,0.544,0.723,103.14,19.2,0.22,2.62,8.55
8045,20,74401,1.3,29.4,54,77377,45.9,0,337,29974,0.284,0.558,0.262,0.5,0.281,0.175,0.604,0.624,122.2,19.8,0.08,0.41,5.66
8047,14.9,7447,0,29.4,0,8478,42.8,0,87,3070,0.27,0.521,0.178,0.472,0.238,0.136,0.577,0.701,123.98,17.9,0.22,0.42,2.67
8049,22.8,18437,0,35.5,0,20985,14.3,0,85,7966,0.222,0.574,0.209,0.467,0.259,0.165,0.544,0.682,127.11,17.9,0.24,0.18,2.74
8051,19.9,22756,0,7,36.8,25688,57.7,0,222,10273,0.236,0.551,0.173,0.41,0.281,0.165,0.529,0.654,119.66,18.4,0.21,0.85,2.86
8053,86.2,1330,0,111.3,0,1501,0,74.07001355,0,467,0.247,0.528,0.203,0.419,0.314,0.178,0.577,0.654,114.69,19.8,0.22,0,0.64
8055,12.3,13427,8.2,9.5,54.3,12831,61.5,0,115,6009,0.222,0.507,0.25,0.46,0.266,0.198,0.544,0.671,76.45,19.9,0.25,0.16,41.48
8057,62.9,2765,33.4,0,0,3219,82.7,74.07001355,0,1605,0.243,0.528,0.207,0.434,0.293,0.159,0.555,0.68,101.53,19.4,0.14,0,3.55
8059,22.7,977302,1.9,31,27.4,944622,48.1,135,9664,438430,0.222,0.507,0.209,0.472,0.266,0.096,0.532,0.702,138.88,17.1,0.25,0.62,6.75
8061,13.6,3310,0,108.5,24.8,3227,31.5,74.07001355,0,1688,0.233,0.517,0.218,0.433,0.275,0.109,0.596,0.652,101.43,19.2,0,0,3.25
8063,7.8,14563,0,48.3,34.7,14296,48.1,0,23,7140,0.233,0.517,0.236,0.49,0.329,0.093,0.51,0.522,104.04,24.3,0.19,0.5,7.14
8065,22.8,12113,0,48.2,38.2,12865,108.2,0,59,6007,0.196,0.531,0.218,0.498,0.255,0.143,0.577,0.743,109.76,19.2,0.22,0,24.15
8067,17.7,74726,1.1,38.4,53,76316,62.3,0,296,32284,0.246,0.552,0.201,0.413,0.328,0.178,0.501,0.654,119.12,20.4,0.19,0.14,11.12
8069,24.8,447007,1.4,29.5,31.1,437250,51.4,0,3504,186136,0.196,0.477,0.207,0.417,0.238,0.136,0.629,0.743,128.89,17.6,0.23,0.56,6.43
8071,11.4,29142,2.9,21.7,12,27814,37.8,0,105,13765,0.27,0.531,0.238,0.46,0.255,0.147,0.514,0.699,85.52,19.2,0.17,0.28,43.29
8073,8.4,9703,20.6,32.6,32.2,11764,24.2,0,744,4529,0.259,0.574,0.245,0.472,0.277,0.118,0.544,0.702,101.34,19.2,0.22,0.11,1.67
8075,28.2,36724,0,31.4,37,34674,42,0,49,17567,0.233,0.538,0.218,0.49,0.315,0.093,0.555,0.702,107.44,19.7,0.24,0.07,7.85
8077,29,224861,1.5,37.8,26.4,212550,73,0,1223,93145,0.275,0.549,0.167,0.41,0.282,0.182,0.529,0.654,112.5,18.4,0.25,0.39,7.75
8079,0,1344,0,50.2,0,1394,57.7,74.07001355,0,558,0.246,0.528,0.219,0.458,0.268,0.178,0.529,0.654,104.43,18.4,0.23,0,0.89
8081,13,24129,8.1,17.3,56.9,24912,39.5,0,44,11357,0.236,0.532,0.218,0.417,0.321,0.175,0.529,0.654,110.7,19.4,0.15,0.06,6.09
8083,13.6,40587,7.2,35.5,33.7,38680,70.2,0,55,18672,0.247,0.524,0.184,0.38,0.268,0.186,0.501,0.654,101.54,18.4,0.2,0.03,8.92
8085,29.8,61087,0,24.9,31.2,58859,72.5,0,273,24423,0.246,0.551,0.207,0.465,0.282,0.178,0.604,0.624,108.09,19.8,0.15,0.14,11.08
8087,21.6,49936,1.6,13.6,23.5,48201,31.7,0,266,21939,0.27,0.574,0.218,0.472,0.259,0.169,0.544,0.682,100.53,19.9,0.25,0.21,17.95
8089,27,41489,0,15.3,20,38932,46.3,0,368,20185,0.254,0.53,0.238,0.433,0.255,0.118,0.596,0.759,91.84,19.2,0.18,0.48,35.18
8091,15.5,6403,0,31.3,109.7,6606,44.9,74.07001355,0,2295,0.275,0.524,0.177,0.465,0.282,0.182,0.529,0.654,120.99,18.4,0.23,0,5.18
8093,23.7,24709,0,58.5,14.3,26392,19.9,0,161,7174,0.27,0.531,0.209,0.49,0.266,0.143,0.555,0.68,124.59,18.4,0.25,0.45,2.87
8095,11.8,8967,11.7,8.1,40.9,8177,76.2,0,1,4189,0.233,0.517,0.203,0.423,0.338,0.12,0.555,0.682,105.76,20.2,0.23,0,3.29
8097,10.8,24838,0,6.6,43,27683,8.9,0,114,12661,0.222,0.532,0.173,0.472,0.266,0.12,0.529,0.654,172.65,17.9,0.23,0.53,4.54
8099,22.2,27596,0,43.3,23.4,26262,111.2,0,148,13347,0.254,0.53,0.245,0.374,0.283,0.129,0.596,0.522,95.48,16.4,0.17,0.28,22.89
8101,21.9,265579,2.1,28.4,25.7,248601,62.4,109.3,6463,123051,0.254,0.465,0.25,0.433,0.348,0.125,0.596,0.671,102.22,19.2,0.12,1.71,35.73
8103,25.9,12096,0,7.2,12.9,12599,33.4,0,25,5972,0.274,0.549,0.218,0.472,0.32,0.182,0.544,0.644,114.62,19.1,0.12,0,4.25
8105,19.7,22891,4.1,20.5,29.6,22162,48,0,41,10770,0.254,0.523,0.201,0.433,0.314,0.125,0.514,0.673,91.21,19.2,0.19,0.01,40.49
8107,58.4,32116,0,36.8,49.7,36888,59.9,0,27,14088,0.236,0.56,0.209,0.472,0.259,0.143,0.532,0.702,130.63,17.9,0.2,0.01,2.65
8109,38.5,11264,0,60,24.4,11781,50.6,0,53,4619,0.27,0.507,0.209,0.433,0.266,0.12,0.577,0.759,77,18.4,0.22,0.08,46.09
8111,121.2,950,0,0,0,1195,83.6,0,4,745,0.246,0.549,0.203,0.413,0.282,0.178,0.577,0.654,107.12,18.4,0.19,0.26,12.34
8113,7.6,9878,0,30.8,0,11377,32.3,0,24,3653,0.246,0.533,0.167,0.41,0.282,0.178,0.577,0.654,129.6,18.4,0.12,0.08,3.17
8115,37.8,5193,0,15.2,26.7,4957,57.8,0,35,2690,0.233,0.538,0.212,0.434,0.338,0.113,0.492,0.651,95.18,24.3,0.15,0.18,9.33
8117,20.1,33381,0,2.7,25.5,39829,24.1,0,137,12881,0.233,0.517,0.218,0.472,0.266,0.147,0.544,0.68,138.93,17.6,0.25,0.32,2.44
8119,35.1,38425,0,25.1,2.4,40429,43.9,0,110,12468,0.233,0.531,0.218,0.49,0.259,0.198,0.532,0.718,129.77,19.4,0.25,0.05,2.68
8121,0,9034,0,21.8,46.6,9010,38.6,74.07001355,0,4812,0.27,0.531,0.236,0.467,0.293,0.118,0.555,0.702,100.81,19.7,0.22,0.04,1.57
8123,24.6,311050,3.2,27.7,26.8,305764,62.5,0,1933,131821,0.222,0.517,0.209,0.472,0.266,0.159,0.544,0.702,111.06,19.2,0.24,0.39,20.82
8125,32,18921,0,10.2,25,18358,52.6,0,5,8954,0.229,0.538,0.203,0.434,0.329,0.12,0.544,0.522,107.1,24.3,0.19,0,2.26
