fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
12001,28.3,291166,2.5,52.3,41.4,286264,95.5,93.7,80465,181596,0.158,0.392,0.215,0.453,0.31,0.139,0.485,0.676,118.35,22.5,0.17,19.01,3.67
12003,33.4,33563,11.2,53.2,29.5,34769,159.5,28.7,8237,18486,0.284,0.565,0.198,0.412,0.326,0.151,0.571,0.691,96.44,24.1,0.21,14.63,0.91
12005,26.3,246169,4.5,52.6,27.3,244601,121.1,48.2,34814,126994,0.469,0.647,0.293,0.524,0.36,0.25,0.367,0.548,111.69,23.2,0.15,10.52,1.89
12007,21.7,34991,6,36.2,46.3,39473,151.3,53.4,14836,22515,0.234,0.57,0.218,0.461,0.326,0.165,0.571,0.676,101.41,22.5,0.2,20.37,1.37
12009,26.3,824350,2.2,55.2,28.1,806435,90.3,105.5,82415,398978,0.219,0.535,0.259,0.543,0.287,0.177,0.584,0.724,126.79,21.4,0.24,7.84,3.07
12011,26.8,2446208,2.8,44.8,25.5,2293365,69.6,100,513969,1255488,0.215,0.525,0.212,0.448,0.348,0.177,0.531,0.619,128.69,20.3,0.17,15.4,8.41
12013,15.6,19580,0,62.6,17.8,20336,125.6,234.9,5667,11011,0.341,0.647,0.232,0.46,0.36,0.25,0.512,0.548,85.57,23.2,0.15,15.11,1.93
12015,20.4,260787,1.8,43.5,22,240913,81.9,179.3,12517,110975,0.242,0.612,0.209,0.548,0.32,0.162,0.53,0.668,123.1,19.1,0.24,3.75,2.15
12017,25.2,223915,2.4,48.5,29.6,208615,90.9,26.9,6021,93515,0.252,0.591,0.24,0.517,0.345,0.149,0.477,0.668,109.45,21.2,0.28,2.16,1.56
12019,26.9,247827,2.3,61.1,34.9,243330,89.3,96.7,16155,105986,0.284,0.57,0.218,0.461,0.326,0.151,0.571,0.716,129.46,22.5,0.2,5.14,2.84
12021,22.6,377801,1.8,40.6,25.2,373026,60.8,0,22656,152099,0.242,0.629897,0.176,0.524,0.325,0.2,0.531,0.698,130.11,19.1,0.24,4.57,13.24
