fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
13001,28.5,25284,4,16.2,80.8,24142,102,87.5,7564,15744,0.261,0.486,0.198,0.353,0.311,0.119,0.632,0.619,85.17,20.9,0.21,20.76,0.33
13003,11.7,9859,0,68.1,13.3,9754,119,136,4215,6213,0.242,0.427,0.175,0.356,0.326,0.166,0.5,0.684,68.12,18.3,0.21,26.86,1.67
13005,35.7,17525,10.9,22.7,49.5,16164,108,0,3440,9566,0.242,0.487,0.193,0.356,0.356,0.123,0.546,0.619,82.36,20.9,0.21,15.41,0.95
13007,0,3381,0,35.3,26.7,3001,179.2,0,3736,3615,0.234,0.455,0.26,0.429,0.407,0.158,0.546,0.646,71.82,20.4,0.2,51.67,0.3
13009,27.6,42923,0,41,31.8,45303,103.1,71.6,39825,39530,0.249,0.444,0.194,0.324,0.377,0.119,0.546,0.716,102.9,20.3,0.21,42.39,0.8
13011,33.4,23572,0,27.9,33.5,24043,153.9,0,1117,10308,0.234,0.428,0.139,0.297,0.339,0.117,0.501,0.734,92.54,20,0.22,3.49,1.09
13013,15.2,67782,1.4,41.5,14.9,66315,117.7,44.6,10466,29721,0.234,0.428,0.173,0.34,0.327,0.117,0.503,0.778,101.36,20,0.24,11.44,0.97
13015,24.7,125113,4.8,47.1,40.2,124123,103.4,51.7,14531,55911,0.238,0.498,0.23,0.398,0.283,0.121,0.511,0.762,103.44,20.3,0.21,9.2,0.6
13017,23,23429,4.5,40.4,26,21019,156,100.7,10802,16245,0.234,0.427,0.232,0.386,0.377,0.119,0.546,0.567,83.37,20.4,0.21,31.32,0.64
13019,26.1,27968,3.1,44.7,35.5,27107,115.8,114.9,4269,14153,0.288,0.427,0.232,0.386,0.362,0.166,0.484,0.477,84.89,20.4,0.07,11.61,1.61
13021,22.4,171682,2.3,38.8,35.7,155870,102.1,99,129993,149967,0.249,0.412,0.194,0.324,0.397,0.108,0.768,0.749,107.08,22.1,0.2,41.68,0.36
13023,24.8,16519,0,26.6,48.2,15865,167.2,68.1,5215,10430,0.249,0.412,0.194,0.356,0.393,0.108,0.546,0.716,92.18,20.4,0.19,22.35,0.32
13025,16.7,24896,0,51.5,4.6,25000,131,0,1688,11077,0.242,0.419,0.198,0.412,0.298,0.151,0.583,0.649,90.74,20.9,0.21,4.57,0.29
13027,17.4,17457,2.5,53.2,37.6,16526,85.5,118.6,13299,15398,0.234,0.466,0.194,0.429,0.362,0.166,0.381,0.593,77.53,20.4,0.09,41.47,1.24
13029,30.4,37957,2.9,60.9,50.4,37819,129.9,81.1,7775,15438,0.218,0.447,0.21,0.403,0.298,0.139,0.632,0.739,106.07,20.9,0.23,14.85,0.91
13031,31.4,69377,2.9,34.1,34.5,68061,69,89.6,28672,43125,0.261,0.444,0.208,0.368,0.328,0.143,0.534,0.778,100.39,21.1,0.14,25.95,0.49
13033,26.6,19451,6,58.2,33.9,19085,90.7,95.9,23564,20579,0.249,0.444,0.175,0.315,0.344,0.145,0.513,0.709,73.7,21.1,0.14,52.19,0.5
13035,27.9,20219,5.7,58.5,20.4,21673,85.9,27.7,14556,15326,0.234,0.428,0.193,0.324,0.283,0.108,0.606,0.778,94.2,20.4,0.24,35.47,0.45
13037,7.6,3858,0,28.8,27.9,3407,69.6,91.5,5747,5013,0.269,0.597,0.193,0.344,0.377,0.143,0.546,0.619,64.01,20.5,0.09,58.88,0.03
13039,21.5,61222,1.1,76.9,44.9,73926,38.9,98,20683,30167,0.284,0.559,0.198,0.412,0.298,0.139,0.583,0.767,115.96,20.9,0.18,20.19,2.63
13043,7.7,11881,0,46.8,23.8,11040,106.4,38.8,5870,7744,0.249,0.447,0.175,0.313,0.338,0.145,0.546,0.619,82.77,21.1,0.14,30.94,1.7
13045,25,134768,5.2,50,23.9,129769,104.8,144.9,28497,71422,0.207,0.486,0.181,0.367,0.283,0.121,0.606,0.783,101.11,20.9,0.16,15.45,0.58
13047,24.5,101117,1,48.4,32.7,95324,113.3,102.1,1068,42464,0.269,0.505,0.23,0.398,0.344,0.12,0.524,0.646,106.22,20.3,0.21,0.91,0.44
13049,22.8,12874,0,57,48.2,12392,133.3,116.5,5694,8496,0.239,0.478,0.198,0.412,0.326,0.151,0.571,0.767,80.33,20.9,0.18,27.04,0.74
13051,29.4,256043,2.2,47.7,39.9,245289,89.5,64.4,176450,216935,0.218,0.419,0.21,0.403,0.298,0.139,0.632,0.781,112.85,21.7,0.23,38.01,1.22
13053,27.3,13240,0,27.2,90,27953,367.9,51.9,12770,16934,0.207,0.415,0.18,0.344,0.342,0.137,0.546,0.619,120.32,20.4,0.15,30.94,10.13
13055,32.9,42108,18.8,53.6,31.5,39275,109.3,0,4563,22242,0.245,0.473,0.222,0.398,0.344,0.122,0.524,0.708,82.41,19.2,0.17,8.61,0.24
13057,26.8,250320,3.4,36,28.4,256750,91.1,62.3,5873,90204,0.2,0.394,0.23,0.367,0.283,0.121,0.606,0.734,127.98,20.9,0.23,1.77,1.23
