fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
19001,26.8,16693,1.8,36.3,56.7,15741,54.7,74.07001355,0,8409,0.256,0.544,0.242,0.466,0.388,0.08,0.552,0.656,102.76,21,0.22,0,0.23
19003,17.7,8899,0,33,28.5,8675,61.9,0,8,4866,0.249,0.531,0.227,0.45,0.378,0.127,0.552,0.672,98.29,23.5,0.22,0.04,0.22
19005,20.9,28275,0,8.9,35.8,27413,82.1,0,176,13855,0.183,0.513,0.195,0.395,0.373,0.105,0.535,0.649,101.23,23.5,0.18,0.06,0.12
19007,30.2,27844,11.3,41,31.7,25688,80.8,0,155,13743,0.236,0.525,0.208,0.349,0.378,0.101,0.494,0.615,92.32,25.3,0.16,0.54,0.24
19009,4.7,14077,0,15.2,24.9,13120,59.3,74.07001355,0,7334,0.222,0.511,0.195,0.429,0.378,0.08,0.532,0.606,101.3,23.5,0.22,0,0.14
19011,19.8,50838,0,42.2,27.1,49617,65.2,0,40,22429,0.226,0.476,0.232,0.425,0.343,0.086,0.461,0.666,108.77,23.5,0.24,0.04,0.2
19013,26.1,230392,3.2,45.5,38.4,211898,82,132,16989,123798,0.24,0.544,0.195,0.396,0.317,0.099,0.535,0.691,114.27,20.5,0.26,6.88,0.65
19015,23.5,53871,3.6,41,30.4,49878,79.7,0,140,25186,0.256,0.511,0.228,0.426,0.335,0.092,0.535,0.606,113.43,21,0.2,0.16,0.3
19017,37.1,47256,0,36,24.8,44988,54.6,0,187,22813,0.224,0.476,0.182,0.391,0.354,0.092,0.502,0.651,113.31,23.5,0.24,0.31,0.39
19019,43.5,42754,2.1,36.9,33.4,41555,74.3,0,95,20844,0.226,0.51,0.172,0.395,0.354,0.108,0.461,0.651,101.84,23.5,0.24,0.24,0.41
19021,22.2,39030,3.2,19,42.7,36991,41.1,0,166,19965,0.222,0.503,0.173,0.374,0.34,0.088,0.538,0.654,112.76,22.8,0.28,0.26,0.54
19023,20.6,31703,0,13.2,35.1,30746,78.5,0,13,15731,0.226,0.511,0.194,0.396,0.335,0.101,0.535,0.691,101.38,21,0.2,0.06,0.08
19025,12.7,23032,0,15.4,46.4,22044,83.1,0,345,11508,0.256,0.511,0.242,0.466,0.335,0.08,0.552,0.606,106.46,22.8,0.2,0.25,0.37
19027,35.5,44216,1.6,36.4,33.8,41569,78.5,0,48,21423,0.222,0.511,0.195,0.429,0.364,0.08,0.532,0.606,107.57,23.5,0.2,0.03,0.17
19029,22.8,30535,0,39,27.6,28004,66,0,21,15128,0.269,0.538,0.227,0.459,0.389,0.08,0.544,0.71,107.67,23.5,0.22,0.05,0.68
