fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
16001,22.4,534582,2.1,32.1,31.7,521340,70,0,3973,205775,0.224,0.505,0.197,0.414,0.282,0.122,0.527,0.705,128.63,21.8,0.2,0.56,2.53
16003,35.5,7215,0,36.1,39.6,7817,60.5,0,29,3254,0.224,0.505,0.197,0.414,0.282,0.161,0.527,0.705,97.78,21.8,0.2,0,1.07
16005,31.8,141003,2.4,32.1,38.7,139778,68.8,0,1719,66026,0.194,0.403,0.147,0.31,0.295,0.123,0.334,0.666,115.54,17.5,0.18,0.54,3.91
16007,17.9,13006,14.4,37.6,0,12823,79.9,0,47,6084,0.17,0.403,0.147,0.31,0.295,0.132,0.502,0.666,102.12,18.3,0.18,0,2.46
16009,17.7,16240,0,39.2,13.9,17018,92.8,0,25,7937,0.223,0.529,0.243,0.459,0.323,0.154,0.579,0.654,89.75,19.1,0.2,0,1.56
16011,21.4,76225,1.4,14.6,49.2,76818,40.4,0,335,37583,0.187,0.434,0.147,0.352,0.3,0.133,0.334,0.646,104.37,16.7,0.12,0.19,9.03
16013,20.7,32386,3.7,33.8,33.8,35147,62.2,0,76,13552,0.187,0.434,0.189,0.39,0.282,0.133,0.476,0.705,133.8,17.5,0.13,0.05,2.56
16015,59.3,9345,0,71.4,54.5,10576,87.5,0,31,3509,0.224,0.505,0.189,0.441,0.335,0.161,0.527,0.654,101.98,21.8,0.18,0,1.93
16017,27.9,68713,2.8,44.3,26.7,69099,58.7,74.07001355,336,26622,0.215,0.529,0.215,0.499,0.328,0.193,0.461,0.654,101.97,18.5,0.19,0.1,1.64
16019,29.5,155663,2,22.8,48.1,158361,48.2,0,1050,72207,0.17,0.434,0.189,0.374,0.326,0.132,0.304,0.646,122.68,17.5,0.15,0.48,4.13
