fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
17001,22.6,135119,3.9,37.9,37.6,124313,90.9,124.3,3937,66090,0.423,0.698,0.336,0.464,0.343,0.132,0.655,0.545,107.56,25.3,0.28,2.54,0.23
17003,26.9,12871,4.8,35.3,33.4,12480,82.8,31.9,7048,10626,0.249,0.523,0.221,0.432,0.373,0.136,0.515,0.585,70.67,26,0.18,32.97,0.26
17005,36.4,31446,0,15.9,33.1,31463,72.4,387.7,4240,14991,0.23,0.523,0.194,0.452,0.354,0.086,0.558,0.584,100.45,24.6,0.18,2.84,0.59
17007,20,75924,1.3,28.5,44.7,75363,79.6,0,495,30806,0.279,0.496,0.208,0.422,0.343,0.098,0.597,0.741,118.06,22,0.18,0.56,6.39
17009,26.5,10372,0,25.1,24.9,12367,100.8,0,4418,5836,0.278,0.524,0.259,0.432,0.333,0.112,0.558,0.619,96.34,25.3,0.18,9.37,2.09
17011,28.2,72777,3,32.5,30,67594,79.2,0,345,35688,0.287,0.581,0.209,0.422,0.35,0.11,0.58,0.688,110.55,22.9,0.18,0.08,2.78
17013,27,9791,0,40.8,8.3,9906,47.6,0,4,5322,0.278,0.563,0.235,0.452,0.328,0.086,0.592,0.692,85.83,23.5,0.2,0.01,0.18
17015,41.5,34104,2,49,43.5,32449,91.9,0,293,16805,0.275,0.55,0.222,0.468,0.35,0.081,0.58,0.684,106.99,22.6,0.18,1.08,2.17
17017,18.4,26861,1.4,47.4,30.3,25932,102.5,0,141,13437,0.287,0.53,0.262,0.424,0.328,0.11,0.592,0.652,102.52,25.2,0.2,0,0.39
17019,32.2,279215,2.5,40.3,35.3,280744,72.4,57.3,34267,173025,0.222,0.46,0.157,0.408,0.262,0.1,0.698,0.619,126.77,21.3,0.29,9.6,1.9
17021,19.4,72206,1.5,48.8,35.9,66793,94.8,0,3155,34418,0.285,0.549,0.262,0.419,0.274,0.112,0.608,0.619,107.07,22.8,0.18,0.13,0.27
17023,17.9,33627,2.3,28.6,32.5,31731,84.9,0,52,15921,0.222,0.46,0.167,0.408,0.382,0.1,0.558,0.619,99.36,24.8,0.18,0.03,0.08
17025,28,29975,0,45.2,37.7,27357,115.9,0,18,14460,0.268,0.523,0.216,0.419,0.375,0.121,0.54,0.619,87.74,24.6,0.18,0.04,0.42
17027,27.7,67328,2.8,33.7,17.4,68455,104.9,0,4364,33944,0.199,0.49,0.257,0.419,0.354,0.114,0.475,0.584,107.06,24.3,0.16,3.17,0.92
17029,30.5,104062,1.2,41.5,26.2,93900,82.5,0,2069,51644,0.257,0.647,0.231,0.408,0.382,0.106,0.465,0.594,111.13,23.5,0.25,1.94,0.85
17031,30.4,7238358,3,39.6,31.6,6900822,69.9,73.2,2559955,5105067,0.246,0.496,0.208,0.422,0.343,0.125,0.597,0.741,121.65,24.3,0.18,25.75,13.27
17033,38.9,40389,0,26.9,28.8,39865,108.7,0,3021,19464,0.257,0.544,0.193,0.41,0.375,0.106,0.558,0.594,102.39,24.8,0.21,0.4,0.25
17035,8.7,22274,9.8,33.4,37,22041,130.9,0,12,10670,0.281,0.647,0.257,0.419,0.382,0.106,0.54,0.585,98.94,24.8,0.18,0.01,0.1
17037,30.2,159130,3,40.6,25.8,156906,65.9,50.5,4467,77932,0.256,0.544,0.208,0.422,0.343,0.081,0.58,0.684,127.53,22.5,0.18,2.87,2.6
17039,32.4,33664,3.3,29.8,42.4,32772,104.5,0,114,16516,0.278,0.577,0.262,0.426,0.291,0.108,0.54,0.652,109.32,22.1,0.18,0.37,0.47
17041,35,40572,0,37.3,32.6,38361,91.9,0,94,19464,0.222,0.46,0.157,0.408,0.382,0.1,0.558,0.619,105.6,21.3,0.18,0.04,1.36
17043,31.2,1611406,2.4,38.7,35.9,1574051,72.9,136,36854,781666,0.246,0.496,0.208,0.422,0.343,0.081,0.597,0.684,151.32,22.5,0.18,1.96,4.19
17045,24.3,40625,5.6,40,38.1,37640,99.3,0,703,19595,0.222,0.543,0.202,0.408,0.37,0.1,0.521,0.585,97.67,24.8,0.18,0.95,0.14
17047,7.1,14406,14.2,32.8,11.3,13455,76.4,0,16,7440,0.268,0.535,0.225,0.419,0.375,0.114,0.465,0.644,95.32,24.8,0.16,0.04,0.83
17049,28.6,67700,1.7,31,34.4,65231,77.5,0,175,31704,0.278,0.46,0.193,0.408,0.382,0.1,0.475,0.619,110.07,24.5,0.16,0.04,0.29
