fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
18001,24.9,66369,3.2,16.9,17.2,64462,54.1,0,189,31095,0.273,0.527,0.233,0.438,0.346,0.099,0.539,0.599,104.44,24.5,0.11,0.00643,2.35
18003,32.1,560659,3.3,43.4,37.6,530652,85.8,70.2,66837,300836,0.272,0.533,0.233,0.438,0.346,0.099,0.54,0.718,123.16,25,0.11,10,1.88
18005,30.7,137274,4.9,42.2,23.7,129945,89.9,176.5,2651,63657,0.281,0.548,0.257,0.487,0.354,0.131,0.539,0.632,119.02,24,0.19,1.53,0.64
18007,22.6,19660,7.3,38.9,23.8,18881,115.9,0,25,9441,0.27,0.549,0.208,0.422,0.343,0.091,0.597,0.626,111.8,24.3,0.16,0.08,0.72
18009,27,28619,3.5,42.9,67.1,27077,49.1,0,28,14067,0.272,0.548,0.257,0.486,0.346,0.099,0.539,0.599,103.57,24.5,0.18,0.09,1
18011,34.7,89165,3.3,34.6,35,83479,102.3,0,286,38147,0.27,0.548,0.236,0.418,0.354,0.113,0.539,0.651,127.8,24,0.19,0.08,0.55
18013,40.9,31083,3.2,61.3,32.6,31309,77.7,0,101,14080,0.281,0.548,0.239,0.487,0.355,0.132,0.539,0.721,114.57,24,0.19,0.2,0.56
18015,28.1,40319,2.4,32.9,21.6,38976,91.4,0,68,18809,0.281,0.548,0.257,0.418,0.354,0.124,0.539,0.604,112.21,24,0.16,0.13,0.26
18017,20.3,79188,1.1,38.8,47.6,73284,106.7,0,915,38413,0.271,0.57,0.257,0.46,0.354,0.096,0.539,0.546,107.84,24.3,0.16,0.87,0.41
18019,29.1,181637,3.8,58.2,28.8,166958,119.3,99.9,10771,87777,0.281,0.551,0.266,0.486,0.349,0.097,0.605,0.689,111.81,24.2,0.23,5.31,0.65
18021,32.3,54741,8,40.2,31.1,50989,127,0,263,24705,0.259,0.547,0.193,0.41,0.355,0.131,0.498,0.585,104.52,24,0.16,0.42,0.38
18023,24.5,67443,2.8,45.5,25.6,63838,96.6,0,245,30974,0.281,0.548,0.236,0.418,0.354,0.113,0.539,0.642,109.35,24,0.19,0.19,1.54
18025,20.3,21114,3.3,43.2,22.3,20992,102,0,25,9914,0.286,0.551,0.216,0.44,0.375,0.097,0.605,0.689,74.51,24,0.23,0.23,0.17
