fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
20001,17.4,29091,7.6,42,49.9,27230,88.6,0,533,14638,0.286,0.502,0.242,0.436,0.277,0.112,0.483,0.612,98.56,21.8,0.24,1.83,1.15
20003,41.6,16289,6.1,30,20.5,15480,81.4,0,92,7803,0.31,0.539,0.242,0.451,0.328,0.15,0.506,0.601,97.75,21,0.26,0.3,0.85
20005,32.9,31695,1.8,60.6,32.9,30636,93.8,0,1953,16932,0.183,0.447,0.229,0.459,0.328,0.05,0.516,0.711,103.64,20,0.24,5.27,2.12
20007,20.7,11004,10.7,24.6,69,10275,107.2,0,20,5874,0.233,0.496,0.178,0.392,0.286,0.112,0.404,0.586,108.37,18.1,0.12,0.22,1.49
20009,31.2,58379,5.1,35.5,22.9,54853,69.3,0,737,29382,0.243,0.454,0.196,0.38,0.296,0.124,0.22,0.571,110.71,24.9,0.15,1.26,2.94
20011,25.8,30462,3.8,22.4,21.2,27611,54.6,148.7,983,14966,0.235,0.502,0.163,0.384,0.328,0.055,0.516,0.601,98.93,21.8,0.24,2.87,0.42
20013,31.6,20968,6.5,27.1,53,19598,63.7,74.07001355,331,11128,0.269,0.512,0.163,0.384,0.336,0.124,0.516,0.692,102.94,22.2,0.22,1.34,1.72
20015,16.5,119792,2.2,45.7,30.8,119266,85.3,103.4,2014,50580,0.266,0.507,0.197,0.392,0.286,0.112,0.404,0.551,120.23,20.5,0.17,0.67,1.22
20017,33.2,5750,0,53.1,50.8,5788,131.4,0,8,3021,0.229,0.512,0.209,0.392,0.286,0.112,0.489,0.686,98.58,21,0.24,0.13,0.76
20019,33.7,8554,0,42.4,41.7,8140,84.4,0,39,4407,0.229,0.469,0.21,0.392,0.286,0.112,0.492,0.686,88.98,19.7,0.17,0.31,0.7
20021,32.3,44785,9,45.4,46.2,41367,125.3,198.6,260,21374,0.268,0.528,0.22,0.395,0.339,0.165,0.483,0.601,90.72,21.8,0.21,0.36,1.11
20023,10.3,6598,0,14.3,40.6,6193,60.9,0,17,3243,0.233,0.538,0.203,0.503,0.317,0.094,0.492,0.522,98.42,22.1,0.21,0,0.55
20025,45.6,4812,0,12.5,27.5,4545,60.8,74.07001355,0,2418,0.233,0.485,0.099,0.413,0.303,0.112,0.492,0.658,111.89,17.2,0.13,0,2.1
20027,19.6,18588,2.5,49,7.9,17670,79,0,70,9158,0.223,0.432,0.165,0.354,0.326,0.138,0.457,0.509,103.97,20.5,0.26,0.04,0.33
20029,15.1,21109,0,43,39.9,19121,69.2,0,112,11023,0.223,0.505,0.166,0.38,0.326,0.093,0.404,0.509,104.1,20.5,0.2,0.32,0.45
20031,9.2,17274,2.3,23.9,19.3,17219,135.4,0,31,8404,0.224,0.512,0.197,0.381,0.325,0.097,0.492,0.551,105.5,19.9,0.22,0.13,0.45
20033,17.7,4130,0,16.6,29.3,3899,154.2,0,12,2313,0.299,0.534,0.196,0.35,0.303,0.153,0.492,0.585,98.1,18.1,0,0.21,0.64
20035,26.2,71546,1.6,34.9,35.8,67725,70.8,116.2,2665,36915,0.224,0.447,0.197,0.395,0.298,0.112,0.404,0.551,109.73,19.5,0.26,2.8,2.73
20037,32.3,72439,7,39.6,20.6,67925,107.7,193.8,1203,35568,0.29,0.504,0.22,0.395,0.339,0.107,0.516,0.606,102.16,21.8,0.21,1.44,0.77
20039,10.6,7055,2.9,23.4,29.2,6734,57.9,0,1,4021,0.22,0.522,0.178,0.386,0.261,0.081,0.492,0.578,102.29,22.9,0,0.07,0.24
