fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
21001,19.1,32365,0,41,35,31210,132,446.1,1008,15360,0.314,0.591,0.276,0.486,0.349,0.119,0.497,0.475,63.83,22.8,0.17,3.13,0.65
21003,23.5,33083,0,47.5,28.7,31599,125.3,0,340,14628,0.3,0.551,0.255,0.473,0.326,0.137,0.475,0.621,65.41,22.9,0.17,0.95,0.04
21005,13.7,36020,2.6,27.1,43.6,34635,109.2,0,1063,14571,0.281,0.551,0.266,0.486,0.349,0.097,0.468,0.662,103.95,24.4,0.23,2.93,0.67
21007,13.4,16485,3.3,53.2,50.5,16005,92.6,0,534,7902,0.268,0.557,0.264,0.466,0.352,0.114,0.479,0.558,89.22,24.4,0.19,3.13,0.75
21009,24.3,73022,0,42.7,20,66219,106.7,0,3518,34001,0.314,0.551,0.266,0.473,0.333,0.124,0.465,0.621,81.34,23.9,0.17,5.47,0.26
21011,28.8,20646,0,17.9,15.8,19866,145.4,0,567,9692,0.259,0.511,0.248,0.448,0.373,0.19,0.414,0.532,56.78,23.6,0.27,2.82,0.46
21013,31.4,59194,8.1,64.1,49.8,55005,165,61.5,1551,31506,0.309,0.586,0.235,0.491,0.314,0.227,0.494,0.538,53.06,20.3,0.18,2.41,0.28
21015,24.6,156937,3.3,56.1,20,149850,105.5,0,1129,57589,0.282,0.527,0.245,0.456,0.312,0.104,0.511,0.746,125.05,24.1,0.27,0.53,0.54
21017,17.2,36074,5.2,44.2,54.7,34181,130.5,140.8,3176,19236,0.282,0.526,0.248,0.46,0.341,0.104,0.468,0.607,95.33,24.1,0.27,8.42,0.62
21019,26.6,99947,2.3,57.9,29.8,92837,111,0,3011,51150,0.309,0.6,0.268,0.483,0.376,0.19,0.464,0.515,102.85,26.3,0.17,1.89,0.91
21021,23.7,49983,3.2,65.4,15.7,47085,119,21.7,5597,25641,0.314,0.591,0.248,0.46,0.368,0.164,0.468,0.536,98.08,22.8,0.17,9.49,0.63
21023,17.2,17105,13,44.3,27.1,16116,146.1,0,103,7766,0.294,0.515,0.234,0.456,0.33,0.16,0.479,0.662,74.01,24.1,0.27,0.37,0.38
