fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
22001,29.9,95778,5.1,47.6,44.3,88181,101.1,82.7,21329,55882,0.262,0.532,0.234,0.406,0.356,0.212,0.487,0.633,74.65,25,0.21,18.37,0.45
22003,9.9,32423,11.9,35.8,32.3,37767,85.7,77.1,14527,21226,0.285,0.514,0.201,0.377,0.356,0.235,0.487,0.633,71.11,25,0.14,21.65,3.38
22005,29.1,105608,5.3,57.1,16.1,105248,94.2,60.7,32866,58214,0.253,0.53,0.212,0.392,0.334,0.179,0.541,0.662,103.39,24.7,0.17,22.63,1.71
22007,38.8,29824,0,24.9,20.1,29196,56.9,88.3,14948,22753,0.318,0.534,0.244,0.428,0.354,0.223,0.52,0.677,75.7,23.9,0.19,32.41,1.33
22009,25,58089,8.8,27.4,37.8,54991,92.2,98.7,24457,39159,0.267,0.514,0.223,0.377,0.356,0.243,0.487,0.651,62.16,22.9,0.19,27,1.43
22011,41.5,53120,6.8,58.6,40.9,52426,82.3,128,11060,30083,0.311,0.514,0.217,0.394,0.356,0.235,0.487,0.665,99.65,23.1,0.14,14.59,1.33
22013,33.2,17551,0,40.8,62.1,16008,82.5,121.8,14043,15979,0.298,0.566,0.223,0.394,0.355,0.224,0.556,0.605,71.93,21.7,0.1,43.46,0.4
22015,33.9,144600,1.3,46.7,44.1,138527,101.7,64.4,37621,86088,0.298,0.566,0.233,0.424,0.336,0.161,0.556,0.657,111.97,21.6,0.1,20.04,2.3
22017,32.3,290265,2,43.4,30.8,260320,71.7,107,188372,248253,0.298,0.566,0.233,0.394,0.369,0.205,0.556,0.667,102.93,24.2,0.16,40.11,1.05
22019,26.2,273366,1.7,49.4,33.1,260157,101.3,46.7,85069,168134,0.311,0.532,0.217,0.406,0.356,0.212,0.487,0.692,103.73,26.5,0.25,22.9,1.2
22021,38.4,16800,0,46.4,28.7,16225,130.3,25.5,3885,9810,0.237,0.515,0.223,0.399,0.364,0.262,0.436,0.636,75.44,25,0.1,17.94,1.69
22023,36.3,16734,0,43.1,21.6,16555,139.4,0,1149,9260,0.275,0.531,0.24,0.446,0.326,0.21,0.462,0.633,92.58,22,0.14,5.23,2
22025,20.8,16071,0,53.6,54.1,15599,97.3,33.2,5720,11065,0.286,0.515,0.194,0.377,0.355,0.243,0.502,0.651,67.23,23.1,0.19,25.82,0.09
22027,15.4,17361,0,20.6,13.1,17074,103.9,74.7,17775,17405,0.298,0.566,0.233,0.396,0.369,0.161,0.436,0.667,74.99,24.2,0.1,46.43,0.17
22029,37.9,25746,4.3,73.8,55.3,24614,107.5,56.4,14311,20828,0.237,0.514,0.194,0.377,0.364,0.262,0.436,0.746,78.29,21,0.17,36.59,0.97
22031,38.2,26953,2.5,49.8,36.4,25829,122.7,36.2,21354,25346,0.298,0.516,0.233,0.394,0.364,0.224,0.287,0.608,75.44,24.2,0.1,44.16,0.89
22033,23.8,493871,1.8,44.9,27,463510,79.8,68.3,273049,380105,0.237,0.475,0.194,0.377,0.313,0.179,0.541,0.746,117.7,21,0.21,34.83,1.42
22035,43.7,5990,0,67.8,69,5813,139.9,92.8,10865,9709,0.237,0.543,0.204,0.399,0.364,0.205,0.436,0.682,42.43,24.2,0.17,64.84,0.32
22037,42.8,19878,4.7,45.4,31.7,21342,121.6,68.7,22810,19211,0.237,0.514,0.194,0.365,0.394,0.191,0.502,0.651,83.12,21,0.21,47.24,0.9
22039,29.5,50186,2.2,54.4,33,47243,83.2,44.7,18166,33274,0.286,0.515,0.201,0.377,0.356,0.224,0.487,0.633,60.06,22,0.14,26.06,0.34
22041,31.2,30423,0,45.8,16,27715,130.1,39.3,13796,22387,0.215,0.543,0.204,0.399,0.364,0.245,0.462,0.63,69.33,24.2,0.09,31.4,0.41
22043,14.9,32058,0,48.9,55.8,30650,122.8,0,5561,17526,0.302,0.515,0.201,0.394,0.356,0.239,0.529,0.633,84.89,25,0.1,14.37,0.42
22045,26.5,98148,8.4,46,16.8,93984,92.7,28.5,43138,68297,0.318,0.587,0.248,0.441,0.354,0.208,0.487,0.655,86.48,25,0.25,29.45,1.9
22047,11.2,31647,3.2,57.4,39.4,31258,119.1,82.4,29413,31049,0.237,0.527,0.234,0.441,0.356,0.179,0.541,0.651,86.04,24.7,0.17,46.37,1.82
22049,3.6,21669,0,37.1,15.6,20413,83,49.7,9218,15705,0.298,0.566,0.204,0.399,0.355,0.198,0.436,0.602,84.22,21.7,0.1,29.41,0.22
22051,29,731141,1.7,52.1,35.6,671985,101.3,81.7,159740,448306,0.25,0.53,0.244,0.428,0.334,0.165,0.561,0.677,118.06,23.9,0.2,17.6,5.88
22053,29.1,51203,4.3,48.8,33.9,48231,93.4,51.3,12268,30722,0.311,0.532,0.217,0.407,0.356,0.212,0.487,0.633,83,25.6,0.25,18.79,0.55
22055,29.3,281436,3.9,38.8,27.4,266270,89.8,65.9,84382,164762,0.267,0.495,0.234,0.441,0.323,0.178,0.462,0.665,108.53,18.3,0.33,22.33,1.51
22057,24.5,149629,2.7,29.9,27.8,144629,85.6,26.1,22424,85860,0.254,0.534,0.244,0.428,0.354,0.223,0.541,0.603,86.9,23.9,0.19,12.34,1.5
22059,15.2,25567,14.2,47,52.4,23327,148.2,64.7,2731,13662,0.286,0.515,0.223,0.377,0.355,0.243,0.436,0.636,85.62,25,0.1,9.11,0.17
22061,31.9,46647,1.6,42.1,33.7,47825,98.6,92,31337,41745,0.237,0.543,0.204,0.42,0.356,0.239,0.436,0.667,101.37,21.7,0.1,39.44,0.78
22063,20.4,162960,1.2,49.4,25.8,161566,82.3,0,10109,70526,0.253,0.53,0.234,0.408,0.334,0.202,0.52,0.707,104.16,23.9,0.19,5.44,1.05
22065,55.7,9905,10.7,41.4,55.7,9583,159.1,109.5,15491,12463,0.205,0.452,0.189,0.35,0.356,0.229,0.436,0.667,58.03,27.5,0.16,59.45,0.67
22067,36.3,36329,0,36,57.5,34247,130.5,65.8,24923,31938,0.237,0.543,0.231,0.42,0.356,0.262,0.436,0.667,79.28,22.5,0.09,41.57,0.23
22069,37,44274,9.5,38.4,29.2,42133,119.4,92.1,27663,36689,0.298,0.55,0.223,0.377,0.355,0.224,0.556,0.608,81.46,25,0.14,37.64,1.45
22071,24,326236,2.9,31.3,30.3,299930,77.4,85.3,540126,496938,0.254,0.503,0.197,0.365,0.364,0.257,0.52,0.726,96.06,29.2,0.19,62.05,3.19
22073,29.8,201671,5.1,42.2,26.8,185371,121.5,73.7,87901,142191,0.237,0.543,0.204,0.399,0.364,0.28,0.436,0.686,102.62,24.2,0.17,30.97,0.73
22075,14.9,35866,0,34.5,41.5,37283,94.9,42,12763,25575,0.284,0.496,0.279,0.469,0.354,0.223,0.697,0.603,92.63,24.7,0.14,23.22,3.44
22077,29.7,26394,4,38.1,6.8,25791,93.9,81.8,18995,22540,0.267,0.53,0.194,0.377,0.356,0.195,0.487,0.646,79.17,24.7,0.19,41.14,0.76
22079,25.5,180211,3.2,43.5,27.5,166462,95.3,83.5,70897,131556,0.302,0.515,0.201,0.376,0.355,0.167,0.529,0.636,99.47,25,0.22,27.87,1.22
22081,24.7,11479,0,26.3,7.3,10891,90.9,50.8,7206,9387,0.285,0.516,0.204,0.394,0.364,0.224,0.436,0.608,65.37,24.2,0.16,38.2,0.57
22083,12.3,26493,6.8,42.9,37.3,24672,105.1,66.7,14559,20629,0.215,0.506,0.2,0.394,0.36,0.262,0.436,0.63,73.42,23.8,0.09,36.57,0.96
22085,17,37524,1.8,42.5,30.8,36533,121.8,86.3,8220,22646,0.298,0.515,0.233,0.394,0.35,0.235,0.487,0.608,77.78,22.7,0.16,17.46,5.36
22087,23.6,128000,0.8,61.7,24.1,117450,116.4,129.2,6204,66631,0.254,0.554,0.244,0.428,0.358,0.169,0.52,0.677,108.99,23.9,0.16,4.62,6.22
22089,29.9,69990,4.4,44.9,30.4,69014,105.3,33.9,23386,42437,0.25,0.53,0.197,0.408,0.334,0.179,0.541,0.677,113.94,23.9,0.2,24.22,2.24
22091,20.1,8947,0,89.8,53.9,8460,120.4,29.3,9923,9874,0.254,0.527,0.197,0.365,0.394,0.186,0.502,0.726,62.9,21,0.16,51.63,0.47
22093,25,20227,0,28.7,19,19442,100.4,31.2,20559,20879,0.25,0.53,0.197,0.428,0.353,0.178,0.541,0.677,89.27,24.1,0.17,49.53,0.51
22095,36.8,51339,4.5,51.5,26.4,50326,93.7,64.8,31182,39996,0.25,0.529,0.197,0.377,0.364,0.179,0.541,0.726,106.49,23.9,0.19,35.98,2.48
22097,23.9,97762,0.9,46.1,33.1,91040,84.7,66.3,67334,80331,0.277,0.514,0.194,0.377,0.355,0.212,0.487,0.651,69.06,25,0.21,40.21,0.78
22099,27.4,60346,4.7,57.7,29.6,58593,120.4,20.4,31336,43978,0.267,0.495,0.197,0.406,0.334,0.212,0.487,0.655,75.6,24.1,0.17,33,1.08
22101,22.5,71770,0,55,44.5,71043,120.8,88.3,36206,58086,0.325,0.587,0.248,0.428,0.364,0.208,0.52,0.646,84.52,23.9,0.19,31.24,2.15
22103,28.1,326133,2.2,51.2,36.5,319765,85.8,43.8,43011,144508,0.254,0.53,0.197,0.365,0.364,0.186,0.541,0.707,119.92,23.9,0.17,10.98,2.21
22105,29.2,134670,2.2,41.4,41.2,127975,109.5,83.8,54754,85709,0.254,0.503,0.194,0.365,0.394,0.202,0.541,0.726,84.26,22.2,0.17,28.64,1.08
22107,0,5983,0,30,39.3,5778,79.3,59.1,6501,7103,0.215,0.478,0.189,0.35,0.364,0.262,0.436,0.636,59.26,25,0.09,53.44,0
22109,28.2,159833,3.2,45.2,22.1,154872,123.5,59,35203,96982,0.325,0.587,0.279,0.469,0.354,0.223,0.487,0.603,93.03,24.7,0.14,16.37,1.26
22111,26.4,31489,2.2,34.6,58.1,29594,96.2,91.7,12291,20690,0.298,0.543,0.233,0.42,0.356,0.262,0.436,0.602,85.4,22.5,0.16,27.55,0.57
22113,32.1,88004,3.4,38.7,26.7,83642,106.1,68.4,14762,50055,0.325,0.587,0.248,0.446,0.356,0.212,0.487,0.633,82.78,24.7,0.14,13.94,1.14
22115,24.1,67665,3.6,43.2,28.5,86669,116.4,0,26900,61961,0.285,0.515,0.217,0.403,0.345,0.212,0.556,0.651,98.58,22,0.13,20.7,5.04
22117,29.7,59112,1.3,51.2,28.5,55392,134.9,138.7,27807,43185,0.254,0.503,0.197,0.365,0.394,0.185,0.541,0.707,79.24,22.5,0.15,30.8,0.64
22119,24.3,58022,3.2,45,47,53915,113.1,105.2,26447,41989,0.298,0.566,0.233,0.394,0.369,0.205,0.556,0.667,85.89,24.2,0.1,31.58,0.41
22121,41.8,24844,0,52.5,23.2,24857,111.6,75.5,14537,19419,0.237,0.475,0.194,0.441,0.313,0.208,0.538,0.636,99.55,24.7,0.19,35.99,0.6
22123,11.6,20479,3.3,35,38.8,19064,125.6,127.9,4187,12093,0.237,0.543,0.189,0.35,0.356,0.217,0.436,0.63,71.72,24.2,0.14,16.7,1.08
22125,22.9,9438,0,33.6,62.1,13241,172.9,93.3,22290,12915,0.267,0.514,0.216,0.377,0.353,0.179,0.541,0.636,81.75,21,0.21,55.32,1.44
22127,27.2,22981,19.5,45.7,22.8,22952,108.2,58.6,13483,16269,0.298,0.566,0.233,0.377,0.356,0.224,0.436,0.667,79.63,24.2,0.16,29.62,0.89
