fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
25001,29.5,417974,1.6,45,33,380754,62.5,25.4,8259,186605,0.205,0.565,0.205,0.477,0.271,0.104,0.848,0.841,139.65,23.1,0.26,1.53,1.2
25003,34.7,267027,2.9,43.1,36.1,247181,67.2,128.1,6554,139352,0.21,0.538,0.22,0.509,0.298,0.094,0.582,0.678,125.94,24.9,0.24,1.77,0.8
25005,26.6,1030749,2.3,35.3,31.1,951825,81.4,74.2,23987,506325,0.24,0.533,0.215,0.5,0.305,0.112,0.821,0.8,117.83,24.1,0.23,1.52,2.39
25007,48.5,26188,0,27.1,41.2,25104,59.8,0,950,11639,0.209,0.533,0.215,0.5,0.286,0.113,0.606,0.841,143.81,24.3,0.24,4.29,0.72
25009,27.9,1348520,2,44.7,31.8,1238062,73.9,8.5,62235,670080,0.21,0.538,0.204,0.451,0.312,0.092,0.848,0.816,138.27,25.9,0.23,2.25,7.08
25011,26.2,141215,2.9,42.3,30.4,135564,62.4,0,1617,70092,0.232,0.514,0.199,0.5,0.31,0.092,0.606,0.8,127.04,24.6,0.24,0.5,1.1
25013,28.8,813497,3,44.4,34.6,744600,85.2,84.9,81961,456310,0.227,0.533,0.215,0.477,0.318,0.098,0.674,0.7,122.73,24.4,0.24,7.54,9.69
25015,31.9,291919,2.3,44.4,43.2,265051,62.9,0,6081,146568,0.24,0.552,0.199,0.477,0.303,0.098,0.674,0.7,134.7,24.1,0.25,1.65,2.56
25017,29.8,2675535,1.8,42.1,31.3,2477144,73.7,46.9,101777,1398468,0.189,0.514,0.177,0.477,0.271,0.08,0.929,0.815,149.63,24.6,0.27,2.82,3.18
25019,63.8,14601,0,42.7,16.5,15139,121.2,0,496,6012,0.21,0.552887,0.204,0.477,0.271,0.098,0.848,0.924,161.85,23.1,0.23,2.37,0.43
25021,29.2,1247643,1.4,45.4,28.2,1134117,71.4,122.3,32715,616087,0.237,0.523,0.205,0.481,0.271,0.092,0.821,0.79,152.94,25.4,0.24,1.86,1.28
25023,32.6,886279,2.5,53.7,35.3,848493,85.9,39.8,48581,435276,0.24,0.565,0.204,0.477,0.271,0.11,0.848,0.801,140.8,24.6,0.24,3.68,2.01
25025,30.5,853142,3.2,50,29.7,805214,96.8,68.6,337184,663906,0.253,0.46,0.205,0.412,0.261,0.133,0.741,0.772,127.34,25.5,0.23,22.44,10.57
25027,31.7,1406480,2.9,45,34.5,1343287,72.3,27.2,43240,709705,0.245,0.577,0.208,0.491,0.286,0.086,0.857,0.822,131.59,24.1,0.27,2.09,4.59
