fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
24001,16.2,147370,5.5,43,25.4,135666,94.5,0,4488,74946,0.233,0.508,0.231,0.452,0.367,0.127,0.39,0.55,102.95,24,0.19,2.1,0.4
24003,32.7,766996,1.1,57.6,32.6,783278,98.5,41.5,145102,427239,0.24,0.5,0.226,0.441,0.348,0.09,0.524,0.714,143.39,26.8,0.31,11.78,1.56
24005,29.2,1211326,1.3,47.3,28,1119163,82.1,80.1,212370,692134,0.211,0.462,0.206,0.446,0.315,0.083,0.589,0.715,135.84,24.5,0.27,12.28,1.1
24009,24,110006,2.3,63.9,41.7,111735,85.8,54.2,27477,51372,0.231,0.497,0.246,0.432,0.337,0.09,0.569,0.715,141.16,26.8,0.27,15.7,1.02
24011,23.5,46360,5.4,46,25.1,45241,89.7,27.1,11891,27035,0.279,0.504,0.234,0.464,0.36,0.134,0.569,0.674,107.96,26,0.25,16.62,0.65
24013,26,286982,3.1,39.1,30.2,281543,82.7,83.1,9236,123372,0.209,0.518,0.198,0.435,0.329,0.09,0.524,0.73,135.88,26.8,0.28,2.33,0.48
24015,35,152230,2,53.3,47.8,152723,113.9,127,9586,71347,0.24,0.503,0.234,0.468,0.335,0.102,0.589,0.684,122.87,24.5,0.24,4.46,0.87
24017,22.2,172059,3.4,75.6,58.1,175143,107.3,80.5,51614,101154,0.236,0.5,0.172,0.377,0.348,0.111,0.536,0.742,141.23,26.5,0.25,18.21,1.54
24019,35,39788,11.7,46.5,39,37175,121.4,85.4,18783,30236,0.279,0.504,0.241,0.441,0.406,0.172,0.573,0.712,100.44,25.3,0.25,27.79,0.71
24021,27.6,337166,2.2,34.7,28,334634,91.5,34.8,25208,150208,0.209,0.48,0.205,0.423,0.319,0.096,0.511,0.7,137.53,23.7,0.24,5.29,0.96
24023,31,59359,3.1,30.9,19.5,57059,79.1,0,529,28138,0.232,0.482,0.223,0.498,0.318,0.146,0.39,0.637,100.04,24.4,0.17,0.33,0.31
24025,27.7,370692,2.5,52.1,39,370022,88,80.7,44994,182132,0.226,0.504,0.219,0.468,0.317,0.083,0.518,0.71,135.75,24.1,0.24,8.51,1.4
24027,28.4,366013,2.1,40.7,35.6,367419,67.8,108.1,67359,187328,0.209,0.426,0.19,0.377,0.29,0.09,0.551,0.73,159.49,22.1,0.28,11.73,1.99
24029,26.8,28654,6.9,47.2,23.1,27544,73.9,63.2,8769,17842,0.209,0.462,0.223,0.468,0.346,0.116,0.51,0.714,114.68,26,0.27,19.72,2.84
24031,27.8,1268360,1.7,31.2,28.2,1198262,44.7,81.3,232824,757027,0.161,0.423,0.123,0.354,0.24,0.092,0.511,0.704,162.4,18.6,0.31,12.2,7.17
24033,26.7,584206,2,44.1,30.8,585919,74,88.6,827220,729268,0.209,0.426,0.19,0.377,0.376,0.111,0.543,0.73,143.51,26.8,0.23,50.68,3.96
24035,26.6,66334,0,64.3,23.4,66540,97.3,38.7,11053,33953,0.256,0.504,0.206,0.471,0.337,0.117,0.547,0.684,129.75,25.1,0.24,11.26,0.85
24037,29.5,134835,1,40.5,30.8,141962,87.6,61.1,28928,75974,0.24,0.5,0.241,0.463,0.348,0.113,0.543,0.714,129.14,26.8,0.25,13.54,1.31
24039,42.9,24813,5.1,44,25.7,26718,158.8,75,25473,23440,0.279,0.504,0.234,0.441,0.36,0.132,0.528,0.715,94.16,25.3,0.19,38.16,0.75
24041,25.9,51896,3.6,41.5,34.9,48269,56.1,18.3,14106,30549,0.264,0.5,0.19,0.41,0.342,0.099,0.543,0.714,126.05,25.2,0.25,18,0.4
24043,30.9,237688,5.3,43.1,28.7,229159,82.9,80,26892,121393,0.164,0.454,0.137,0.403,0.363,0.091,0.484,0.655,114.79,24,0.22,6.07,0.6
24045,37.2,115117,4.9,67.1,31.6,108314,119.3,45.4,41450,74339,0.24,0.504,0.226,0.441,0.36,0.132,0.532,0.715,116.17,26.8,0.23,22.1,0.65
24047,32.3,62283,2.5,50.9,27.2,59850,98,73,20840,35028,0.209,0.514,0.194,0.463,0.322,0.131,0.548,0.69,113.73,25.4,0.23,21.23,0.61
24510,39.8,438391,5.3,73.2,32.7,403136,119.9,85.3,793848,736014,0.292,0.504,0.246,0.432,0.406,0.172,0.612,0.74,101.51,32,0.27,59.18,0.95
