fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
23001,31.6,205562,2.7,58.4,37,193442,96.5,0,1223,105259,0.253,0.565,0.215,0.481,0.337,0.113,0.599,0.725,111.76,24.8,0.25,0.42,0.46
23003,26.3,148186,1.6,38.4,24.5,149079,98.2,453.9,2040,86936,0.272,0.56,0.225,0.444,0.358,0.163,0.542,0.7,101.94,27.2,0.13,1.15,0.61
23005,29,514605,2.1,52.6,31.9,475411,72.9,162.2,4141,243135,0.237,0.565,0.205,0.484,0.28,0.111,0.654,0.72,133.75,24.6,0.27,0.67,0.72
23007,25.3,59015,5.9,41.6,23.8,55695,102.4,0,95,29008,0.244,0.543,0.215,0.481,0.325,0.162,0.542,0.687,107.43,24.8,0.25,0.09,0.51
23009,28.9,99731,2.5,47,44.8,96805,76.7,74.07001355,241,46948,0.261,0.543,0.204,0.477,0.327,0.172,0.494,0.697,116.68,25.4,0.27,0.16,0.6
23011,32.4,235862,3.8,52.7,31.1,220739,83.1,0,734,115904,0.253,0.565,0.215,0.484,0.337,0.111,0.599,0.734,118.88,25,0.23,0.22,0.34
23013,21,76827,4,36,34.1,73109,64.4,0,218,36310,0.237,0.565,0.205,0.481,0.327,0.172,0.662,0.749,117,25,0.24,0.14,0.21
23015,28.3,64266,2.9,43.1,26.8,61726,88.1,0,58,30357,0.253,0.565,0.208,0.491,0.312,0.172,0.583,0.754,120.41,24.6,0.24,0.13,0.79
23017,20.5,108916,8.6,51.9,26,104681,81,0,212,52602,0.26,0.56,0.215,0.484,0.337,0.163,0.599,0.71,106.25,24.6,0.26,0.14,0.44
23019,24.1,286777,3.7,46.6,27.6,273661,97.9,0,1450,146601,0.253,0.543,0.215,0.477,0.337,0.137,0.553,0.707,115.49,25.5,0.23,0.43,0.54
23021,27.5,36886,0,61.7,33.4,35422,98.2,0,47,18653,0.268,0.56,0.225,0.484,0.312,0.154,0.654,0.7,98.74,27.2,0.13,0.1,0.21
23023,32.8,70109,0,55,46.4,68708,78,0,947,33535,0.253,0.565,0.208,0.484,0.3,0.103,0.583,0.707,126.39,24.6,0.27,0.9,0.93
23025,25.6,105638,6.2,51.2,29.5,102518,95.7,0,217,49767,0.27,0.56,0.225,0.484,0.358,0.163,0.542,0.687,101.67,27.2,0.26,0.09,0.42
23027,22.4,72975,1.3,48.6,29.3,71261,74.9,0,126,33018,0.261,0.565,0.215,0.481,0.321,0.151,0.603,0.697,103.47,24.6,0.24,0.1,0.6
23029,29.5,69351,2.5,55.2,34.8,67299,97.7,0,202,35308,0.262923,0.565,0.205,0.481,0.334,0.178825,0.494,0.697,93.99,25,0.27,0.15,0.46
23031,30.7,351722,1.6,47.3,30.5,335150,89.9,74.07001355,1549,164587,0.237,0.552,0.205,0.491,0.299,0.112,0.599,0.72,126.63,24.6,0.27,0.36,0.69
