fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
26001,30.6,21765,0,39.9,21.2,21629,89.5,0,115,10145,0.277,0.574,0.246,0.477,0.377,0.098,0.59,0.549,93.3,23.6,0.29,0.23,0.34
26003,15.9,17888,0,55.1,38.6,18722,76.6,0,1826,8972,0.226,0.59,0.232,0.526,0.364,0.082,0.585,0.48,96.52,21.5,0.6,2.36,0.3
26005,31,198840,1.6,38.6,39.8,194612,81,164.4,3060,90509,0.246,0.533,0.238,0.435,0.356,0.098,0.574,0.664,113.14,23.1,0.19,1.57,3.02
26007,22.6,62456,5.3,42.2,42.3,59040,74.7,0,170,30605,0.223,0.537,0.246,0.48,0.377,0.097,0.486,0.549,103.83,24.7,0.6,0.01,0.26
26009,25.2,42585,5.7,54.9,48.6,41070,87.4,0,135,18185,0.265,0.586,0.248,0.464,0.356,0.099,0.6,0.637,105.17,20.7,0.29,0.12,0.5
26011,29.9,32713,5.3,43.4,27.9,31750,79.2,74.07001355,258,14931,0.258,0.574,0.235,0.48,0.377,0.097,0.571,0.659,91.14,24.1,0.29,0.05,1.05
26013,6.5,14082,0,49.9,42.2,15400,109.8,0,1013,7954,0.316,0.59,0.231,0.429,0.364,0.082,0.715,0.698,90.39,19.2,0.17,0.64,0.3
26015,35.3,107130,1.8,36.3,32.2,107764,65.5,0,434,50057,0.246,0.553,0.235,0.435,0.357,0.099,0.563,0.704,115.28,20.3,0.19,0.16,0.88
26017,23,221353,2.5,37.7,30.2,208479,92.2,0,2844,111723,0.277,0.574,0.235,0.45,0.377,0.098,0.578,0.659,110.25,21.2,0.24,1.05,3.17
26019,30.4,28693,0,59.9,47.2,28063,56.6,0,149,12200,0.274,0.586,0.216,0.467,0.369,0.098,0.584,0.664,105.61,20.7,0.24,0.5,1.36
26021,25.2,270115,5.5,36.3,24.1,254681,82.3,66.1,47384,161378,0.246,0.496,0.208,0.422,0.343,0.118,0.597,0.626,111.35,23.6,0.18,15.38,1.41
26023,28.6,85484,2.4,43.5,24.3,82929,96.8,0,1454,41502,0.243,0.533,0.226,0.435,0.34,0.099,0.563,0.625,104.04,22.6,0.21,1.68,1
26025,33,250449,2.1,42.9,29.6,236872,88.3,80.4,30536,135982,0.243,0.553,0.215,0.439,0.34,0.089,0.574,0.625,111.55,22.7,0.22,10.37,1.8
26027,25.3,91159,3.1,53.4,23.4,89060,107.4,57.8,7850,49477,0.272,0.527,0.233,0.445,0.336,0.099,0.54,0.639,108.43,23.1,0.11,7.51,1.25
26029,28.6,48425,1.9,51.3,40.8,46703,84.3,0,84,21468,0.274,0.586,0.239,0.473,0.356,0.099,0.555,0.619,111.91,20.7,0.24,0.09,0.4
26031,29.4,47233,4.2,54.7,32.6,44620,99.4,0,109,21398,0.128,0.58,0.323,0.48,0.337,0.159,0.486,0.496,99.15,20.7,0.29,0.05,0.34
26033,21.3,58335,1.3,35.6,18.2,65391,91.9,0,9543,34604,0.083,0.528,0.323,0.48,0.337,0.159,0.486,0.328,100.7,26.2,0.6,6.2,0.8
26035,21.8,59384,1.2,47.9,37.7,56215,121.4,0,216,24952,0.246,0.586,0.216,0.464,0.357,0.084,0.699,0.686,89,21.4,0.29,0.06,0.45
26037,24,124849,0.9,40.1,32.1,124146,74,0,582,57883,0.243,0.549,0.215,0.439,0.376,0.089,0.578,0.704,126.48,21.4,0.24,0.34,1.85
26039,35.3,27038,2.9,72.4,26.9,27022,103.9,0,892,12260,0.259,0.586,0.235,0.48,0.377,0.1,0.585,0.637,102.54,22,0.24,2.2,0.72
26041,37.2,77488,2.4,47.2,36.7,74089,83.6,0,159,37780,0.274,0.59,0.199,0.44,0.369,0.081,0.585,0.664,104.1,20.7,0.2,0.08,0.25
26043,26.3,54249,3,28.3,26.5,52797,74.2,0,129,26831,0.245,0.542,0.199,0.467,0.292,0.128,0.565,0.666,113.61,19.2,0.43,0.13,0.43
26045,28,196013,1.2,32.4,33.3,185719,75.7,513.1,7499,92879,0.264,0.574,0.215,0.433,0.333,0.084,0.59,0.692,129.05,22.7,0.24,3.57,2.07
26047,18.3,56371,2.8,45.3,12,53156,67.6,0,549,25040,0.196,0.58,0.248,0.48,0.376,0.084,0.585,0.661,118.15,20.7,0.24,0.45,0.43
26049,29.3,698006,3.2,45.6,32.9,651950,81.1,70.1,167696,430459,0.299,0.574,0.269,0.465,0.377,0.084,0.59,0.727,112.55,20.4,0.26,19.53,1.9
26051,36.9,50317,1.4,58,35.1,49215,107.3,0,162,21896,0.284,0.584,0.243,0.45,0.377,0.099,0.59,0.659,87.75,20.4,0.26,0.13,0.53
26053,24.6,34529,0,27.5,50.6,32733,85.3,0,980,18052,0.227,0.59,0.246,0.526,0.362,0.104,0.523,0.562,95.39,19.5,0.22,1.39,0.53
26055,15.5,148264,0.7,47.3,46.6,140844,82,0,847,64273,0.276,0.604,0.228,0.464,0.336,0.075,0.866,0.855,124.99,18.8,0.38,0.5,1
26057,24,81011,4.1,36.1,41.2,76241,78.5,0,1288,38982,0.213,0.553,0.25,0.45,0.358,0.084,0.59,0.727,106.22,21.1,0.29,0.85,3.68
