fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
27001,21,27457,4.3,38.4,31.6,27377,79.1,0,54,12425,0.226,0.527,0.203,0.477,0.361,0.09,0.531,0.634,89.73,20.2,0.22,0.09,0.41
27003,22.7,558347,1.5,41.5,32.1,560775,62.3,59.7,5133,243641,0.268,0.517,0.23,0.433,0.326,0.071,0.464,0.716,133.88,15.1,0.24,0.57,0.8
27005,29.8,54296,0,43.9,37.8,54139,59.5,0,51,27881,0.221,0.477,0.199,0.441,0.372,0.115,0.564,0.548,97.05,20.1,0.21,0.05,0.34
27007,24.9,63462,2.9,41,24.5,62194,56.8,0,340,34384,0.227,0.475,0.189,0.411,0.366,0.106,0.488,0.527,99.65,21.8,0.21,0.34,0.49
27009,30.8,67553,8,32,24,66399,84.9,0,271,30185,0.221,0.453,0.194,0.414,0.334,0.076,0.531,0.533,114.1,21.5,0.21,0.28,0.4
27011,16.8,11780,0,18.2,45.1,10833,69.3,0,16,6285,0.214,0.467,0.199,0.376,0.362,0.09,0.531,0.613,94.64,21.9,0.22,0.06,0.41
27013,37.1,105719,0.6,27.4,28.9,103126,51.7,0,921,54044,0.212,0.456,0.194,0.414,0.299,0.076,0.531,0.722,117.96,20.3,0.23,0.41,0.97
27015,33.8,55670,1.1,22.8,35.3,52131,40.5,0,62,26984,0.205,0.468,0.182,0.374,0.362,0.076,0.531,0.637,106.85,20.3,0.17,0.01,0.5
27017,20.5,58476,0,44.3,22.7,58748,62.4,0,540,29259,0.227,0.486,0.194,0.414,0.361,0.09,0.617,0.634,105.56,20.2,0.24,0.11,0.27
27019,21.3,124561,0,30.7,43.3,126767,47,0,545,47915,0.205,0.499,0.189,0.411,0.326,0.076,0.531,0.71,131.96,18.7,0.24,0.17,0.41
27021,27.8,45111,1.4,34.6,23.9,46573,66.4,0,158,21791,0.238,0.511,0.23,0.47,0.35,0.106,0.564,0.527,92.69,20.1,0.21,0.16,0.4
27023,22.5,26582,0,30,38.9,25102,71.1,0,21,13228,0.221,0.451,0.189,0.376,0.362,0.084,0.531,0.653,103.12,20.3,0.23,0.09,0.66
27025,28.2,78270,4.7,47,46.4,80553,72.8,0,318,30521,0.226,0.527,0.194,0.414,0.326,0.076,0.531,0.604,118.57,21.5,0.24,0.14,0.35
27027,23.2,103732,0.9,19.5,37,96740,70,0,628,50422,0.177,0.351,0.199,0.357,0.32,0.119,0.578,0.613,115.89,21.9,0.23,0.26,1.94
27029,43.5,14914,0,35.8,29.4,15198,96.1,0,8,8309,0.241,0.477,0.19,0.452,0.372,0.106,0.564,0.527,79.24,21.8,0.21,0,0.22
27031,16.2,8516,0,13.8,25.2,8765,25.2,0,20,3868,0.227,0.527,0.246,0.499,0.361,0.081,0.617,0.634,104.85,20.2,0.22,0.15,0.12
27033,26.4,24533,0,19.9,35.9,23317,78.8,0,41,12694,0.212,0.503,0.155,0.374,0.362,0.076,0.538,0.637,99.9,20.3,0.19,0.09,0.55
27035,27.4,103974,1.3,36.9,30.2,98617,70.3,0,470,44249,0.258,0.517,0.194,0.433,0.331,0.106,0.531,0.527,107.44,19.3,0.21,0.17,0.48
27037,27.1,651050,2.7,39.9,31.9,638654,59.9,0,13054,275227,0.212,0.418,0.182,0.391,0.303,0.056,0.6,0.711,142.02,21.5,0.19,1.13,1.36
27039,28.8,34012,0,14.8,39,33762,64.3,0,48,15731,0.205,0.451,0.194,0.409,0.323,0.076,0.544,0.704,113.57,20.3,0.21,0.05,1.04
27041,24.7,61875,0,26.2,27,60537,41.8,0,69,28674,0.221,0.467,0.189,0.376,0.362,0.084,0.488,0.61,105.74,20.1,0.23,0.06,0.4
27043,32.2,33539,0,8.9,29.7,31160,58.7,0,57,16937,0.22,0.477,0.189,0.411,0.362,0.076,0.531,0.611,104.21,21,0.21,0.14,1.37
27045,17.5,41503,1.8,18.5,46.7,41008,69.7,0,33,20777,0.183,0.451,0.178,0.386,0.365,0.099,0.544,0.682,96.74,20.3,0.18,0.06,0.29
27047,30.3,63902,0,24.1,45.3,61517,64.1,0,49,33060,0.219,0.502,0.194,0.414,0.34,0.076,0.531,0.611,106.21,20.2,0.2,0.04,3.31
27049,35.7,85283,2.2,25.2,33.1,83273,57.7,0,334,40690,0.194,0.451,0.187,0.417,0.326,0.08,0.581,0.704,115.73,20,0.21,0.19,0.45
27051,46.8,12490,0,16.9,36.6,11925,45.3,0,12,6246,0.214,0.451,0.19,0.407,0.312,0.106,0.488,0.61,95.51,20.1,0.22,0.12,0.03
27053,28.8,1882194,1.5,40.2,33.4,1760541,66.5,101.1,173245,1032431,0.205,0.451,0.194,0.414,0.299,0.076,0.531,0.722,136.38,18.7,0.24,5.81,1.2
27055,32.9,38298,0,23.9,48.4,38081,69.6,0,84,18497,0.194,0.451,0.172,0.391,0.373,0.096,0.502,0.604,110.71,21.6,0.18,0.15,0.25
27057,22.4,33168,0,37.8,43.6,32571,70.5,0,24,14939,0.214,0.48,0.189,0.452,0.35,0.106,0.531,0.527,100.3,21.8,0.21,0.01,0.21
27059,27.9,58562,0,36,60.1,58833,70.5,0,280,25921,0.252,0.527,0.221,0.433,0.334,0.09,0.531,0.593,115.43,21.5,0.24,0.24,0.4
27061,26.3,84298,1,43.4,41.5,83455,78.3,0,209,40863,0.227,0.517,0.207,0.477,0.366,0.09,0.531,0.634,102.74,20.2,0.21,0.07,0.46
27063,28.7,22791,0,16.3,6.3,22440,33.6,0,8,11677,0.214,0.469,0.164,0.374,0.331,0.076,0.553,0.632,101.91,20.3,0.17,0,0.6
27065,23.3,27688,0,22.4,13.2,27912,73.2,0,56,12802,0.226,0.527,0.207,0.47,0.361,0.09,0.592,0.593,95.41,21.5,0.21,0.01,0.54
27067,34.5,81561,1.1,24.9,27.6,80014,59.1,0,344,38761,0.214,0.451,0.189,0.411,0.35,0.084,0.531,0.675,109.91,20.3,0.22,0.18,3.22
27069,31.7,10679,8.8,50.4,44.5,10534,59,74.07001355,0,5767,0.219,0.48,0.2,0.452,0.366,0.115,0.578,0.587,100.69,20.5,0.12,0,0.71
27071,38.5,28758,2.3,71.2,43.5,29514,41.1,0,122,16299,0.227,0.527,0.246,0.499,0.366,0.081,0.617,0.634,104.43,20.2,0.22,0.33,1.86
27073,27.7,16018,0,52.7,78.4,15876,48.4,0,36,8924,0.228,0.474,0.199,0.376,0.362,0.084,0.531,0.61,97.22,24.4,0.15,0.04,0.22
27075,16.5,21192,0,40.6,13.1,21163,76,0,20,10415,0.227,0.527,0.246,0.499,0.361,0.085,0.564,0.634,104.77,20.2,0.22,0.08,0.31
27077,14.7,8947,14.6,43.9,9.4,9136,103.8,0,7,4076,0.227,0.527,0.246,0.499,0.361,0.106,0.617,0.634,105.51,20.2,0.1,0,0.49
27079,23.5,49809,0,20,33.5,49853,52.5,0,61,23239,0.205,0.468,0.194,0.414,0.319,0.076,0.531,0.722,110.8,21.5,0.24,0.06,0.57
27081,45.6,13187,0,15.3,53.3,12826,30.8,0,10,6890,0.214,0.533,0.155,0.376,0.309,0.094,0.564,0.81,92.63,24.4,0.15,0.02,0.13
27083,27,49037,0,25.8,47,47461,59.8,0,232,24789,0.214,0.469,0.155,0.376,0.313,0.083,0.572,0.681,109.63,21.1,0.2,0.19,0.87
