fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
29001,27.7,50218,2.7,47.7,36.6,44615,74.3,0,588,24577,0.175,0.5,0.36,0.53,0.427,0.075,0.461,0.352,101.58,26.3,0.23,0.85,0.79
29003,28.6,31199,5.8,21.9,16.6,30066,69.3,0,78,14632,0.201,0.507,0.281,0.459,0.345,0.088,0.553,0.711,108.87,21,0.24,0.51,0.64
29005,31.4,14209,0,29.4,27.8,13703,102.2,0,234,7457,0.269,0.538,0.227,0.459,0.308,0.132,0.518,0.71,99.01,20.1,0.22,1.59,0.76
29007,25.9,44483,8.6,54.2,34.6,41989,109.8,143.8,3246,23599,0.247,0.563,0.227,0.407,0.328,0.11,0.592,0.725,99.73,23.5,0.2,5.97,0.48
29009,23.8,65685,5.2,29.9,31.7,63724,97.3,0,82,27547,0.333,0.591,0.243,0.455,0.331,0.17,0.453,0.586,89.7,21.8,0.2,0,0.66
29011,24.9,24296,0,44.9,29.8,23029,61.9,0,48,11312,0.305,0.571,0.229,0.395,0.318,0.17,0.506,0.668,96.29,20.6,0.2,0,0.47
29013,16.8,32064,6.2,37,49,30349,116.3,0,276,15025,0.305,0.539,0.292,0.397,0.352,0.15,0.506,0.695,91.73,21,0.26,0.77,0.72
29015,30.1,33759,5.1,66.8,31.4,32765,127.6,0,51,13859,0.31,0.591,0.243,0.483,0.337,0.15,0.506,0.688,84.68,21.8,0.14,0,0.49
29017,24.4,23044,0,40.9,39.4,22764,56.6,0,47,10619,0.329,0.581,0.235,0.432,0.407,0.144,0.5,0.743,75.06,24.3,0.2,0.05,0.53
29019,24.7,229664,4.5,36.5,31.1,216999,65.1,53.8,21471,112379,0.187,0.524,0.214,0.407,0.283,0.168,0.351,0.693,123.3,16.8,0.12,7.4,1.09
29021,24.2,164062,5.4,54.8,25.5,148368,110.9,77.6,6205,83083,0.259,0.518,0.292,0.459,0.345,0.14,0.553,0.711,103.48,21,0.24,3.22,1.87
29023,30.8,78305,6,46.5,32.6,72282,136,71.6,4596,38765,0.251,0.548,0.264,0.41,0.35,0.16,0.481,0.622,81.78,23.5,0.18,5.08,0.49
29025,25.6,18102,3.9,30.4,61.1,16766,76.3,0,32,8380,0.31,0.539,0.238,0.434,0.365,0.15,0.506,0.711,94.75,21.9,0.2,0.03,0.28
29027,23.6,70547,1.6,40.4,39.2,67859,93.8,66,4280,32809,0.281,0.548,0.259,0.452,0.328,0.11,0.453,0.688,108.11,23.7,0.2,4.85,0.6
