fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
28001,24.5,35319,4.7,55.8,34.7,31808,92.7,48.4,30645,35356,0.254,0.514,0.201,0.35,0.394,0.245,0.436,0.636,88.88,25,0.12,48.61,0.27
28003,12,59454,1.5,33,20.6,55358,106.4,85.5,7408,31722,0.265,0.531,0.235,0.357,0.342,0.132,0.217,0.582,83.87,21.1,0.09,11.45,0.53
28005,18.6,14624,0,48.2,66.7,14256,100.8,55.2,12185,13328,0.254,0.529,0.194,0.377,0.394,0.179,0.502,0.651,70,21.6,0.19,45.36,0.48
28007,36.8,22400,0,37.2,34.6,20297,111.9,64.4,14125,18481,0.272,0.514,0.212,0.366,0.37,0.159,0.512,0.619,70.1,19.6,0.12,39.65,0.09
28009,6.9,9661,0,57.6,24.3,9225,93.3,153.2,6344,8046,0.282,0.479,0.208,0.377,0.37,0.12,0.418,0.622,54.93,20.5,0.19,39.48,0.02
28011,27.1,29256,9.7,30.5,33.6,27229,117.8,113.8,46631,41875,0.207,0.5,0.194,0.377,0.428,0.169,0.448,0.658,65.2,27.9,0.06,63.11,0.71
28013,24.9,21887,3.9,25.2,22,20544,93.5,256.5,7882,14908,0.207,0.534,0.208,0.377,0.346,0.127,0.418,0.619,76.27,19.7,0.04,26.93,0.52
28015,17,11779,0,42.2,41,11400,104.2,64,7729,9237,0.207,0.5,0.189,0.35,0.371,0.14,0.536,0.682,71.77,22.6,0,39.59,0.3
28017,18.9,22150,12.6,39.1,43.1,20706,178.9,41.8,13854,18085,0.282,0.534,0.195,0.353,0.346,0.127,0.512,0.619,78.12,20.3,0.09,38.55,0.45
28019,24.4,13165,0,25.4,9.6,12283,102.6,139.4,5417,9071,0.272,0.487,0.212,0.367,0.37,0.127,0.361,0.619,73.55,20.3,0.04,30.12,0.69
28021,0,4020,0,0,55.4,4001,96.2,83.1,17348,11370,0.254,0.512,0.194,0.35,0.37,0.24,0.436,0.716,61.57,21,0.13,82.24,0.64
28023,15.7,23680,0,11.6,21.6,22276,93.9,28.2,12063,17313,0.24,0.538,0.213,0.376,0.364,0.131,0.361,0.652,84.08,15.9,0.16,34.52,0.07
28025,22.6,19979,0,20.9,35.5,18474,65.9,41.3,22195,21120,0.259,0.487,0.2,0.353,0.37,0.155,0.487,0.619,82.3,19.9,0.16,53.4,0.15
28027,21.3,22010,10.5,35.1,42.5,19955,117.8,65.6,36782,31665,0.213,0.479,0.204,0.357,0.37,0.169,0.418,0.647,64.03,28.3,0.12,64.77,0.41
28029,22.6,28229,0,27.3,23.3,26359,110.4,96.4,28544,27592,0.254,0.534,0.189,0.35,0.368,0.171,0.482,0.707,76.16,27.5,0.11,50.49,0.14
28031,32.7,22721,5,41.9,36.4,21494,115.5,155.3,12414,16527,0.254,0.538,0.192,0.35,0.37,0.14,0.361,0.652,75.82,15.9,0.12,35.14,0.13
28033,26,164113,3.4,56.1,29.2,160025,141.2,36.7,25174,67910,0.282,0.479,0.208,0.401,0.37,0.12,0.418,0.647,114.72,21.7,0.19,12.78,0.34
28035,26.8,102629,1.5,59.5,31.5,92920,126.8,91.8,43395,68314,0.254,0.554,0.215,0.425,0.364,0.169,0.374,0.652,96.32,20.1,0.15,30.72,0.81
28037,27.5,10375,6.6,32.2,40.4,9832,82.2,34.2,5900,8377,0.237,0.512,0.194,0.35,0.393,0.232,0.436,0.646,63.42,22.2,0.11,36.77,0.07
28039,28.2,34904,6.3,47.8,32.7,33934,126.8,123.5,3852,16673,0.233,0.557,0.216,0.425,0.364,0.169,0.52,0.726,79.6,23.8,0.13,9.35,0.31
28041,31,17051,0,53.9,62,19272,66.1,215.7,8074,10220,0.251,0.557,0.196,0.376,0.361,0.169,0.618,0.652,68.87,18.7,0.15,21.45,0.53
28043,21.2,26372,0,40.9,25.4,23924,130,45.1,17638,21555,0.207,0.478,0.194,0.377,0.37,0.127,0.536,0.619,86.71,20.3,0,41.28,0.22
28045,24.4,71227,2.7,50,32.1,70872,134,139.9,7350,31760,0.254,0.53,0.197,0.403,0.364,0.171,0.52,0.707,97.43,23.9,0.16,9.17,1.81
28047,29.4,268318,4.9,66.5,39.7,263869,120.6,77.7,69167,165365,0.254,0.557,0.215,0.428,0.364,0.169,0.52,0.726,106.21,23.8,0.17,19.61,1.84
28049,27.5,240801,2.9,45.3,43,216905,101.2,111.6,243008,254441,0.205,0.452,0.189,0.35,0.356,0.171,0.536,0.716,110.45,27.5,0.16,50.93,0.4
28051,34.9,10475,0,12.4,56.2,9222,82.3,57.2,30409,21604,0.205,0.452,0.189,0.35,0.356,0.171,0.536,0.658,44.77,18.3,0.12,75.84,0.41
28053,50.1,7210,0,66.5,72.3,6560,107.7,118.5,14358,12134,0.231,0.452,0.189,0.35,0.356,0.171,0.536,0.69,56.42,27.5,0,68.07,0.15
