fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
30001,20.9,17087,0,49.5,42.3,17849,79.2,0,22,8424,0.22,0.503,0.197,0.456,0.3,0.133,0.527,0.658,103.68,17.5,0.13,0.18,0.93
30003,24.7,10243,17.8,63,49.1,10504,67.2,0,32,11337,0.235,0.502,0.209,0.466,0.321,0.164,0.315,0.656,70.7,20,0.18,0.14,2.31
30005,0,8151,12,9.1,8.2,8312,32.6,0,6,6728,0.218,0.572,0.206,0.573,0.352,0.145,0.583,0.63,82.08,10.5,0.08,0.02,0.92
30007,39.7,7859,0,32.1,67.1,8176,77.4,0,4,3318,0.218,0.524,0.235,0.422,0.299,0.145,0.52,0.691,99.62,20.8,0.15,0,1.2
30009,25.7,19016,5.4,50.7,19.4,18239,53.5,0,12,8080,0.188,0.502,0.209,0.442,0.291,0.161,0.605,0.656,101.52,17.5,0.21,0.06,0.81
30011,0,2846,0,22.5,29.8,3061,54.8,74.07001355,0,1503,0.253,0.534,0.22,0.417,0.33,0.155,0.66,0.834,87.8,20.6,0.14,0,0.79
30013,24.8,148891,1,46.3,32.4,144909,80.6,0,2618,77691,0.218,0.55,0.235,0.469,0.319,0.145,0.461,0.721,113.75,20.9,0.15,1.29,1.88
30015,23.9,9739,0,23,38.9,10211,26.5,0,1,5452,0.218,0.506,0.206,0.466,0.346,0.161,0.583,0.526,106.61,20,0.08,0,0.89
30017,27.8,24153,2.1,68.3,42.1,22970,80.8,0,60,11697,0.211,0.534,0.209,0.466,0.304,0.137,0.315,0.656,101.48,20,0.14,0.13,1.71
30019,35.4,4041,9.9,27,38,3979,59,74.07001355,0,2266,0.218,0.558,0.209,0.512,0.348,0.145,0.517,0.63,98.05,27.5,0.17,0,0.39
30021,16.1,17667,12.2,33.6,22.5,17491,60.6,74.07001355,0,9505,0.241,0.521,0.209,0.399,0.348,0.137,0.583,0.639,105.02,20.6,0.18,0,1.04
30023,12.6,19370,4.9,43.9,28.6,18947,72.1,0,115,10278,0.215,0.506,0.189,0.466,0.302,0.126,0.527,0.646,91.27,19.6,0.13,0.2,1.05
30025,56.6,5836,0,24.8,29.3,5770,26.6,0,38,3103,0.252,0.534,0.22,0.48,0.348,0.137,0.639,0.755,103.91,22.8,0.14,0,0.35
30027,31.3,24811,0,38.1,46.6,24077,78.3,0,37,12083,0.211,0.502,0.235,0.466,0.275,0.145,0.461,0.721,102.69,20,0.15,0.04,0.53
30029,35.6,140700,3.2,37,40.2,140217,77.5,0,240,59218,0.226,0.506,0.206,0.494,0.294,0.208,0.333,0.681,110.66,18.1,0.16,0.09,1.15
30031,23.1,117652,2.9,24.6,40.7,124106,52.1,0,330,50463,0.203,0.448,0.095,0.339,0.231,0.122,0.68,0.735,119.98,12.4,0.15,0.15,1.43
30033,99,2744,0,31.2,72.8,2874,28.9,0,12,1589,0.211,0.518,0.209,0.478,0.303,0.144,0.517,0.656,93.58,20,0.2,0,0.12
30035,34.1,10289,0,44.3,23.2,10389,67.5,0,38,12121,0.226,0.506,0.215,0.499,0.352,0.208,0.455,0.526,80.4,18.5,0.11,0.04,0.8
30037,0,1974,0,38.6,32.9,2068,107.8,74.07001355,0,912,0.211,0.55,0.218,0.466,0.311,0.161,0.461,0.656,84.24,20,0.15,0,0.54
30039,0,4973,0,30.1,102.9,5461,44.8,74.07001355,0,2548,0.215,0.526,0.225,0.466,0.304,0.153,0.517,0.681,91.3,19.6,0.19,0,0.39
30041,21.3,28612,6.4,26.2,12.1,28520,83.7,0,71,17654,0.325,0.572,0.403,0.637,0.352,0.137,0.511,0.526,107.93,10.5,0,0,1.26
30043,36,19145,6.3,42.8,63.7,19970,84.5,0,27,7939,0.203,0.524,0.194,0.429,0.304,0.117,0.562,0.691,117.11,16.7,0.17,0.02,1.03
30045,15.4,4443,21.8,15.3,68.8,4665,67.3,74.07001355,0,2282,0.211,0.55,0.209,0.466,0.291,0.158,0.461,0.656,103.89,20,0.15,0,0.43
30047,45.1,39293,8.2,38.7,36,38856,60.4,0,48,21041,0.215,0.506,0.225,0.48,0.319,0.187,0.461,0.654,96.42,18.1,0.19,0.02,1.58
30049,24.1,105032,0.8,43.4,46.7,102084,68.3,0,228,47495,0.254,0.565,0.247,0.466,0.304,0.117,0.356,0.691,121.44,20.8,0.29,0.1,1.1
30051,48.2,4616,0,30.6,0,4278,40.5,0,68,2295,0.218,0.506,0.206,0.48,0.352,0.137,0.511,0.526,103.87,18.1,0,0.17,0
30053,25.6,36322,2.5,41.9,35,36989,99.3,0,14,17481,0.226,0.529,0.225,0.499,0.294,0.208,0.455,0.654,93.64,18.5,0.19,0.01,1.09
30055,15.4,3832,0,35.2,0,3923,67.2,0,16,2276,0.211,0.502,0.209,0.466,0.275,0.144,0.517,0.656,98.96,20,0.15,0.08,0
30057,42,13072,0,43.8,47.4,14138,50,74.07001355,0,5989,0.17,0.434,0.192,0.452,0.319,0.138,0.461,0.653,106.13,16.7,0.15,0,0.96
30059,21.8,3378,0,121.7,30.4,3667,37.3,0,2,1819,0.203,0.55,0.235,0.469,0.275,0.158,0.613,0.634,89.76,20,0.15,0,1.7
30061,21.6,7179,0,35,43,7377,125.8,0,9,3315,0.226,0.529,0.243,0.459,0.313,0.131,0.579,0.658,92.45,19.1,0.19,0.12,1.71
