fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
37001,23.3,196412,2,46.9,31.6,180586,93.3,70.7,42938,108213,0.247,0.569,0.226,0.443,0.335,0.114,0.588,0.725,113.18,21.7,0.3,19.24,0.66
37003,19.5,58064,3.3,32.2,46.5,57479,105.6,57.8,3812,27544,0.289,0.538,0.244,0.447,0.344,0.118,0.525,0.67,99.09,20,0.34,6.13,0.35
37005,33.7,19856,0,30.4,37.6,18463,61.2,0,413,9590,0.291,0.603,0.253,0.466,0.316,0.134,0.525,0.672,85,21.5,0.19,2.01,0.89
37007,27.8,24982,0,41.2,24.8,24138,55.5,150.7,23287,23474,0.283,0.518,0.252,0.404,0.345,0.114,0.481,0.72,89.33,23.3,0.3,47.31,0.17
37009,19.9,48794,2.8,34.5,30,46050,85,0,375,22209,0.248,0.52,0.244,0.446,0.338,0.134,0.528,0.67,84.1,20.1,0.22,0.53,0.58
37011,15.1,31147,2.5,46.7,28.6,31177,73.9,0,567,14867,0.248,0.52,0.274,0.491,0.303,0.134,0.528,0.644,94.33,20.1,0.31,0.78,0.43
37013,26.5,62959,1.9,48,37.4,58295,143.9,76.5,25537,42283,0.274,0.544,0.211,0.409,0.357,0.133,0.433,0.669,93.44,23.3,0.23,31.15,0.48
37015,28.5,16411,3.7,40.6,45.2,15047,123.6,52.7,22697,20388,0.286,0.544,0.204,0.403,0.372,0.139,0.506,0.688,71.37,24.6,0.17,61.43,0.16
37017,29.6,37060,7.3,31.5,36.1,34444,99.3,67.8,22202,28663,0.272,0.556,0.215,0.406,0.351,0.125,0.444,0.688,79.33,23.3,0.24,39.2,0.4
37019,24.3,109297,4.5,53.8,25.4,107710,94.6,83.4,22932,50985,0.272,0.556,0.264,0.434,0.334,0.141,0.51,0.692,104.45,23.3,0.23,18.01,0.6
37021,31.5,365797,2.5,38.5,31.5,334420,81.2,57.1,30847,174821,0.363,0.599,0.268,0.499,0.237,0.145,0.528,0.714,114.85,20.1,0.31,8.06,0.66
37023,27.5,151043,7.3,44.1,21.2,145639,100.3,24.2,12959,75744,0.229,0.532,0.274,0.448,0.303,0.117,0.481,0.67,100.64,19.7,0.31,6.67,0.37
37025,24.3,208420,3.9,37.7,27.5,198663,91.6,74.5,29489,98935,0.239,0.569,0.247,0.438,0.338,0.108,0.481,0.678,114.68,19.8,0.33,12.98,0.45
37027,22.4,144505,3.3,33.6,38.8,139571,110.1,96.7,8284,70709,0.248,0.52,0.244,0.438,0.326,0.117,0.525,0.672,98.18,20.1,0.24,5.54,0.43
37029,44,9795,0,59.5,9.7,10107,71.3,51.7,3308,5904,0.279,0.584,0.215,0.458,0.36,0.139,0.482,0.727,95,22.8,0.19,24.94,0.11
37031,30.1,107483,2.1,47,34.9,106095,104,47,9903,52556,0.288,0.544,0.204,0.5,0.312,0.133,0.51,0.727,113.76,17.8,0.23,8.1,0.69
37033,14.8,25419,3.9,35.8,53.5,25268,126.2,118.3,18895,20693,0.283,0.569,0.231,0.446,0.31,0.114,0.588,0.72,86.33,23.1,0.29,40.9,0.65
37035,28.3,240978,3.8,42.8,36.9,229174,98.2,197.5,22787,118412,0.229,0.516,0.253,0.438,0.303,0.108,0.481,0.692,112.44,19.7,0.34,9.01,0.58
37037,31.6,70046,1.5,29.7,32.2,67525,62.6,63,20102,38759,0.269,0.498,0.207,0.404,0.31,0.115,0.588,0.72,110.74,21.5,0.3,22.88,1.3
