fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
38001,25.1,5466,0,13.1,31.3,5384,49.3,0,2,3174,0.232,0.53,0.21,0.456,0.319,0.118,0.595,0.641,99.33,18.4,0.23,0,0.06
38003,25.2,24164,4.3,20.3,45.2,23211,64.8,0,79,12545,0.191,0.516,0.19,0.423,0.372,0.097,0.547,0.613,101.02,21.9,0.19,0.32,0.56
38005,33,7659,13,16.5,51.8,7971,35.2,74.07001355,0,7198,0.193,0.493,0.209,0.385,0.36,0.119,0.537,0.661,70.65,22,0.1,0,0.2
38007,0,2068,0,0,218.2,2266,0,0,5,1108,0.238,0.514,0.209,0.387,0.355,0.118,0.583,0.639,89.44,20,0.18,0,0
38009,8.9,14436,0,25,35.7,14684,40,0,20,8011,0.238,0.558,0.209,0.385,0.378,0.118,0.512,0.693,102.16,27.5,0.2,0.09,0.38
38011,53.9,6692,17.8,28.1,33.5,6456,125.1,74.07001355,0,3596,0.237,0.53,0.234,0.478,0.31,0.102,0.838,0.73,102.81,19.3,0.17,0,0.22
38013,30,4555,0,46.6,47.3,4609,82.4,0,4,3002,0.238,0.558,0.209,0.41,0.384,0.118,0.512,0.639,90.25,27.5,0.15,0,0.36
38015,28.7,132216,1.5,32.5,29.6,123889,55.6,0,252,60131,0.224,0.467,0.213,0.451,0.331,0.118,0.539,0.684,122.15,15.5,0.11,0.11,0.55
38017,27.6,226445,3.9,34.1,35.2,224260,71.4,0,885,102874,0.241,0.516,0.19,0.423,0.312,0.097,0.547,0.685,123.76,19.3,0.26,0.29,0.69
38019,31,10058,5.3,29.4,51,9990,57.4,0,2,6064,0.193,0.595,0.2,0.41,0.378,0.106,0.564,0.593,100.94,25.6,0.2,0.08,0.03
38021,11.5,11289,0,37.6,63.5,11108,64.9,0,24,6107,0.224,0.513,0.19,0.423,0.357,0.097,0.547,0.685,94.37,19.3,0.24,0.09,0.6
38023,30.8,4754,0,28,51.1,4773,98,74.07001355,0,2899,0.238,0.514,0.209,0.399,0.344,0.118,0.512,0.656,97.69,27.5,0.2,0.06,0
38025,0,6142,0,22.4,38.8,6504,35.4,0,14,4005,0.232,0.514,0.209,0.387,0.348,0.115,0.512,0.639,86.13,27.5,0.11,0,0.52
38027,26.3,5627,0,20.9,41.5,5515,67.9,74.07001355,0,2951,0.224,0.516,0.2,0.451,0.384,0.097,0.539,0.656,92.88,24.7,0.11,0,0.27
38029,44.4,8537,0,16.8,41.6,8828,104.4,74.07001355,0,4830,0.224,0.467,0.213,0.402,0.331,0.1,0.539,0.684,78.49,15.5,0.11,0,0.18
38031,66.2,7712,0,30.5,30.9,7364,61.3,74.07001355,0,3983,0.193,0.492,0.213,0.451,0.36,0.108,0.539,0.661,97.5,24.7,0.14,0,0.47
38033,41.9,3649,12.6,30.7,42.6,3647,0,0,4,2108,0.241,0.521,0.209,0.411,0.348,0.115,0.512,0.639,101.35,22.8,0.14,0,0
38035,23.1,124918,4.1,44.2,39.6,129188,66,0,3311,70683,0.193,0.492,0.2,0.47,0.317,0.119,0.465,0.664,119.9,24.7,0.1,1.99,1.54
38037,53.6,5804,0,0,21.9,6032,77.7,0,1,3549,0.238,0.514,0.209,0.411,0.344,0.118,0.512,0.684,78.69,21.2,0.2,0.02,0.19
38039,47,5658,0,23.7,61,5697,51.8,74.07001355,0,3303,0.193,0.516,0.2,0.423,0.345,0.119,0.468,0.613,91.3,19.3,0.26,0,0.15
38041,33.7,5870,0,43.7,8,5779,90.8,74.07001355,0,3445,0.232,0.514,0.21,0.411,0.335,0.118,0.512,0.639,91.72,19.9,0.17,0,0.05
38043,18.4,5623,0,9.3,59.3,5947,33.7,74.07001355,0,3332,0.224,0.516,0.213,0.451,0.362,0.118,0.537,0.661,81.04,21,0.15,0,0.42
38045,32.2,9565,0,0,29.8,9765,34.4,74.07001355,0,5383,0.207,0.516,0.2,0.451,0.336,0.097,0.547,0.685,89.27,20.9,0.24,0,0.26
38047,11.6,4646,0,0,49.4,4773,69.2,0,9,2847,0.237,0.5,0.213,0.402,0.372,0.108,0.537,0.661,79,23.9,0.17,0,0.21
38049,20.1,11930,7.5,8,34.6,12357,54.6,0,12,6528,0.238,0.514,0.209,0.41,0.384,0.118,0.512,0.661,84.46,20.9,0.2,0.04,0.35
38051,35.4,7288,0,11.7,25.1,6724,64.3,0,6,4021,0.224,0.516,0.19,0.402,0.369,0.097,0.539,0.661,77.56,23.9,0.19,0,0.09
38053,16.2,9187,0,16.4,112.8,9789,48.3,0,19,6383,0.238,0.558,0.231,0.509,0.348,0.115,0.583,0.639,94.96,21,0.07,0.03,0.56
38055,25.9,17965,0,27,7.2,18388,41.8,0,18,10457,0.232,0.555,0.21,0.441,0.362,0.115,0.512,0.639,95.2,21.4,0.2,0,0.14
38057,26.2,17975,5.2,65.1,44.5,18191,70.1,0,56,9808,0.238,0.555,0.21,0.419,0.355,0.115,0.512,0.639,107.65,27.2,0.11,0.02,1.12
38059,29.7,48331,3.7,27.8,23.6,47368,61.6,0,39,23700,0.247,0.503,0.231,0.468,0.355,0.148,0.585,0.723,104.77,21,0.21,0.07,0.2
38061,16.2,10114,10.1,46.4,19.9,10230,51.5,0,8,7021,0.238,0.558,0.209,0.451,0.344,0.118,0.512,0.639,87.58,27.5,0.17,0.04,0.22
38063,44.9,7626,0,34.3,43.1,7429,74.1,0,1,4410,0.191,0.477,0.2,0.423,0.384,0.119,0.578,0.617,91.1,24,0.12,0.11,0.22
38065,15.5,4088,19.8,27.8,0,4543,18.2,74.07001355,0,2381,0.238,0.514,0.213,0.451,0.344,0.118,0.539,0.693,92.68,21,0.11,0,0
38067,28.8,16873,4.5,48.3,46.9,16530,87.7,0,32,9238,0.219,0.556,0.2,0.452,0.384,0.115,0.578,0.593,104.87,20.5,0.14,0.28,0.85
38069,28.1,9223,10.5,35.6,31.2,9087,98.9,0,5,5052,0.238,0.558,0.209,0.385,0.384,0.118,0.512,0.656,92.93,20.9,0.2,0,0
38071,26.9,23302,0,43.4,47.9,22590,38,0,46,12681,0.238,0.595,0.2,0.452,0.384,0.106,0.578,0.661,105.88,20.9,0.1,0.08,0.09
38073,15.5,11086,2.6,33.7,64.7,11928,41.6,0,8,5921,0.191,0.492,0.213,0.423,0.369,0.108,0.547,0.613,102.78,24.6,0.23,0.11,0.38
38075,15.3,5554,0,30.9,14,5567,54.1,0,24,3160,0.238,0.558,0.209,0.385,0.384,0.118,0.516,0.693,100.59,27.5,0.2,0.06,0.37
38077,30.5,33724,2.9,8.5,23.5,36245,56.1,0,83,18148,0.239,0.516,0.199,0.357,0.372,0.09,0.547,0.685,105,20.1,0.23,0.08,0.44
38079,16,8486,9,29.8,29.1,8213,85.6,0,67,12772,0.238,0.595,0.209,0.452,0.384,0.118,0.516,0.693,59.19,27.5,0.2,0.07,0.44
38081,15.7,8501,0,54.3,35,9020,46.3,0,12,4549,0.191,0.477,0.213,0.451,0.369,0.097,0.563,0.613,99.64,24.6,0.24,0.06,0.08
38083,24.9,3325,0,28.9,15.7,3642,39.6,74.07001355,0,2148,0.224,0.555,0.21,0.451,0.368,0.118,0.512,0.684,71.47,23.3,0.1,0,0
38085,0,1557,0,208.8,86.2,1880,32.8,0,14,3761,0.232,0.53,0.213,0.419,0.337,0.115,0.512,0.641,47.21,21,0.12,0.37,0.93
38087,0,1557,0,0,0,1710,43.4,0,42,907,0.237,0.558,0.231,0.48,0.348,0.102,0.838,0.639,85.85,21,0.07,0,0
38089,19.2,45272,1.8,29.1,34.8,43843,56,0,89,22832,0.232,0.53,0.156,0.411,0.339,0.102,0.383,0.617,103.85,12.9,0.2,0.05,0.3
38091,29.4,4423,0,67.7,0,4514,25.5,74.07001355,0,2420,0.193,0.492,0.2,0.452,0.354,0.097,0.578,0.613,99.33,24.7,0.1,0,0.2
38093,30.1,42594,2.7,30.6,41.9,40283,85.3,0,151,22241,0.224,0.516,0.213,0.451,0.369,0.108,0.537,0.664,107.94,19.3,0.15,0.35,0.35
38095,44.4,6031,0,24.3,56.7,5981,97.3,74.07001355,0,3627,0.193,0.595,0.2,0.385,0.384,0.118,0.578,0.656,93.12,25,0.1,0.11,0
38097,21.1,17203,0,31.5,38.8,16787,45.5,0,45,8752,0.193,0.492,0.2,0.423,0.372,0.097,0.578,0.527,104.49,24,0.21,0.03,1.06
38099,28,26860,8.2,34.2,39.4,26619,56.3,0,45,13840,0.193,0.492,0.2,0.452,0.384,0.106,0.578,0.613,99.55,20.9,0.14,0.28,2.39
38101,28.9,111494,1.7,30.4,22.2,109705,54.3,0,3243,57921,0.238,0.514,0.209,0.385,0.344,0.118,0.512,0.693,113.78,27.5,0.06,2.43,1.68
38103,5.8,10727,0,37.5,25.4,10027,63.4,0,3,5864,0.224,0.514,0.2,0.441,0.378,0.108,0.512,0.661,90.5,15.5,0.1,0.06,0.1
