fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
31001,23.5,59520,3.7,31.9,23.8,56339,98.8,0,568,29625,0.254,0.535,0.166,0.318,0.367,0.092,0.133,0.602,114.67,23.5,0.31,0.43,0.67
31003,35.3,14772,0,29.1,16.3,14247,68.3,0,5,7965,0.202,0.476,0.177,0.356,0.344,0.087,0.683,0.532,95.87,24,0.06,0.16,0.08
31005,136.9,829,0,153.2,0,862,0,74.07001355,0,462,0.233,0.538,0.212,0.455,0.317,0.096,0.509,0.651,100.72,23.4,0.11,0,0
31007,0,1670,0,0,32.9,1733,41.8,0,15,852,0.29,0.538,0.234,0.49,0.329,0.136,0.544,0.682,102.74,19.9,0.2,0,1.64
31009,0,1218,0,76.1,0,1198,50,0,4,675,0.206,0.479,0.175,0.371,0.382,0.09,0.509,0.651,96.11,24,0.07,0.14,0
31011,31.9,12687,0,35.7,10.8,12797,49,0,16,6667,0.202,0.485,0.158,0.368,0.313,0.064,0.509,0.532,100.65,24,0.17,0.08,0.25
31013,16,25084,0,18.7,12.4,24459,59.1,0,118,13130,0.233,0.538,0.222,0.434,0.329,0.136,0.544,0.702,110.73,19.9,0.15,0.03,5.3
31015,11.3,5175,0,24.7,13.6,5186,34.6,74.07001355,0,2835,0.229,0.509,0.177,0.368,0.367,0.094,0.683,0.448,88.68,24,0.05,0,0.14
31017,4.7,7287,0,4.7,56.7,6884,35.6,0,4,3657,0.215,0.522,0.152,0.371,0.367,0.123,0.514,0.651,100.16,18,0.1,0,0.6
31019,19.8,80757,4.1,24.2,23.6,77279,79.8,0,616,37447,0.215,0.479,0.152,0.371,0.309,0.081,0.484,0.713,116.11,13.8,0.29,0.35,2.23
31021,29.2,16033,14.4,37.4,24.6,15259,61.6,0,12,7868,0.269,0.498,0.227,0.459,0.341,0.08,0.588,0.71,101.44,23.5,0.22,0.3,0.66
31023,12.3,17166,6.7,14.1,46.4,17085,61.8,0,31,8601,0.269,0.476,0.209,0.459,0.308,0.073,0.588,0.565,100.3,23.5,0.22,0.31,0.26
31025,20,47479,2.2,31.2,38.9,47826,88,0,131,21318,0.269,0.538,0.227,0.459,0.308,0.08,0.518,0.692,117.59,23.5,0.22,0.06,0.68
31027,3.3,19439,0,22.2,31.3,19270,33.3,0,43,10131,0.202,0.486,0.158,0.376,0.344,0.072,0.588,0.609,99.29,22.1,0.22,0.07,0.04
31029,11.7,8571,0,69.7,27,8355,43.7,0,4,4381,0.233,0.538,0.222,0.503,0.36,0.087,0.492,0.702,104.18,24.3,0.21,0.06,2.35
31031,16.5,12278,0,14.2,6.1,12276,61.1,0,22,6307,0.22,0.538,0.255,0.497,0.386,0.127,0.455,0.651,99.36,23.4,0.12,0.12,0.82
31033,19.9,19403,2.9,29.7,38.1,18148,47.7,0,66,9494,0.23,0.517,0.218,0.455,0.315,0.12,0.509,0.702,110.22,19.9,0.15,0.11,2.85
31035,25.2,14457,7.9,15.3,28,13890,96.7,0,20,7123,0.208,0.476,0.209,0.374,0.314,0.092,0.543,0.64,103.88,23.5,0.27,0,1.08
