fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
33001,28.1,104857,7.7,49.8,36.6,101933,79.3,0,238,49216,0.237,0.552,0.208,0.484,0.299,0.125,0.739,0.687,127.33,24.6,0.24,0.11,0.4
33003,23.6,79059,4,55.4,34.6,76090,69.3,0,196,35410,0.237,0.552,0.205,0.491,0.291,0.142,0.675,0.687,126.41,25,0.26,0.25,0.42
33005,23.4,146181,1.4,45.7,34.6,138058,81.1,0,517,70121,0.237,0.552,0.208,0.491,0.311,0.116,0.597,0.693,127.75,24.5,0.25,0.29,0.55
33007,22.8,67345,0.9,37.6,39.3,63527,83.1,0,93,34828,0.26,0.568,0.215,0.484,0.337,0.144,0.599,0.687,107.56,24.8,0.27,0.11,0.45
33009,36.7,155084,3.7,39.1,31.4,151225,67.8,0,951,74929,0.189,0.516,0.19,0.477,0.304,0.136,0.579,0.687,124.41,24.6,0.27,0.63,0.75
33011,30.2,714844,0.7,44.6,29.5,686672,80.8,0,7676,336073,0.237,0.544,0.208,0.491,0.291,0.103,0.599,0.687,138.42,24.6,0.25,0.88,1.69
33013,34.9,254201,1.2,40.7,24.1,247157,79.7,85.9,1566,120005,0.232,0.552,0.208,0.481,0.292,0.107,0.674,0.71,133.56,24.6,0.27,0.45,0.64
33015,28.8,527902,2.4,54.6,28.9,520657,81.9,0,5678,245845,0.24,0.536,0.208,0.491,0.288,0.112,0.704,0.72,143.23,24.6,0.27,0.89,1.08
33017,30.8,219993,3.5,53.3,35.2,207779,83.3,0,1484,104233,0.245,0.577,0.208,0.491,0.299,0.112,0.599,0.687,128.59,25,0.24,0.5,0.72
33019,34.3,80031,5.4,58.5,43.7,77719,93.2,0,158,38592,0.241,0.571,0.208,0.481,0.298,0.125,0.579,0.678,116.06,24.6,0.26,0.14,0.51
