fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
34001,36.9,371163,3.5,46.7,24.8,351556,82.8,38.9,88828,224327,0.209,0.469,0.191,0.452,0.322,0.145,0.588,0.67,126.95,25.4,0.23,17.46,6.88
34003,30.7,1490372,1.9,40.2,31.3,1379661,66.9,51,86126,825380,0.222,0.503,0.189,0.435,0.298,0.108,0.551,0.67,154.75,24.3,0.23,4.73,5.92
34005,30.9,681972,2.5,44.7,33.3,662251,74.4,57,138784,395066,0.215,0.48,0.199,0.471,0.318,0.108,0.543,0.67,141.33,25.2,0.23,14.39,3.28
34007,36.3,800819,2.1,47.8,33.8,752200,87.8,51.3,180166,502824,0.215,0.503,0.22,0.452,0.312,0.114,0.499,0.67,128.28,25.2,0.23,16.26,6.59
34009,36,186330,3.3,53.3,29,173885,89,49.5,12299,95089,0.209,0.514,0.199,0.48,0.312,0.131,0.588,0.669,126.35,25.4,0.23,5.34,2.09
34011,23.3,224733,4.7,48.9,26.7,213770,79.1,68.8,56138,138053,0.22,0.514,0.199,0.464,0.36,0.134,0.499,0.669,110.88,26,0.24,16.95,12.56
34013,32.8,819863,3.6,36.6,28.6,760820,66.4,75.9,600657,778206,0.222,0.503,0.189,0.413,0.298,0.123,0.551,0.67,127,24.3,0.23,40.68,11.97
34015,29.7,439963,2.3,53.9,29.5,425337,105.3,55,47084,230082,0.259,0.504,0.234,0.467,0.335,0.114,0.518,0.669,132.56,26,0.23,8.71,1.51
34017,31,854310,4.4,36.2,30.7,798712,81.2,81.3,163874,553099,0.209,0.489,0.189,0.389,0.318,0.151,0.543,0.664,117.26,24.3,0.23,14.43,32.76
34019,31.1,232435,2.4,38.1,36.2,232407,63.1,0,6142,107776,0.209,0.489,0.209,0.453,0.311,0.083,0.543,0.67,158.95,24.3,0.24,1.82,1.68
34021,32,503909,3.2,38.4,31.8,477006,70.8,71.6,132807,325824,0.266,0.503,0.189,0.473,0.311,0.108,0.551,0.67,137.96,26.7,0.23,18.79,5.74
34023,31.6,1164525,2.3,48.2,36.2,1125410,77.9,63.4,127484,671780,0.209,0.489,0.189,0.412,0.311,0.108,0.551,0.67,145.09,26,0.23,7.87,8.63
34025,34.5,1054247,3.1,48.1,30.8,1005504,77.8,50.9,108679,553124,0.209,0.489,0.199,0.48,0.312,0.108,0.588,0.669,148.11,24.3,0.23,8.57,3.94
34027,30.4,842037,1.9,42.3,29.5,806522,67,73,29525,421353,0.222,0.503,0.189,0.436,0.299,0.108,0.546,0.67,160.48,24.3,0.23,2.9,4.62
34029,33.8,967801,3.1,49.9,30.3,879853,85.2,103.4,31106,433203,0.209,0.489,0.199,0.48,0.322,0.108,0.588,0.669,134.93,24.3,0.23,2.72,3.18
34031,31.8,760392,3.7,40.1,32.3,719255,71.2,47.4,172780,453060,0.222,0.499,0.189,0.413,0.298,0.111,0.543,0.642,129.35,24.3,0.23,14.62,21.22
34033,28.5,108580,1.8,54.9,20.6,104079,72.7,38.8,20351,65294,0.226,0.503,0.234,0.472,0.352,0.092,0.51,0.669,119.88,26.7,0.23,14.81,1.9
34035,28.8,487135,1.8,33.6,34.2,472981,70.5,72,37886,240279,0.209,0.489,0.189,0.467,0.311,0.108,0.546,0.67,159.04,24.3,0.23,6.09,4.24
34037,30.5,278259,3.9,49.2,29,276642,79.9,0,3702,130943,0.243,0.529,0.189,0.443,0.326,0.151,0.498,0.642,149.12,24.3,0.23,0.84,2.08
34039,31.3,774767,2.3,35.8,32.1,721060,62.9,88.6,194108,493819,0.222,0.489,0.189,0.412,0.312,0.112,0.543,0.67,138.44,24.3,0.23,18.83,13.54
34041,26.5,196123,3.3,40.4,29.8,185933,62.3,150,3360,91607,0.222,0.503,0.189,0.435,0.298,0.111,0.546,0.642,136.14,24.3,0.22,1.34,1.84
