fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
35001,28.1,968801,2.7,35.6,35.2,921519,53.7,38.9,40461,480577,0.247,0.523,0.221,0.459,0.268,0.186,0.501,0.699,120.75,20,0.2,2.73,36.86
35003,44.8,5159,0,12.7,15.1,5860,64,0,21,2563,0.246,0.523,0.221,0.459,0.268,0.186,0.501,0.694,81.19,17.7,0.2,0,28.4
35005,21.7,120557,4.6,41.5,28.8,118195,70,26.2,3583,57849,0.185,0.523,0.159,0.344,0.349,0.289,0.486,0.661,95.79,15.4,0.08,2.13,36.6
35006,39.3,31532,0,29,26.4,31841,60.7,0,523,23794,0.246,0.523,0.159,0.38,0.334,0.186,0.501,0.66,68.34,18.8,0.17,1.19,33.75
35007,34.7,26925,4.2,31.5,46,26872,52.2,0,261,12925,0.27,0.531,0.237,0.467,0.3,0.183,0.633,0.671,96.58,19.2,0.14,0.29,46.86
35009,30,81219,5.3,42.4,38.2,78364,66.8,29.4,7652,42207,0.175,0.435,0.327,0.497,0.326,0.188,0.366,0.644,104.18,16.6,0.09,6.86,23.41
35011,54,4684,0,66.3,14.8,4541,0,0,5,2252,0.247,0.523,0.221,0.459,0.345,0.207,0.501,0.699,82.4,20,0.16,0.17,32.77
35013,23.2,324270,2.1,29.3,25.4,318650,57.9,0,7202,135510,0.194,0.494,0.154,0.337,0.345,0.253,0.399,0.658,97.6,18.4,0.13,1.56,56.31
35015,24.7,103585,4.3,32.8,34.9,100880,72.5,0,2581,48605,0.185,0.383,0.159,0.344,0.349,0.289,0.486,0.661,97.59,15.4,0.08,1.78,35.08
35017,21.2,61702,4.2,30.3,44.7,59732,56.6,0,469,27676,0.185,0.409,0.159,0.344,0.334,0.218,0.497,0.694,93.18,17.6,0.14,0.66,50.75
35019,25.1,8020,0,11.6,0,8197,35.8,0,94,4156,0.247,0.523,0.221,0.459,0.297,0.209,0.501,0.699,56.99,17.4,0.16,0,85.29
35021,0,1747,0,100.1,0,1818,85.4,0,4,987,0.224,0.531,0.202,0.46,0.282,0.183,0.547,0.644,89.3,20,0.16,0.6,45.69
35023,33.9,12307,8.2,8.2,20.9,12535,59.1,0,38,5958,0.194,0.439,0.179,0.358,0.297,0.204,0.517,0.661,91.2,15.4,0.16,0.67,50.26
35025,24.8,105432,4,40.1,34.4,104344,84.5,45.6,5819,55765,0.224,0.496,0.265,0.432,0.364,0.193,0.544,0.592,93.38,17.1,0.09,4.34,29.44
35027,25.6,31888,0,28.5,31.9,31228,73.8,0,273,12219,0.185,0.461,0.177,0.445,0.282,0.186,0.501,0.661,101.84,19.6,0.2,0.72,27.64
