fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
32001,15.9,39643,0,37.9,45.7,41457,65.1,0,621,17938,0.222,0.529,0.195,0.435,0.339,0.119,0.74,0.764,118.28,20,0.13,1.25,4.69
32003,28.1,1857568,3.4,61,30,1938397,88.6,41.1,236163,741459,0.207,0.474,0.146,0.358,0.315,0.204,0.517,0.654,123.46,18.6,0.14,9.5,10.88
32005,20.8,68516,2.6,57.5,30.7,70688,61.3,0,408,27637,0.239,0.499,0.161,0.416,0.339,0.149,0.732,0.764,135.43,19.1,0.13,0.35,5.95
32007,16.3,76282,0,42.2,45.5,86994,52.9,0,1013,33530,0.224,0.503,0.197,0.414,0.335,0.154,0.527,0.705,115.64,20.5,0.12,0.83,12.71
32009,35,1788,0,58.8,30.6,2382,137.2,0,25,1344,0.207,0.488,0.195,0.409,0.339,0.171,0.517,0.669,93.13,18.6,0.14,0.22,8.03
32011,41.4,3072,0,31.8,0,3881,46.3,0,19,1547,0.224,0.556,0.259,0.499,0.335,0.155,0.718,0.844,105.47,20.4,0.12,0.25,8.46
32013,36.8,29787,5.9,64.5,50.4,34457,72.2,0,465,12844,0.226,0.494,0.206,0.469,0.37,0.146,0.732,0.764,114.04,20.5,0.16,1.08,18.03
32015,31.3,12385,0,37.4,65.4,13564,52.9,0,7,6266,0.224,0.503,0.197,0.414,0.289,0.122,0.527,0.705,109.14,20.4,0.12,0.17,12.55
32017,33.1,7711,0,0,25.9,8157,73.2,0,336,3775,0.207,0.474,0.197,0.358,0.315,0.151,0.517,0.654,102.22,18.6,0.2,2.51,5.93
32019,29.8,53953,1.7,61.1,27.9,57322,83.2,0,420,20001,0.232,0.497,0.259,0.416,0.33,0.126,0.624,0.698,109.82,20.4,0.14,0.36,7.34
32021,12.1,8415,0,60.7,24.2,8808,56.4,0,726,6475,0.22,0.472,0.259,0.429,0.389,0.2,0.651,0.764,106.58,20.4,0.16,4.8,8.57
32023,26.5,48317,2.9,53.3,20.7,54852,84.3,0,1265,17781,0.207,0.474,0.179,0.416,0.315,0.154,0.517,0.669,109.84,18.6,0.14,1.63,6.91
32027,13,8697,0,42,44.2,9867,44.4,0,364,4336,0.227,0.499,0.259,0.499,0.32,0.155,0.743,0.773,101.8,20.4,0.13,0.06,14.55
32029,14.5,5433,17.8,33.7,32.1,5683,115.4,0,10,2526,0.232,0.499,0.232,0.422,0.33,0.134,0.624,0.697,125.2,20.4,0.15,0.27,5.18
32031,30.2,544130,3.1,57.1,38.4,563402,78.6,42.7,17277,254667,0.275,0.565,0.259,0.499,0.289,0.155,0.743,0.844,129.55,20.4,0.17,2.14,8.75
32033,37.7,16606,0,39.9,31.6,20698,43,0,1406,9264,0.207,0.474,0.185,0.384,0.315,0.151,0.517,0.662,109.21,17.5,0.14,2.25,8.33
32510,26.8,88628,2,55.6,36.1,92147,84.1,0,2824,40443,0.275,0.499,0.206,0.437,0.322,0.134,0.718,0.764,129.25,20.4,0.17,1.51,8
