fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
36001,28.4,540055,2.4,45.9,29.2,492965,75.6,73.9,52435,292594,0.209,0.419,0.247,0.479,0.332,0.083,0.543,0.739,133.41,24.6,0.22,8.41,1.86
36003,35.7,100205,5,36.9,31.9,99477,87.9,0,805,50470,0.221,0.52,0.28,0.464,0.319,0.091,0.495,0.648,106.14,24.9,0.26,0.52,0.73
36005,31.9,1353274,7.2,32,26.6,1170144,65.9,54.5,924758,1203789,0.209,0.489,0.199,0.389,0.318,0.151,0.543,0.664,98.95,24.3,0.24,37.51,42.27
36007,29.8,388527,2.8,44.1,31.5,362979,79.5,184,9670,212160,0.292,0.575,0.186,0.405,0.299,0.073,0.426,0.576,122.6,22.2,0.25,1.88,1.09
36009,31.8,167335,4.4,48.1,31.3,159099,78,0,1979,84234,0.256,0.537,0.262,0.464,0.324,0.088,0.495,0.604,104.87,24.9,0.23,0.96,0.54
36011,24.7,157242,1.8,39.9,35.3,153307,65.6,53.5,11157,82313,0.248,0.508,0.28,0.481,0.322,0.1,0.568,0.657,113.3,23.6,0.26,3.85,1.39
36013,23.7,276955,3.4,38.5,33.7,260315,69.4,0,8057,141895,0.221,0.52,0.262,0.486,0.324,0.076,0.495,0.678,108.28,24.6,0.2,1.61,2.88
36015,35.8,178019,5.1,52,25.6,163229,96.1,56.3,15334,95195,0.287,0.544,0.262,0.501,0.332,0.089,0.495,0.604,114.23,23.9,0.21,5.38,1.32
36017,28,102807,3.9,32,30.5,99213,78.9,0,1205,51768,0.236,0.544,0.23,0.462,0.331,0.1,0.568,0.657,111.48,26.2,0.22,0.76,0.86
36019,26.7,150180,1.4,45.6,27.6,148593,84,0,13270,85969,0.266,0.578,0.28,0.502,0.304,0.162,0.512,0.687,113.56,26.2,0.17,4.24,2.45
36021,36.4,121792,4.6,45.6,26.8,117705,72.1,0,6814,62982,0.222,0.531,0.199,0.499,0.331,0.094,0.543,0.649,121.92,24.6,0.24,3.79,1.56
36023,18.5,98366,5.2,43.9,28.9,90818,92.5,0,840,48963,0.287,0.552,0.23,0.518,0.326,0.1,0.45,0.604,116.34,23.3,0.22,0.82,1.25
36025,27.2,92768,4,39,32,89738,74.7,0,1320,47225,0.219,0.531,0.225,0.48,0.331,0.094,0.551,0.628,110.09,24.6,0.23,0.55,1.34
36027,30.9,463999,2,47.5,38.5,461813,83.8,64.6,54486,259462,0.209,0.499,0.191,0.48,0.328,0.123,0.543,0.654,141.68,24.6,0.23,8.28,3.6
36029,33.2,1661165,2.3,46.4,32.8,1533639,84.6,47.8,229067,968532,0.221,0.52,0.262,0.505,0.324,0.076,0.495,0.735,118.7,24.9,0.3,11.32,2.17
36031,22,71631,5.2,41.6,44.7,72745,85,0,4628,37152,0.266,0.546,0.226,0.509,0.332,0.099,0.543,0.687,109.67,26.2,0.21,2.76,1.98
36033,28.9,84747,1.2,51.6,35.7,88688,84.5,0,11754,46540,0.248,0.578,0.28,0.502,0.304,0.162,0.512,0.657,99.11,26.2,0.17,3.62,2.31
36035,26.2,106451,1.8,39.9,36.1,101024,86.5,0,2954,54191,0.251,0.552,0.227,0.509,0.332,0.11,0.512,0.653,107.2,26.2,0.25,1.32,0.6
36037,31.4,119314,2.9,45.9,37.2,114567,101.9,34.5,2770,60060,0.221,0.52,0.28,0.503,0.324,0.076,0.495,0.678,119.82,24.9,0.26,1.78,0.63
36039,34.1,89065,6.1,53.8,22.6,88094,96.6,117.6,10195,44739,0.209,0.511,0.191,0.467,0.332,0.098,0.543,0.642,116.92,25.7,0.23,4.78,3.52
36041,38.2,10330,0,52.5,20.8,10384,65.6,0,28,5279,0.236,0.554,0.247,0.477,0.332,0.095,0.568,0.687,108.8,26.2,0.22,0.37,0.43
36043,36.4,131447,4.7,48.8,27.9,124346,80.2,0,676,65797,0.251,0.552,0.227,0.479,0.332,0.11,0.418,0.649,107.44,26.2,0.21,0.25,0.46
36045,31.7,198118,3.9,51.2,40.1,203888,91.4,0,22318,110943,0.237,0.47,0.28,0.503,0.319,0.085,0.41,0.657,112.46,25.6,0.17,6,2.72
36047,32.2,2464753,3.4,30.8,22.7,2246971,59.8,64.2,1664127,2300664,0.201,0.415,0.191,0.345,0.339,0.199,0.543,0.67,111.74,24.3,0.23,37.97,19.45
36049,24.1,54178,2.1,31.5,42,54323,84,0,392,26796,0.251,0.508,0.23,0.509,0.322,0.162,0.418,0.657,105.66,25.6,0.26,0.34,0.48
36051,34.2,129151,2.2,48.1,24.1,121628,88.1,193.8,5199,62372,0.221,0.52,0.262,0.505,0.324,0.076,0.495,0.735,122.55,24.9,0.21,2.38,1.38
36053,32.3,140281,2.1,48.6,32.1,136731,106.8,0,2212,69120,0.251,0.552,0.23,0.509,0.322,0.11,0.568,0.657,119.93,26.2,0.26,1.01,0.73
36055,30,1239297,2,44.3,30.2,1161636,70.6,68.4,178416,713968,0.18,0.439,0.28,0.503,0.319,0.056,0.41,0.806,130.2,22.2,0.26,11.83,3.46
36057,23.4,104237,1,41.4,28.4,95928,61.7,0,1461,51981,0.228,0.552,0.223,0.509,0.311,0.099,0.551,0.642,107.8,26.2,0.25,0.87,5.04
36059,32.3,2291028,2.3,40.1,27.2,2167700,59.5,64.3,232089,1287348,0.209,0.499,0.202,0.48,0.312,0.108,0.551,0.681,157.64,24.3,0.23,8.62,5.66
36061,33.1,2033582,3.2,33.2,30.2,1848659,51.1,53.1,759367,1487536,0.222,0.489,0.189,0.443,0.298,0.151,0.543,0.67,142.7,24.3,0.23,22.02,25.59
36063,31.9,416511,2.6,47.7,29.7,389519,86.1,28.9,25466,220756,0.258,0.537,0.28,0.503,0.319,0.085,0.494,0.678,115.03,22.2,0.26,5.47,1.11
