fips,breast.wf9699,pop.wf9699,cervix.wf9699,lung.wf9699,prostate.wm9699,pop.wm9699,lung.wm9699,prostate.bm9699,pop.bm9699,Totalpop,Smokecurmsm,Smokevrmsm,Smokecurmsf,Smokevrmsf,Obesesm,Noinssm,Mammog2ysm,Pap3yrsm,ses1990,CR9599Sm,fobt2ysm,BlackPct,HispPct
39001,26.3,57461,6.8,42,53.5,55521,104.6,300,204,25371,0.309,0.545,0.27,0.444,0.364,0.19,0.414,0.662,69.92,26.3,0.17,0.09,0.15
39003,28.4,188367,4.7,41.6,29.8,183733,78.2,100.1,29347,109755,0.281,0.527,0.233,0.457,0.374,0.106,0.54,0.692,111.56,24.2,0.14,11.14,0.82
39005,27.9,103043,4.2,26.7,24.4,98606,64.9,0,1438,47507,0.291,0.545,0.212,0.506,0.336,0.085,0.521,0.669,110.67,23.8,0.27,0.96,0.53
39007,25.2,203017,3.2,43.1,35.6,191218,97,27,7281,99821,0.258,0.537,0.246,0.486,0.336,0.085,0.571,0.678,103.66,25.5,0.27,2.9,1.53
39009,29.3,117663,3.9,35.4,29.1,112952,109.8,0,3825,59549,0.285,0.545,0.212,0.423,0.376,0.104,0.537,0.663,100.19,26,0.21,2.88,0.78
39011,31.1,95502,1.3,34.5,28.7,90812,80.8,0,267,44585,0.281,0.527,0.233,0.438,0.396,0.106,0.537,0.739,117.58,22.1,0.14,0.12,0.52
39013,26.1,142685,4.2,46,30.8,131199,106.3,26.7,7177,71074,0.263,0.537,0.246,0.426,0.345,0.131,0.546,0.641,99.67,24.5,0.17,1.67,0.12
39015,27.9,80649,6.5,59,30.3,78686,121.6,77.6,1125,34966,0.282,0.515,0.222,0.456,0.383,0.163,0.549,0.713,96.68,26.4,0.23,0.95,0.06
39017,29.1,633403,2.1,53.8,27.7,598129,91.4,50.6,31397,291479,0.308,0.495,0.245,0.386,0.33,0.109,0.549,0.662,122.55,22.8,0.22,4.44,0.5
39019,29,57914,1.7,34.5,31.3,56596,65.5,0,317,26521,0.283,0.537,0.246,0.452,0.336,0.11,0.537,0.668,103.63,25.7,0.27,0.41,0.49
39021,38.8,74280,1.2,42.3,35,72850,107.7,78,2471,36019,0.281,0.545,0.235,0.426,0.396,0.104,0.537,0.662,112.49,24.7,0.24,2.49,0.61
39023,29.7,269009,1.8,58.2,30,251110,94.7,84.7,27187,147548,0.285,0.545,0.234,0.456,0.396,0.104,0.622,0.692,112.31,24.6,0.27,8.96,0.54
39025,29.4,348763,3.3,53.3,32.8,337424,123.6,131.3,3492,150187,0.282,0.527,0.234,0.485,0.312,0.104,0.622,0.739,119.63,24.1,0.27,0.82,0.53
39027,25.9,78927,6.3,50.7,27.6,75218,79.5,387.7,1878,35415,0.285,0.545,0.235,0.456,0.396,0.104,0.385,0.72,108.97,24.7,0.27,2.03,0.32
39029,32.3,225626,6,41.4,33.3,211359,82.2,0,3445,108276,0.263,0.537,0.257,0.456,0.335,0.11,0.562,0.668,102.58,24.4,0.2,1.24,0.45
39031,27.8,72881,4.3,50.3,18.7,68627,79.2,0,995,35427,0.285,0.545,0.212,0.426,0.302,0.104,0.42,0.669,101.89,23.8,0.24,1.31,0.2
39033,26.5,96374,3.8,42.1,35.7,90206,96,446.1,639,47870,0.265,0.545,0.235,0.426,0.357,0.089,0.571,0.68,103.6,24.7,0.22,0.31,0.41
39035,29.8,2063102,2.7,39.9,30.8,1873662,73.5,72.4,677531,1412140,0.258,0.537,0.246,0.506,0.336,0.085,0.571,0.68,118.55,25.7,0.3,24.77,2.15
39037,32.8,110470,5.9,30.4,31.6,104386,80.9,0,471,53619,0.281,0.515,0.257,0.426,0.33,0.106,0.521,0.662,109.94,22.1,0.23,0.54,0.65
39039,35,79014,6.2,38.5,31.9,77058,66.8,0,1422,39350,0.281,0.533,0.244,0.439,0.338,0.098,0.54,0.631,114.4,22.7,0.14,1.49,6.91
39041,24.8,185716,2.3,40.2,24.8,183094,65.3,156.9,4582,66929,0.285,0.545,0.212,0.426,0.345,0.089,0.385,0.72,133.12,27,0.24,2.19,0.39
39043,32,144672,4.1,50.1,27.9,137933,95.9,41.5,13516,76779,0.291,0.535,0.269,0.506,0.309,0.096,0.558,0.704,117.71,21.7,0.26,8.13,1.19
39045,24.9,243640,2.3,39.2,23.1,238605,66.5,225,4494,103461,0.285,0.545,0.212,0.426,0.376,0.104,0.537,0.72,120.83,27,0.24,1.18,0.47
39047,19.3,56410,4.7,52.7,18.1,53482,87.5,68.6,1621,27466,0.285,0.545,0.245,0.468,0.354,0.104,0.385,0.72,98.31,26.4,0.24,2.41,0.29
39049,31,1672216,1.6,52.8,30.7,1568797,96.2,62.8,335657,961437,0.285,0.545,0.212,0.426,0.277,0.104,0.385,0.72,126.42,27,0.24,15.89,0.84
39051,21.9,83879,0,31.6,36.1,80797,71.3,0,305,38498,0.285,0.574,0.25,0.5,0.333,0.108,0.558,0.675,117.06,22.7,0.18,0.3,4.4
39053,17.8,64833,3.2,23.3,24.5,62026,103.7,0,2307,30954,0.25,0.59,0.218,0.423,0.376,0.119,0.537,0.686,90.39,24.9,0.17,2.93,0.33
39055,27.4,173483,1.7,38.2,24.4,170413,63.6,0,2554,81129,0.258,0.537,0.246,0.486,0.336,0.085,0.571,0.668,131.3,22.7,0.3,1.18,0.3
39057,31.3,269949,3.5,44.9,34.1,261255,81.7,28.6,21374,136731,0.282,0.527,0.215,0.456,0.312,0.104,0.436,0.662,128.16,22.8,0.24,7.05,0.93
39059,26,82872,5.8,33,24.8,76002,111.8,1550.8,1609,39024,0.291,0.537,0.297,0.46,0.356,0.11,0.537,0.669,96.38,20.5,0.16,1.44,0.27
39061,31.7,1338034,2.7,52.7,32,1223425,85.6,68.7,357604,866228,0.282,0.515,0.199,0.456,0.312,0.104,0.622,0.746,120.48,24.1,0.27,20.87,0.55
39063,31.5,138725,4.1,42.4,35.9,130894,68.7,0,1545,65536,0.285,0.545,0.235,0.448,0.357,0.106,0.537,0.692,121.91,24.7,0.24,1.04,2.34
39065,28.8,63490,6,46.3,22,61135,90,397.2,633,31111,0.281,0.533,0.233,0.438,0.333,0.104,0.521,0.692,101.08,24.5,0.24,0.61,0.45
39067,38.1,32136,2.7,35.8,22.8,30324,126,0,898,16085,0.285,0.537,0.257,0.426,0.335,0.11,0.537,0.669,91.52,24.3,0.17,2.48,0.25
39069,25.4,60016,2.5,22.5,39.1,57783,70.3,0,440,29108,0.264,0.533,0.233,0.439,0.333,0.096,0.574,0.675,113.38,24.5,0.14,0.37,4.18
39071,28.6,80238,1.7,42.5,36.3,76141,97.2,69.2,1833,35728,0.285,0.545,0.236,0.485,0.383,0.104,0.515,0.72,92.56,27,0.24,2.03,0.34
39073,23.9,56860,4.9,68.4,34.8,56788,92.3,0,883,25533,0.285,0.545,0.212,0.426,0.376,0.104,0.385,0.72,95.89,27,0.24,0.59,0.29
39075,39.7,75754,3.2,24.3,26.4,73742,41.5,74.07001355,211,32849,0.258,0.537,0.246,0.426,0.342,0.11,0.571,0.68,79.3,23.8,0.2,0.03,0.12
39077,30.5,120692,2.4,36.1,24.7,115085,67.4,0,1569,56240,0.265,0.537,0.246,0.506,0.336,0.085,0.571,0.68,110.1,25.7,0.22,1.06,1.42
39079,36.4,66781,3.1,54,43.2,61582,104.2,0,585,30230,0.309,0.59,0.256,0.426,0.364,0.119,0.414,0.663,80.77,25.5,0.17,0.59,0.04
39081,36.1,147327,0.4,44.8,33.6,133141,98.3,67.5,8775,80298,0.278,0.537,0.257,0.456,0.318,0.11,0.537,0.669,100.51,24.4,0.21,5.49,0.48
39083,32.7,107183,1,36.2,34.8,100915,71.1,0,941,47473,0.285,0.545,0.212,0.426,0.309,0.092,0.537,0.669,108.66,27,0.24,1.08,0.19
39085,26.6,452015,3,50.4,35.2,426501,81.2,18.2,8112,215499,0.258,0.537,0.246,0.5,0.336,0.085,0.571,0.678,130.51,22.7,0.27,1.6,0.68
39087,28.2,130250,3.7,49.1,43.6,118837,108.8,59.4,3807,61834,0.278,0.559,0.23,0.423,0.376,0.19,0.537,0.515,90.87,26.4,0.21,2.54,0.17
39089,28.7,266027,2.5,52.8,34.7,250754,102.6,44.3,5242,128300,0.285,0.545,0.212,0.426,0.309,0.104,0.414,0.669,116.54,25.5,0.24,1.62,0.48
39091,26.2,91526,5.1,50,38.7,86899,82.9,0,2226,42310,0.281,0.527,0.212,0.448,0.333,0.104,0.521,0.72,109.39,27,0.24,1.96,0.16
39093,34.3,518140,4.2,45.5,39.2,495240,89.9,71.8,50072,271126,0.299,0.562,0.246,0.5,0.347,0.085,0.571,0.68,116.69,24.5,0.22,7.79,5.65
39095,28.6,765842,2.4,48.6,28.8,705490,90.3,63,137678,462361,0.299,0.536,0.244,0.5,0.333,0.096,0.558,0.692,115.34,24.5,0.22,14.8,3.14
39097,38.9,71971,2.9,44,41.9,77153,90.3,53.9,11432,37068,0.281,0.527,0.291,0.482,0.396,0.104,0.511,0.72,115.39,22.1,0.23,7.63,0.41
39099,29.7,443304,1.7,38.4,27.6,403473,86.3,44.5,78367,264806,0.263,0.536,0.246,0.456,0.335,0.088,0.571,0.678,109.07,25.1,0.2,14.92,2.12
39101,24.1,124711,1.4,39.5,40.4,123774,104.6,86,13583,64274,0.291,0.545,0.212,0.426,0.357,0.092,0.521,0.692,106.7,25.2,0.24,4.02,0.98
39103,27.2,284945,2.2,45.3,33.3,276739,74.7,141.6,2220,122354,0.283,0.545,0.246,0.483,0.335,0.089,0.571,0.669,129.8,22.9,0.27,0.74,0.52
39105,31.3,48694,5.3,60.2,25.5,46143,143.8,0,461,22987,0.267,0.538,0.212,0.423,0.376,0.179,0.537,0.663,79.19,26.4,0.21,0.56,0.2
39107,26.9,81488,1.7,28.4,31.6,81386,57.9,0,82,39443,0.281,0.527,0.248,0.438,0.346,0.106,0.537,0.718,113.7,22.1,0.14,0.03,0.74
39109,26.9,194254,4.4,47.3,40.5,184576,90.1,89.8,4309,93182,0.281,0.527,0.245,0.438,0.396,0.104,0.511,0.739,119.44,22.1,0.23,1.86,0.39
39111,29,30988,2.3,32.6,34.8,30136,72.5,0,58,15497,0.252,0.537,0.231,0.426,0.345,0.127,0.537,0.632,86.74,24.5,0.17,0.58,0.07
39113,31.8,930644,2.6,47.6,24.6,871227,91.9,83.5,203926,573809,0.281,0.527,0.315,0.53,0.396,0.106,0.511,0.739,120.64,22.1,0.23,17.73,0.72
39115,32.5,28342,0,46.7,16.5,26769,93.2,0,1387,14194,0.285,0.545,0.297,0.46,0.376,0.131,0.537,0.686,88.8,27,0.17,4.04,0.07
39117,21.1,62318,0,42.3,32.6,61965,109.8,0,260,27749,0.285,0.545,0.212,0.475,0.364,0.089,0.537,0.68,106.23,26.7,0.24,0.18,0.42
39119,30.2,167319,4.5,45.8,32.9,152983,103.2,0,7986,82068,0.285,0.545,0.212,0.426,0.376,0.104,0.537,0.669,103.11,27,0.21,4.11,0.19
39121,17.6,25126,3.7,20.6,14.4,26695,86.8,0,3340,11336,0.263,0.537,0.246,0.426,0.376,0.167,0.537,0.663,91.14,23.8,0.14,0.01,0
39123,17.4,82156,4.3,36.3,33.9,79040,71.6,0,749,40029,0.299,0.574,0.269,0.5,0.377,0.084,0.59,0.704,118.17,22.4,0.22,1.05,3.59
39125,24.8,40030,0,38.9,43.1,39025,118.2,337.5,536,20488,0.265,0.527,0.233,0.438,0.354,0.106,0.563,0.625,105.05,24.5,0.19,0.79,2.7
39127,42.6,69193,5.6,38.7,16.3,66636,106.5,0,169,31557,0.285,0.545,0.212,0.426,0.376,0.119,0.537,0.72,91.73,27,0.17,0.21,0.31
39129,29.7,94155,3,43.5,29.2,101993,96.7,0,12972,48255,0.285,0.545,0.212,0.426,0.364,0.104,0.385,0.72,107.99,26.4,0.24,6.26,0.65
39131,36,55049,3.7,38.1,19.8,52864,69.9,0,818,24249,0.308,0.545,0.212,0.426,0.277,0.182,0.537,0.662,78.4,27,0.24,1.48,0.14
39133,25.6,294570,3,47,40.5,282127,100,23.9,9051,142585,0.258,0.537,0.246,0.463,0.336,0.089,0.537,0.668,120.44,22.7,0.3,2.7,0.66
39135,30.9,86102,3.3,44.9,32,84577,62.9,128.6,449,40113,0.282,0.527,0.238,0.468,0.396,0.104,0.511,0.739,109.25,22.1,0.23,0.34,0.33
39137,37.7,70205,5.1,13.9,37.6,69697,74.2,0,72,33819,0.273,0.527,0.233,0.438,0.339,0.098,0.558,0.675,116.45,24.5,0.14,0.05,3.87
39139,32.6,237529,2.9,40.1,38.7,227828,94,66.6,28827,126137,0.258,0.537,0.246,0.506,0.342,0.085,0.571,0.68,110.8,25.7,0.3,7.77,0.71
39141,29.2,135651,2.8,57,24.7,139621,110.5,23.9,15795,69330,0.285,0.545,0.23,0.426,0.345,0.111,0.537,0.72,98.34,27,0.24,6.5,0.57
39143,31,122317,2,30.1,26.8,118087,79.7,113,3671,61963,0.299,0.574,0.25,0.5,0.377,0.084,0.59,0.704,112.22,21.7,0.22,2.5,5.65
39145,30.8,163023,5.5,52.3,23.9,148562,119.6,0,5752,80327,0.323,0.59,0.27,0.337,0.364,0.19,0,0.747,85.14,26.4,0.17,3.2,0.31
39147,27,119529,0.6,33.8,23.9,113425,107.1,58.8,2944,59733,0.285,0.545,0.251,0.5,0.407,0.096,0.385,0.704,108.49,24.5,0.22,1.77,2.92
39149,34.2,92374,1.1,26.7,20.3,91659,93.5,0,1561,44915,0.281,0.527,0.233,0.468,0.396,0.104,0.511,0.739,115.51,22.1,0.14,1.37,0.31
39151,26.1,711251,2.6,35.2,33.9,656510,81.8,64.9,54256,367585,0.283,0.537,0.246,0.463,0.336,0.085,0.537,0.669,115.25,23.8,0.2,6.7,0.65
39153,26.5,948139,2.4,44.6,31.5,882191,82,80.4,131020,514990,0.291,0.535,0.297,0.541,0.302,0.11,0.686,0.669,120.2,20.5,0.27,11.82,0.56
39155,29,428564,2.9,45.8,30.3,401412,83.1,56.7,33302,227813,0.263,0.536,0.246,0.498,0.336,0.088,0.571,0.668,112.24,22.7,0.2,6.66,0.49
39157,25.5,180957,6.6,38.2,28.5,167155,69.3,0,1557,84090,0.291,0.536,0.297,0.506,0.309,0.11,0.537,0.669,105.28,24.5,0.2,0.76,0.36
39159,31.7,77584,4.7,47.2,41.4,72182,93.6,493.8,720,31969,0.285,0.545,0.212,0.426,0.396,0.104,0.42,0.68,119.57,26.3,0.24,3.48,0.32
39161,29.8,61074,0.9,20.6,33.4,58144,79,0,606,30464,0.281,0.533,0.233,0.438,0.339,0.099,0.537,0.625,113.77,24.5,0.22,0.62,1.56
39163,38.8,24456,12.5,56.4,24.9,24032,119.1,0,15,11098,0.285,0.545,0.212,0.426,0.376,0.104,0.537,0.72,72.98,25.5,0.17,0.00901,0.15
39165,24.5,278627,2.1,46.9,31.2,277324,87,0,9862,113909,0.282,0.515,0.199,0.456,0.312,0.104,0.622,0.662,124.1,22.1,0.27,2.12,0.51
39167,31,128355,2.6,32.7,29.3,119808,87,37.8,2019,62254,0.231,0.53,0.179,0.223,0.47,0.173,0.537,0,109.55,22.4,0,1.15,0.25
39169,34.2,218143,1.9,38.3,36.7,209833,74.1,225,3887,101461,0.283,0.537,0.246,0.475,0.336,0.101,0.537,0.68,111.92,23.8,0.3,1.67,0.47
39171,25.1,76522,4.7,34.6,45.4,73844,102.1,0,145,36956,0.264,0.536,0.233,0.438,0.333,0.096,0.59,0.625,111.22,24.5,0.2,0.12,2
39173,29.7,239920,1.7,40.3,35.3,223571,69.9,0,2536,113269,0.265,0.536,0.233,0.448,0.333,0.096,0.537,0.692,125.49,24.5,0.22,0.96,2.14
39175,29,46878,4.7,32.6,22.8,43635,77.8,0,31,22254,0.285,0.545,0.212,0.426,0.345,0.096,0.537,0.692,109.2,25.2,0.22,0.04,0.55
